# lat,lng,id,name,building_type,type,url,page_type
# Tagliacozzo -- Tutti
42.071588,13.255414,ov_ospedale_di_tagliacozzo_42.0716_13.2554,Ospedale Di Tagliacozzo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/ospedale_di_tagliacozzo_42.0716_13.2554.json,custom
42.085091,13.304817,ov_ristorante_il_girasole_42.0851_13.3048,Ristorante Il Girasole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/ristorante_il_girasole_42.0851_13.3048.json,custom
42.093770,13.280221,ov_ristorante_pizzeria_da_claudio_42.0938_13.2802,Ristorante pizzeria da claudio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/ristorante_pizzeria_da_claudio_42.0938_13.2802.json,custom
42.070143,13.259890,ov_mordi_e_fuggi_42.0701_13.2599,Mordi E Fuggi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/mordi_e_fuggi_42.0701_13.2599.json,custom
42.071161,13.258068,ov_il_miramonti_42.0712_13.2581,Il Miramonti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/il_miramonti_42.0712_13.2581.json,custom
42.071266,13.256020,ov_albergo_ristorante_la_lucciola_42.0713_13.2560,Albergo Ristorante La Lucciola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/albergo_ristorante_la_lucciola_42.0713_13.2560.json,custom
42.070445,13.254773,ov_la_locomotiva_42.0704_13.2548,La Locomotiva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/la_locomotiva_42.0704_13.2548.json,custom
42.068838,13.256268,ov_la_contea_ristorante_pizzeria_ai_carboni_42.0688_13.2563,La Contea Ristorante Pizzeria Ai carboni ardenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/la_contea_ristorante_pizzeria_ai_carboni_42.0688_13.2563.json,custom
42.068834,13.255879,ov_da_claudio_pizzeria_42.0688_13.2559,Da Claudio Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/da_claudio_pizzeria_42.0688_13.2559.json,custom
42.068670,13.251895,ov_pizzeria_ristorante_la_tavernetta_42.0687_13.2519,Pizzeria Ristorante La Tavernetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/pizzeria_ristorante_la_tavernetta_42.0687_13.2519.json,custom
42.067989,13.251999,ov_ristorante_giardino_resta_42.0680_13.2520,Ristorante Giardino Resta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/ristorante_giardino_resta_42.0680_13.2520.json,custom
42.068236,13.252784,ov_osteria_del_borgonovo_42.0682_13.2528,Osteria Del Borgonovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/osteria_del_borgonovo_42.0682_13.2528.json,custom
42.067554,13.253217,ov_la_fontana_trattoria_a_tagliacozzo_42.0676_13.2532,LA FONTANA trattoria a Tagliacozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/la_fontana_trattoria_a_tagliacozzo_42.0676_13.2532.json,custom
42.067420,13.252919,ov_la_cantina_del_brigante_42.0674_13.2529,La cantina del brigante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/la_cantina_del_brigante_42.0674_13.2529.json,custom
42.067469,13.252689,ov_palazzo_dei_cortigiani_42.0675_13.2527,Palazzo Dei Cortigiani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/palazzo_dei_cortigiani_42.0675_13.2527.json,custom
42.067468,13.252068,ov_little_jungle_42.0675_13.2521,Little Jungle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/little_jungle_42.0675_13.2521.json,custom
42.067368,13.251770,ov_degusteria_ventuno_42.0674_13.2518,Degusteria Ventuno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/degusteria_ventuno_42.0674_13.2518.json,custom
42.067734,13.252142,ov_osteria_pizzeria_al_corradino_di_svevia_42.0677_13.2521,Osteria Pizzeria Al Corradino di Svevia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/osteria_pizzeria_al_corradino_di_svevia_42.0677_13.2521.json,custom
42.067319,13.251587,ov_ristorante_la_vecchia_posta_42.0673_13.2516,Ristorante La Vecchia Posta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/ristorante_la_vecchia_posta_42.0673_13.2516.json,custom
42.067034,13.250833,ov_la_parigina__il_borgo__42.0670_13.2508,La Parigina 'Il Borgo',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/la_parigina_il_borgo_42.0670_13.2508.json,custom
42.067008,13.250732,ov_osteria_la_parigina_42.0670_13.2507,Osteria La Parigina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/osteria_la_parigina_42.0670_13.2507.json,custom
42.067021,13.252960,ov_la_pergola_d_oro_42.0670_13.2530,La Pergola d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/la_pergola_doro_42.0670_13.2530.json,custom
42.065955,13.253999,ov_da_ettore_42.0660_13.2540,Da Ettore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/da_ettore_42.0660_13.2540.json,custom
42.063960,13.261770,ov_ristorante_la_capannella_marsia_di_luca__42.0640_13.2618,Ristorante La Capannella Marsia di Luca Casale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/ristorante_la_capannella_marsia_di_luca__42.0640_13.2618.json,custom
42.059900,13.260855,ov_ristorante_da_ettore_42.0599_13.2609,Ristorante Da Ettore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/ristorante_da_ettore_42.0599_13.2609.json,custom
42.064834,13.281375,ov_al_mulino_42.0648_13.2814,Al Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/al_mulino_42.0648_13.2814.json,custom
42.065138,13.283198,ov_pizzeria_la_tavernetta_42.0651_13.2832,Pizzeria La Tavernetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/pizzeria_la_tavernetta_42.0651_13.2832.json,custom
42.053585,13.285459,ov_al_setaccio_42.0536_13.2855,Al Setaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/al_setaccio_42.0536_13.2855.json,custom
42.069843,13.186191,ov_marsia___rifugio_fagus_42.0698_13.1862,Marsia - Rifugio Fagus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/marsia_-_rifugio_fagus_42.0698_13.1862.json,custom
