# lat,lng,id,name,building_type,type,url,page_type
# Cordignano -- Tutti
45.949589,12.413679,ov_base_118_prealpi_soccorso_45.9496_12.4137,Base 118 Prealpi Soccorso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/base_118_prealpi_soccorso_45.9496_12.4137.json,custom
45.942483,12.406520,ov_ice_wer_srl_45.9425_12.4065,Ice Wer SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/ice_wer_srl_45.9425_12.4065.json,custom
45.948113,12.415709,ov_osteria_via_roma_45.9481_12.4157,Osteria Via Roma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/osteria_via_roma_45.9481_12.4157.json,custom
45.949071,12.417637,ov_antica_trattoria_coan_45.9491_12.4176,Antica Trattoria Coan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/antica_trattoria_coan_45.9491_12.4176.json,custom
45.950231,12.401167,ov_al_caron_45.9502_12.4012,Al Caron,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/al_caron_45.9502_12.4012.json,custom
45.951813,12.391654,ov_antica_locanda_al_vapore_45.9518_12.3917,Antica Locanda al Vapore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/antica_locanda_al_vapore_45.9518_12.3917.json,custom
45.951811,12.391613,ov_trattoria_al_corvo_45.9518_12.3916,Trattoria Al Corvo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/trattoria_al_corvo_45.9518_12.3916.json,custom
45.951690,12.392055,ov_pull_in_45.9517_12.3921,Pull In,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/pull_in_45.9517_12.3921.json,custom
45.953121,12.380300,ov_pizzaworld_45.9531_12.3803,Pizzaworld,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/pizzaworld_45.9531_12.3803.json,custom
45.966761,12.414798,ov_bar_bevituche_45.9668_12.4148,Bar Bevituche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/bar_bevituche_45.9668_12.4148.json,custom
45.943570,12.447683,ov_ristorante_bivio_cadore_45.9436_12.4477,Ristorante Bivio Cadore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/ristorante_bivio_cadore_45.9436_12.4477.json,custom
45.949135,12.417586,osm_trattoria_coan_45.9491_12.4176,Trattoria Coan,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/trattoria_coan_45.9491_12.4176.json,custom
45.931554,12.375617,ov_bar_kiss_kiss_45.9316_12.3756,Bar Kiss Kiss,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/bar_kiss_kiss_45.9316_12.3756.json,custom
45.948565,12.415826,ov_4_1_amici_al_bar_45.9486_12.4158,4+1 Amici Al Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/41_amici_al_bar_45.9486_12.4158.json,custom
45.953277,12.408934,ov_bar_bocciodromo_45.9533_12.4089,Bar Bocciodromo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/bar_bocciodromo_45.9533_12.4089.json,custom
45.950447,12.390906,ov_le_blue_caf__45.9504_12.3909,Le Blue Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/le_blue_caf_45.9504_12.3909.json,custom
45.950998,12.394219,ov_bar_del_conte_bertazzio_45.9510_12.3942,Bar del Conte Bertazzio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/bar_del_conte_bertazzio_45.9510_12.3942.json,custom
45.939874,12.433807,ov_osteria_al_moro_di_ylenia_solda__45.9399_12.4338,Osteria Al Moro di Ylenia Solda',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/osteria_al_moro_di_ylenia_solda_45.9399_12.4338.json,custom
45.937340,12.390960,ov_circolo_ippico_ca__rossa_45.9373_12.3910,Circolo Ippico Ca' Rossa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/circolo_ippico_ca_rossa_45.9373_12.3910.json,custom
45.945307,12.415569,ov_scuola_di_danza_arabesque_45.9453_12.4156,Scuola di Danza Arabesque,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/scuola_di_danza_arabesque_45.9453_12.4156.json,custom
45.953340,12.409210,ov_good_game_sporting_center_45.9533_12.4092,Good Game Sporting Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/good_game_sporting_center_45.9533_12.4092.json,custom
45.971567,12.414885,ov_castelat_di_cordignano_45.9716_12.4149,Castelat di Cordignano,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/castelat_di_cordignano_45.9716_12.4149.json,custom
45.998817,12.419911,ov_monumento_ai_caduti_45.9988_12.4199,Monumento ai Caduti,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/monumento_ai_caduti_45.9988_12.4199.json,custom
45.949256,12.412340,ov_biblioteca_civica_di_cordignano_45.9493_12.4123,Biblioteca civica di Cordignano,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cordignano/pages/biblioteca_civica_di_cordignano_45.9493_12.4123.json,custom
