# lat,lng,id,name,building_type,type,url,page_type
# Villa Cortese -- Tutti
45.580921,8.886785,ov_pronto_soccorso_45.5809_8.8868,Pronto Soccorso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/pronto_soccorso_45.5809_8.8868.json,custom
45.568151,8.894003,ov_pizzeria_le_coccinelle_45.5682_8.8940,Pizzeria Le Coccinelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/pizzeria_le_coccinelle_45.5682_8.8940.json,custom
45.565582,8.879940,ov_ristorante_pizzeria_al_centro_sportivo_45.5656_8.8799,Ristorante Pizzeria al Centro Sportivo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/ristorante_pizzeria_al_centro_sportivo_45.5656_8.8799.json,custom
45.565593,8.887362,ov_pizzeria_giulia___maya_45.5656_8.8874,Pizzeria Giulia & Maya,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/pizzeria_giulia_maya_45.5656_8.8874.json,custom
45.565801,8.887244,ov_il_camino_45.5658_8.8872,Il Camino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/il_camino_45.5658_8.8872.json,custom
45.566164,8.887479,ov_pizzart_villa_cortese_45.5662_8.8875,PizzArt Villa Cortese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/pizzart_villa_cortese_45.5662_8.8875.json,custom
45.565668,8.889203,ov_l_angolo_del_gusto_45.5657_8.8892,L'Angolo del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/langolo_del_gusto_45.5657_8.8892.json,custom
45.564331,8.890039,ov_ristorante_corona_45.5643_8.8900,Ristorante Corona,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/ristorante_corona_45.5643_8.8900.json,custom
45.566861,8.886447,ov_la_boutique_del_caff__45.5669_8.8864,La boutique del caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/la_boutique_del_caff_45.5669_8.8864.json,custom
45.566283,8.882978,ov_bar_sport_crazy_king_45.5663_8.8830,Bar Sport Crazy King,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/bar_sport_crazy_king_45.5663_8.8830.json,custom
45.565372,8.887131,ov_cicala_cafe_45.5654_8.8871,Cicala Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/cicala_cafe_45.5654_8.8871.json,custom
45.566226,8.889269,ov_route_66_45.5662_8.8893,Route 66,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/route_66_45.5662_8.8893.json,custom
45.566440,8.889240,ov_bar_alba_villa_cortese_45.5664_8.8892,BAR ALBA Villa Cortese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/bar_alba_villa_cortese_45.5664_8.8892.json,custom
45.562816,8.896967,ov_brema_45.5628_8.8970,Brema,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/brema_45.5628_8.8970.json,custom
45.563198,8.896253,ov_fun_club_disco_feste_servizi_eventi_in_m_45.5632_8.8963,Fun Club Disco Feste Servizi Eventi in Milano Como Varese No,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/fun_club_disco_feste_servizi_eventi_in_m_45.5632_8.8963.json,custom
45.565413,8.888004,osm_arci_villa_cortese_45.5654_8.8880,ARCI Villa Cortese,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/arci_villa_cortese_45.5654_8.8880.json,custom
45.565196,8.878035,ov_jolly_dance_asd_45.5652_8.8780,Jolly Dance ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/jolly_dance_asd_45.5652_8.8780.json,custom
45.568870,8.886220,ov_il_bivio_cag_45.5689_8.8862,Il Bivio Cag,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/il_bivio_cag_45.5689_8.8862.json,custom
45.567359,8.886194,ov_palestra_villa_45.5674_8.8862,Palestra Villa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/palestra_villa_45.5674_8.8862.json,custom
45.566370,8.891255,ov_dance_academy_asd_45.5664_8.8913,Dance academy Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/dance_academy_asd_45.5664_8.8913.json,custom
45.564027,8.886928,ov_ballo_anti_age_villa_cortese_45.5640_8.8869,Ballo Anti Age Villa Cortese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/ballo_anti_age_villa_cortese_45.5640_8.8869.json,custom
45.565613,8.888900,osm_poste_italiane_45.5656_8.8889,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/poste_italiane_45.5656_8.8889.json,custom
45.565560,8.885950,ov_biblioteca_villa_cortese_45.5656_8.8859,Biblioteca Villa Cortese,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/villa_cortese/pages/biblioteca_villa_cortese_45.5656_8.8859.json,custom
