# lat,lng,id,name,building_type,type,url,page_type
# Cuasso al Monte -- Tutti
45.912174,8.859525,ov_hospital_cuasso_al_monte_45.9122_8.8595,Hospital Cuasso al Monte,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuasso_al_monte/pages/hospital_cuasso_al_monte_45.9122_8.8595.json,custom
45.905665,8.889932,ov_ristorante_da_orlando_45.9057_8.8899,Ristorante da Orlando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuasso_al_monte/pages/ristorante_da_orlando_45.9057_8.8899.json,custom
45.906075,8.888483,ov_cascina_paradiso_45.9061_8.8885,Cascina Paradiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuasso_al_monte/pages/cascina_paradiso_45.9061_8.8885.json,custom
45.913052,8.888264,ov_ristorante_al_vecchio_faggio_45.9131_8.8883,Ristorante Al Vecchio Faggio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuasso_al_monte/pages/ristorante_al_vecchio_faggio_45.9131_8.8883.json,custom
45.915227,8.879436,ov_la_vecchia_locanda_45.9152_8.8794,La Vecchia Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuasso_al_monte/pages/la_vecchia_locanda_45.9152_8.8794.json,custom
45.890807,8.882633,ov_molino_del_torchio_45.8908_8.8826,Molino del Torchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuasso_al_monte/pages/molino_del_torchio_45.8908_8.8826.json,custom
45.896538,8.879633,ov_pizzeria_girasole_45.8965_8.8796,Pizzeria Girasole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuasso_al_monte/pages/pizzeria_girasole_45.8965_8.8796.json,custom
45.899081,8.842519,ov_trattoria_dell__alpe_tedesco_45.8991_8.8425,Trattoria dell' Alpe Tedesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuasso_al_monte/pages/trattoria_dell_alpe_tedesco_45.8991_8.8425.json,custom
45.891047,8.882399,osm_molino_del_torchio_45.8910_8.8824,Molino del Torchio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuasso_al_monte/pages/molino_del_torchio_45.8910_8.8824.json,custom
45.905081,8.871671,ov_piccolo_bar_45.9051_8.8717,Piccolo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuasso_al_monte/pages/piccolo_bar_45.9051_8.8717.json,custom
45.894026,8.880579,ov_biblioteca_cuasso_45.8940_8.8806,Biblioteca Cuasso,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuasso_al_monte/pages/biblioteca_cuasso_45.8940_8.8806.json,custom
45.894040,8.880615,osm_biblioteca_comunale_di_cuasso_al_monte_45.8940_8.8806,Biblioteca comunale di Cuasso al Monte,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuasso_al_monte/pages/biblioteca_comunale_di_cuasso_al_monte_45.8940_8.8806.json,custom
