# lat,lng,id,name,building_type,type,url,page_type
# Amandola -- Tutti
42.970339,13.353221,osm_ospedale_dei_sibillini_beato_antonio_di__42.9703_13.3532,Ospedale dei Sibillini Beato Antonio di Amandola,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/ospedale_dei_sibillini_beato_antonio_di__42.9703_13.3532.json,custom
42.986386,13.294974,ov_rifugio_garulla_42.9864_13.2950,Rifugio Garulla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/rifugio_garulla_42.9864_13.2950.json,custom
42.979038,13.355415,ov_pizzeria_cannafoia_42.9790_13.3554,Pizzeria Cannafoia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/pizzeria_cannafoia_42.9790_13.3554.json,custom
42.975815,13.350507,ov_bella_napoli_42.9758_13.3505,Bella Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/bella_napoli_42.9758_13.3505.json,custom
42.973603,13.346470,ov_country_house_il_casolare_di_pecci_carlo_42.9736_13.3465,Country House Il Casolare di Pecci Carlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/country_house_il_casolare_di_pecci_carlo_42.9736_13.3465.json,custom
42.972106,13.352843,ov_la_gorbe_e_l_ua_42.9721_13.3528,La Gorbe e L'Ua,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/la_gorbe_e_lua_42.9721_13.3528.json,custom
42.985957,13.358575,ov_agriturismo_madonna_di_piana_42.9860_13.3586,Agriturismo Madonna di Piana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/agriturismo_madonna_di_piana_42.9860_13.3586.json,custom
42.973577,13.346402,osm_country_house_il_casolare_42.9736_13.3464,Country House Il casolare,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/country_house_il_casolare_42.9736_13.3464.json,custom
42.973598,13.346460,osm_locanda_del_lupo_42.9736_13.3465,Locanda del Lupo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/locanda_del_lupo_42.9736_13.3465.json,custom
42.975821,13.350482,osm_bella_napoli_42.9758_13.3505,Bella Napoli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/bella_napoli_42.9758_13.3505.json,custom
42.980317,13.355827,ov_gran_caff__belli_42.9803_13.3558,Gran Caffè Belli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/gran_caff_belli_42.9803_13.3558.json,custom
42.975868,13.350891,ov_bar_la_stazione_42.9759_13.3509,Bar La Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/bar_la_stazione_42.9759_13.3509.json,custom
42.978219,13.353288,ov_caf__caliente_42.9782_13.3533,Café Caliente,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/caf_caliente_42.9782_13.3533.json,custom
42.969060,13.354040,ov_albar_42.9691_13.3540,ALBAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/albar_42.9691_13.3540.json,custom
42.973602,13.357649,ov_robybar_42.9736_13.3576,Robybar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/robybar_42.9736_13.3576.json,custom
42.980031,13.356022,ov_pub_la_fojetta_42.9800_13.3560,Pub La Fojetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/pub_la_fojetta_42.9800_13.3560.json,custom
42.980207,13.356075,ov_cantina_va_vieni_42.9802_13.3561,Cantina Va&Vieni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/cantina_vavieni_42.9802_13.3561.json,custom
42.977544,13.351689,ov_i_fit_42.9775_13.3517,I-FIT,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/i-fit_42.9775_13.3517.json,custom
42.979712,13.357888,ov_museo_del_paesaggio_dei_sibillini_42.9797_13.3579,Museo del Paesaggio dei Sibillini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amandola/pages/museo_del_paesaggio_dei_sibillini_42.9797_13.3579.json,custom
