# lat,lng,id,name,building_type,type,url,page_type
# Pontassieve -- Tutti
43.775545,11.417140,ov_oromed_43.7755_11.4171,Oromed,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/oromed_43.7755_11.4171.json,custom
43.786597,11.398048,ov_ristorante_pizzeria_bonaiuti_43.7866_11.3980,Ristorante pizzeria Bonaiuti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristorante_pizzeria_bonaiuti_43.7866_11.3980.json,custom
43.786255,11.399350,ov_pizzeria_da_sandrino_43.7863_11.3994,Pizzeria da Sandrino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/pizzeria_da_sandrino_43.7863_11.3994.json,custom
43.789944,11.393382,ov_arrosto_girato_43.7899_11.3934,Arrosto Girato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/arrosto_girato_43.7899_11.3934.json,custom
43.773994,11.423033,ov_alta_scuola_di_pelletteria_italiana_pont_43.7740_11.4230,Alta Scuola di Pelletteria Italiana Pontassieve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/alta_scuola_di_pelletteria_italiana_pont_43.7740_11.4230.json,custom
43.773642,11.418210,ov_la_sfinge_43.7736_11.4182,La Sfinge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/la_sfinge_43.7736_11.4182.json,custom
43.773352,11.425979,ov_giglio_pizza_delivery_43.7734_11.4260,Giglio Pizza Delivery,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/giglio_pizza_delivery_43.7734_11.4260.json,custom
43.772959,11.431658,ov_sunset_birreria_pizzeria_43.7730_11.4317,Sunset Birreria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/sunset_birreria_pizzeria_43.7730_11.4317.json,custom
43.772978,11.434185,ov_ami_pizza_43.7730_11.4342,Ami-Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ami-pizza_43.7730_11.4342.json,custom
43.772644,11.436111,ov_otto_bistro_43.7726_11.4361,Otto Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/otto_bistro_43.7726_11.4361.json,custom
43.774865,11.436816,ov_pizzeria_far_west_43.7749_11.4368,Pizzeria Far West,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/pizzeria_far_west_43.7749_11.4368.json,custom
43.774951,11.435507,ov_cantuccio_del_buongustaio_43.7750_11.4355,Cantuccio del Buongustaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/cantuccio_del_buongustaio_43.7750_11.4355.json,custom
43.775329,11.438263,ov_stefano_toscano_da_sempre_43.7753_11.4383,Stefano Toscano da Sempre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/stefano_toscano_da_sempre_43.7753_11.4383.json,custom
43.775330,11.438310,ov_il_giardino_della_locanda_43.7753_11.4383,Il Giardino della Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/il_giardino_della_locanda_43.7753_11.4383.json,custom
43.775422,11.441733,ov_village_kebab_43.7754_11.4417,Village Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/village_kebab_43.7754_11.4417.json,custom
43.775575,11.441476,ov_fresco_doner_kebab_43.7756_11.4415,Fresco Doner Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/fresco_doner_kebab_43.7756_11.4415.json,custom
43.776358,11.441596,ov_m3_sushi_bar_43.7764_11.4416,M3 Sushi Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/m3_sushi_bar_43.7764_11.4416.json,custom
43.776864,11.442241,ov_borgo_matto_43.7769_11.4422,Borgo Matto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/borgo_matto_43.7769_11.4422.json,custom
43.776729,11.442227,ov_da_rocco___fede_43.7767_11.4422,Da Rocco & Fede,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/da_rocco_fede_43.7767_11.4422.json,custom
43.774695,11.437520,ov_bastian_contrario_43.7747_11.4375,Bastian Contrario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bastian_contrario_43.7747_11.4375.json,custom
43.774617,11.439152,ov_umi_sushi_pontassieve_43.7746_11.4392,Umi Sushi Pontassieve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/umi_sushi_pontassieve_43.7746_11.4392.json,custom
43.774742,11.439344,ov_pokeria_43.7747_11.4393,Pokeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/pokeria_43.7747_11.4393.json,custom
43.774775,11.439521,ov_nuova_pizzeria_centrale_43.7748_11.4395,Nuova pizzeria centrale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/nuova_pizzeria_centrale_43.7748_11.4395.json,custom
43.781665,11.446091,ov_pizzeria_il_fossato_43.7817_11.4461,Pizzeria Il Fossato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/pizzeria_il_fossato_43.7817_11.4461.json,custom
43.778181,11.443390,ov_la_tana_di_ugo_43.7782_11.4434,La Tana di Ugo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/la_tana_di_ugo_43.7782_11.4434.json,custom
43.772539,11.437745,ov_stazione_della_pizza_43.7725_11.4377,Stazione della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/stazione_della_pizza_43.7725_11.4377.json,custom
43.771568,11.434868,ov_fib__pizzeria_43.7716_11.4349,Fibò Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/fib_pizzeria_43.7716_11.4349.json,custom
43.771646,11.427779,ov_ristorante_da_i_nonno_43.7716_11.4278,Ristorante da I'Nonno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristorante_da_inonno_43.7716_11.4278.json,custom
43.771831,11.431787,ov_all_azzurra_bar_ristorante_catering_43.7718_11.4318,All'Azzurra Bar Ristorante Catering,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/allazzurra_bar_ristorante_catering_43.7718_11.4318.json,custom
43.770377,11.433050,ov_friggi__pontassieve_43.7704_11.4330,Friggiò Pontassieve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/friggi_pontassieve_43.7704_11.4330.json,custom
