# lat,lng,id,name,building_type,type,url,page_type
# Dongo -- Tutti
46.125040,9.280352,ov_azienda_ospedaliera_ospedale_sant_anna_46.1250_9.2804,Azienda Ospedaliera Ospedale Sant'Anna,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/azienda_ospedaliera_ospedale_santanna_46.1250_9.2804.json,custom
46.122887,9.279335,ov_osteria_del_bumbardin_46.1229_9.2793,Osteria del Bumbardin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/osteria_del_bumbardin_46.1229_9.2793.json,custom
46.122480,9.279334,ov_albergo_ristorante_dongo_46.1225_9.2793,Albergo Ristorante Dongo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/albergo_ristorante_dongo_46.1225_9.2793.json,custom
46.124091,9.280059,ov_la_lampara_46.1241_9.2801,La Lampara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/la_lampara_46.1241_9.2801.json,custom
46.125781,9.282231,ov_ristorante_albano_di_poncia_claudio_46.1258_9.2822,Ristorante Albano Di Poncia Claudio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/ristorante_albano_di_poncia_claudio_46.1258_9.2822.json,custom
46.127550,9.282143,ov_gaia_bistro_46.1276_9.2821,Gaia Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/gaia_bistro_46.1276_9.2821.json,custom
46.123028,9.282448,ov_luxury_italian_locations_46.1230_9.2824,Luxury Italian Locations,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/luxury_italian_locations_46.1230_9.2824.json,custom
46.128690,9.284891,ov_pizzeria_del_lago_46.1287_9.2849,Pizzeria del Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/pizzeria_del_lago_46.1287_9.2849.json,custom
46.132596,9.286379,ov_the_appetizing_bar_pizza_46.1326_9.2864,The appetizing Bar Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/the_appetizing_bar_pizza_46.1326_9.2864.json,custom
46.134759,9.289595,ov_sporting_bar_dongo_46.1348_9.2896,Sporting Bar Dongo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/sporting_bar_dongo_46.1348_9.2896.json,custom
46.123970,9.278190,ov_bar_jolly_46.1240_9.2782,BAR JOLLY,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/bar_jolly_46.1240_9.2782.json,custom
46.122868,9.280015,ov_birreria_tre_pievi_46.1229_9.2800,Birreria Tre Pievi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/birreria_tre_pievi_46.1229_9.2800.json,custom
46.126890,9.276540,ov_bar_friends_46.1269_9.2765,Bar Friends,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/bar_friends_46.1269_9.2765.json,custom
46.128983,9.288088,osm_bar_monaci_46.1290_9.2881,Bar Monaci,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/bar_monaci_46.1290_9.2881.json,custom
46.123248,9.278782,ov_csb_club_biliardo_l_esteta_46.1232_9.2788,CSB Club Biliardo L'Esteta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/csb_club_biliardo_lesteta_46.1232_9.2788.json,custom
46.131849,9.288418,ov_kite24_46.1318_9.2884,Kite24,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/kite24_46.1318_9.2884.json,custom
46.134546,9.290839,ov_marv_lia_46.1345_9.2908,Marvèlia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/marvlia_46.1345_9.2908.json,custom
46.134932,9.289053,ov_palazzetto_polifunzionale_46.1349_9.2891,Palazzetto polifunzionale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/palazzetto_polifunzionale_46.1349_9.2891.json,custom
46.123066,9.279516,ov_museo_della_fine_della_guerra_46.1231_9.2795,Museo della Fine della Guerra,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/museo_della_fine_della_guerra_46.1231_9.2795.json,custom
46.122934,9.279565,ov_biblioteca_di_dongo_46.1229_9.2796,Biblioteca di Dongo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dongo/pages/biblioteca_di_dongo_46.1229_9.2796.json,custom
