# lat,lng,id,name,building_type,type,url,page_type
# caronno_pertusella -- Tutti
45.591550,9.046270,ov_cicogna_center_caronno_pertusella_45.5915_9.0463,Cicogna Center Caronno Pertusella,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/cicogna_center_caronno_pertusella_45.5915_9.0463.json,custom
45.580489,9.050400,ov_trattoria_san_pietro_45.5805_9.0504,Trattoria San Pietro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/trattoria_san_pietro_45.5805_9.0504.json,custom
45.582160,9.053311,ov_da_nico_pizzeria___trattoria_45.5822_9.0533,Da Nico Pizzeria & Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/da_nico_pizzeria_trattoria_45.5822_9.0533.json,custom
45.582516,9.059167,ov_sushi_chen_45.5825_9.0592,sushi chen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/sushi_chen_45.5825_9.0592.json,custom
45.584498,9.058131,ov_la_brace_45.5845_9.0581,La Brace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/la_brace_45.5845_9.0581.json,custom
45.587543,9.054834,ov_ristorante_pizzeria_jolly_45.5875_9.0548,Ristorante Pizzeria Jolly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/ristorante_pizzeria_jolly_45.5875_9.0548.json,custom
45.601227,9.039905,ov_peppermill_caronno_45.6012_9.0399,Peppermill Caronno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/peppermill_caronno_45.6012_9.0399.json,custom
45.602211,9.042522,ov_delizie_siciliane_45.6022_9.0425,Delizie siciliane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/delizie_siciliane_45.6022_9.0425.json,custom
45.609669,9.037324,ov_donna_pe_45.6097_9.0373,Donna Pe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/donna_pe_45.6097_9.0373.json,custom
45.607699,9.037606,ov_tiffany_caffe_and_grill_45.6077_9.0376,Tiffany Caffe and Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/tiffany_caffe_and_grill_45.6077_9.0376.json,custom
45.607680,9.038286,ov_griglieria_nici_45.6077_9.0383,Griglieria NICI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/griglieria_nici_45.6077_9.0383.json,custom
45.607999,9.038244,ov_sushi_iki_45.6080_9.0382,Sushi Iki,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/sushi_iki_45.6080_9.0382.json,custom
45.600973,9.043618,ov_ristorante_da_piero_45.6010_9.0436,Ristorante da Piero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/ristorante_da_piero_45.6010_9.0436.json,custom
45.600919,9.043528,ov_ristorante_da_piero___specialit__pesce___45.6009_9.0435,Ristorante Da Piero | Specialità Pesce | Caronno Pertusella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/ristorante_da_piero_specialit_pesce_caro_45.6009_9.0435.json,custom
45.598102,9.056860,ov_comune_di_caronno_pertusella_45.5981_9.0569,Comune di Caronno Pertusella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/comune_di_caronno_pertusella_45.5981_9.0569.json,custom
45.598032,9.057190,ov_ristorante_corallo_45.5980_9.0572,Ristorante Corallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/ristorante_corallo_45.5980_9.0572.json,custom
45.594100,9.064605,ov_il_gufo_45.5941_9.0646,Il Gufo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/il_gufo_45.5941_9.0646.json,custom
45.595010,9.059060,ov_pizzeria_ba_scia_45.5950_9.0591,Pizzeria Baúscia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/pizzeria_bascia_45.5950_9.0591.json,custom
45.596774,9.052336,ov_la_verace_caronno_pertusella_45.5968_9.0523,La Verace Caronno Pertusella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/la_verace_caronno_pertusella_45.5968_9.0523.json,custom
45.597557,9.045082,ov_pizzeria_del_corso_45.5976_9.0451,Pizzeria del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/pizzeria_del_corso_45.5976_9.0451.json,custom
45.598387,9.044976,ov_la_favola_2_45.5984_9.0450,La Favola 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/la_favola_2_45.5984_9.0450.json,custom
45.598063,9.048282,ov_ristorante_con_pizza_i_due_assi_45.5981_9.0483,Ristorante con Pizza I Due Assi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/ristorante_con_pizza_i_due_assi_45.5981_9.0483.json,custom
45.597396,9.048347,ov_cincu_e_deci_45.5974_9.0483,Cincu e Deci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/cincu_e_deci_45.5974_9.0483.json,custom
45.599500,9.043921,ov_la_smorfia_napoletana_45.5995_9.0439,La Smorfia Napoletana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/la_smorfia_napoletana_45.5995_9.0439.json,custom
45.597863,9.043261,ov_l_angolo_cafe_45.5979_9.0433,L'Angolo Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/langolo_cafe_45.5979_9.0433.json,custom
45.590626,9.050885,ov_burger_king_45.5906_9.0509,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/burger_king_45.5906_9.0509.json,custom
45.590888,9.048761,ov_wiener_haus_caronno_45.5909_9.0488,Wiener Haus Caronno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/wiener_haus_caronno_45.5909_9.0488.json,custom
45.592377,9.043831,ov_pizzaclub_no_limits_45.5924_9.0438,PizzaClub No Limits,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/pizzaclub_no_limits_45.5924_9.0438.json,custom
45.592343,9.043611,ov_caciara_food___drink_45.5923_9.0436,Caciara Food & Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/caciara_food_drink_45.5923_9.0436.json,custom
45.593222,9.049013,ov_smokin__hot_bbq_45.5932_9.0490,Smokin' Hot BBQ,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/smokin_hot_bbq_45.5932_9.0490.json,custom
