# lat,lng,id,name,building_type,type,url,page_type
# bad_kleinkirchheim -- Tutti
46.813188,13.779782,ov_nockmed_gesundheitszentrum_st__kathrein_46.8132_13.7798,NOCKMED-Gesundheitszentrum St. Kathrein,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_kleinkirchheim/pages/nockmed-gesundheitszentrum_st_kathrein_46.8132_13.7798.json,custom
46.822992,13.754635,ov_gschwandlh_tte_46.8230_13.7546,Gschwandlhütte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_kleinkirchheim/pages/gschwandlhtte_46.8230_13.7546.json,custom
46.856390,13.749514,ov_nock_in_46.8564_13.7495,Nock in,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_kleinkirchheim/pages/nock_in_46.8564_13.7495.json,custom
46.856737,13.749769,ov_panorama_restaurant_nock_in_46.8567_13.7498,Panorama-Restaurant Nock IN,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_kleinkirchheim/pages/panorama-restaurant_nock_in_46.8567_13.7498.json,custom
46.852744,13.752141,ov_alpengasthof_brunnachhof_hinteregger_46.8527_13.7521,Alpengasthof Brunnachhof Hinteregger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_kleinkirchheim/pages/alpengasthof_brunnachhof_hinteregger_46.8527_13.7521.json,custom
46.844048,13.764382,ov_gasthof_sportalm_46.8440_13.7644,Gasthof Sportalm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_kleinkirchheim/pages/gasthof_sportalm_46.8440_13.7644.json,custom
46.844548,13.766305,ov_oswald_platzl_46.8445_13.7663,Oswald Platzl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_kleinkirchheim/pages/oswald_platzl_46.8445_13.7663.json,custom
46.845438,13.767864,ov_alte_m_hle___steakalm_46.8454_13.7679,Alte Mühle / Steakalm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_kleinkirchheim/pages/alte_mhle_steakalm_46.8454_13.7679.json,custom
46.863554,13.785712,ov_falkerthaus_46.8636_13.7857,Falkerthaus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_kleinkirchheim/pages/falkerthaus_46.8636_13.7857.json,custom
46.873486,13.758573,ov_sankt_oswalder_bockh_tte_46.8735_13.7586,Sankt Oswalder Bockhütte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_kleinkirchheim/pages/sankt_oswalder_bockhtte_46.8735_13.7586.json,custom
46.814896,13.801016,ov_restaurant_fuxbau_im_hotel_sportalm_46.8149_13.8010,Restaurant Fuxbau im Hotel Sportalm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bad_kleinkirchheim/pages/restaurant_fuxbau_im_hotel_sportalm_46.8149_13.8010.json,custom
