# lat,lng,id,name,building_type,type,url,page_type
# bucchianico -- Tutti
42.298511,14.217038,ov_tenuta_dei_sensi_42.2985_14.2170,Tenuta dei Sensi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/tenuta_dei_sensi_42.2985_14.2170.json,custom
42.304767,14.182007,osm_da_silvio_42.3048_14.1820,Da Silvio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/da_silvio_42.3048_14.1820.json,custom
42.303949,14.180442,osm_ai_cantuccio_42.3039_14.1804,Ai Cantuccio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/ai_cantuccio_42.3039_14.1804.json,custom
42.303110,14.190010,osm_da_sebastiano_42.3031_14.1900,Da Sebastiano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/da_sebastiano_42.3031_14.1900.json,custom
42.301950,14.180464,osm_ristorante_la_neviera_42.3019_14.1805,Ristorante La Neviera,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/ristorante_la_neviera_42.3019_14.1805.json,custom
42.304238,14.180360,ov_bar_dei_portici_42.3042_14.1804,Bar Dei Portici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/bar_dei_portici_42.3042_14.1804.json,custom
42.304408,14.181294,ov_pop_corn_42.3044_14.1813,Pop Corn,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/pop_corn_42.3044_14.1813.json,custom
42.303260,14.185564,ov_bar_della_piana_42.3033_14.1856,Bar Della Piana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/bar_della_piana_42.3033_14.1856.json,custom
42.281698,14.180552,ov_frayfe__42.2817_14.1806,Frayfe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/frayfe_42.2817_14.1806.json,custom
42.303975,14.180166,osm_pasticchieria_gentile_42.3040_14.1802,Pasticchieria Gentile,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/pasticchieria_gentile_42.3040_14.1802.json,custom
42.295741,14.159182,osm_eni_caf__42.2957_14.1592,Eni Café,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/eni_caf_42.2957_14.1592.json,custom
42.304704,14.191105,ov_campi_da_gioco_bucchianico_42.3047_14.1911,CAMPI DA GIOCO Bucchianico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/campi_da_gioco_bucchianico_42.3047_14.1911.json,custom
42.303784,14.185102,ov_no_limits_by_marco_asd_42.3038_14.1851,No Limits by Marco ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/no_limits_by_marco_asd_42.3038_14.1851.json,custom
42.302350,14.182870,ov_a_s_d_centro_polifunzionale_fitness_e_ar_42.3023_14.1829,A.S.D Centro Polifunzionale Fitness e Arti Marziali,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/asd_centro_polifunzionale_fitness_e_arti_42.3023_14.1829.json,custom
42.305316,14.182680,osm_poste_italiane_42.3053_14.1827,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/bucchianico/pages/poste_italiane_42.3053_14.1827.json,custom
