# lat,lng,id,name,building_type,type,url,page_type
# Viganello -- Tutti
46.015050,8.965178,osm_ristorante_la_gasparina_46.0151_8.9652,Ristorante La Gasparina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/viganello/pages/ristorante_la_gasparina_46.0151_8.9652.json,custom
46.014485,8.962814,ov_universe_calisthenics_sagl_46.0145_8.9628,Universe Calisthenics Sagl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/viganello/pages/universe_calisthenics_sagl_46.0145_8.9628.json,custom
46.012979,8.961534,ov_centro_gaya_46.0130_8.9615,Centro Gaya,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/viganello/pages/centro_gaya_46.0130_8.9615.json,custom
