# lat,lng,id,name,building_type,type,url,page_type
# Goito -- Tutti
45.254161,10.671702,ov_asl_goito_45.2542_10.6717,ASL Goito,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/asl_goito_45.2542_10.6717.json,custom
45.230449,10.664663,ov_ai_bottiglieri_45.2304_10.6647,Ai Bottiglieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/ai_bottiglieri_45.2304_10.6647.json,custom
45.227359,10.662595,ov_alta_marea_45.2274_10.6626,Alta Marea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/alta_marea_45.2274_10.6626.json,custom
45.225548,10.663018,ov_trattoria_al_pescatore_da_mino_45.2255_10.6630,Trattoria Al Pescatore da Mino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/trattoria_al_pescatore_da_mino_45.2255_10.6630.json,custom
45.249198,10.685005,ov_trattoria_pizzeria_coccole_di_cibo_45.2492_10.6850,Trattoria Pizzeria Coccole di Cibo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/trattoria_pizzeria_coccole_di_cibo_45.2492_10.6850.json,custom
45.252795,10.668867,ov_non_solo_pizza_45.2528_10.6689,Non solo pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/non_solo_pizza_45.2528_10.6689.json,custom
45.254333,10.674063,ov_mauri_pizza_goito_mn_45.2543_10.6741,Mauri Pizza Goito MN,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/mauri_pizza_goito_mn_45.2543_10.6741.json,custom
45.254057,10.675194,ov_locanda_al_ponte_45.2541_10.6752,Locanda Al Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/locanda_al_ponte_45.2541_10.6752.json,custom
45.252958,10.677535,ov_mocambo_45.2530_10.6775,Mocambo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/mocambo_45.2530_10.6775.json,custom
45.252942,10.677532,ov_pizzeria_mocambo_45.2529_10.6775,Pizzeria Mocambo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/pizzeria_mocambo_45.2529_10.6775.json,custom
45.254888,10.676056,ov_il_mulino_di_oz_45.2549_10.6761,Il Mulino di Oz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/il_mulino_di_oz_45.2549_10.6761.json,custom
