# lat,lng,id,name,building_type,type,url,page_type
# Toscanella di Dozza -- Tutti
44.383989,11.636206,osm_oishi_44.3840_11.6362,Oishi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toscanella_di_dozza/pages/oishi_44.3840_11.6362.json,custom
44.383417,11.639068,osm_caff__in_piazza_44.3834_11.6391,Caffè in piazza,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toscanella_di_dozza/pages/caff_in_piazza_44.3834_11.6391.json,custom
44.383131,11.636927,osm_fini_44.3831_11.6369,Fini,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toscanella_di_dozza/pages/fini_44.3831_11.6369.json,custom
