# lat,lng,id,name,building_type,type
# Scorrano -- Tutti
40.094110,18.300989,ov_hospital_veris_delli_ponti_40.0941_18.3010,Hospital Veris Delli Ponti,HOSPITAL,hospital
40.093499,18.300296,ov_osteria_exedra_40.0935_18.3003,Osteria Exedra,RESTAURANT,ristorante
40.094931,18.301773,ov_i_sapori_del_mare_40.0949_18.3018,I Sapori del Mare,RESTAURANT,ristorante
40.096118,18.298197,ov_elios_trattoria_40.0961_18.2982,Elios Trattoria,RESTAURANT,ristorante
40.091750,18.300440,ov_angelo_azzurro_40.0917_18.3004,Angelo Azzurro,RESTAURANT,ristorante
40.090322,18.299676,ov_garden_restaurant_ikebana_40.0903_18.2997,Garden Restaurant Ikebana,RESTAURANT,ristorante
40.083501,18.304691,ov_pizzeria_vigna_curte_40.0835_18.3047,Pizzeria Vigna Curte,RESTAURANT,ristorante
40.091218,18.298862,ov_dolce_vita_scorrano_40.0912_18.2989,DOLCE VITA Scorrano,RESTAURANT,bar_cafe
40.091095,18.298808,ov_betitaly_scorrano_40.0911_18.2988,Betitaly Scorrano,RESTAURANT,bar_cafe
40.090377,18.299341,ov_caffe_41_40.0904_18.2993,Caffe 41,RESTAURANT,bar_cafe
40.090481,18.299745,ov_peccati_di_gola_40.0905_18.2997,Peccati di Gola,RESTAURANT,bar_cafe
40.090506,18.297108,ov_caff__veris_40.0905_18.2971,Caffè Veris,RESTAURANT,bar_cafe
40.090362,18.299332,osm_caff__41_40.0904_18.2993,Caffè 41,bar_cafe,bar_cafe
40.080216,18.277984,ov_circolo_ippico_fano_40.0802_18.2780,Circolo Ippico Fano,GYM,palestra
40.093199,18.280382,ov_tav_scorrano_40.0932_18.2804,Tav Scorrano,GYM,palestra
40.085614,18.300908,ov_fitlab_health_and_fitness_center_40.0856_18.3009,FitLab Health and Fitness Center,GYM,palestra
40.090799,18.296943,ov_centro_storico_di_scorrano_40.0908_18.2969,Centro Storico di Scorrano,MONUMENT,monumento
