# lat,lng,id,name,building_type,type,url,page_type
46.478179,7.140719,osm_h_pital_du_pays_d_enhaut_46.4782_7.1407,Hôpital du Pays d'Enhaut,hospital,hospital,
46.256667,6.944230,osm_h_pital_psychiatrique_de_mal_voz_46.2567_6.9442,Hôpital psychiatrique de Malévoz,hospital,hospital,
46.377825,6.920111,osm_espace_sant__rennaz_46.3778_6.9201,Espace Santé Rennaz,hospital,hospital,
46.236282,7.388853,osm_clinique_romande_de_r_adaptation_sion_46.2363_7.3889,Clinique romande de réadaptation Sion,hospital,hospital,
45.913020,6.707290,osm_clinique_parassy_45.9130_6.7073,Clinique Parassy,hospital,hospital,
45.740490,7.314095,osm_accettazione_covid_45.7405_7.3141,Accettazione Covid,hospital,hospital,
46.068398,6.581462,osm_cmpa___cattpa_de_cluse_46.0684_6.5815,CMPA / CATTPA de Cluse,hospital,hospital,
46.061225,6.582091,osm_pej_point_ecoute_jeune_46.0612_6.5821,PEJ Point Ecoute Jeune,hospital,hospital,
45.935106,6.642621,osm_antenne_de_p_rinatalit__45.9351_6.6426,Antenne de périnatalité,hospital,hospital,
45.935154,6.642741,osm_psychiatrie_de_liaison_des_hopitaux_du_p_45.9352_6.6427,Psychiatrie de liaison des hopitaux du Pays du Mont-Blanc,hospital,hospital,
45.937403,6.629740,osm_point_ecoute_jeunes_sallanches_45.9374_6.6297,Point Ecoute Jeunes Sallanches,hospital,hospital,
46.316740,7.981927,osm_spitalzentrum_oberwallis_brig_46.3167_7.9819,Spitalzentrum Oberwallis Brig,hospital,hospital,
46.499366,7.675561,osm_bl_mlisalp_46.4994_7.6756,Blümlisalp,ristorante,ristorante,
46.029750,7.774012,osm_tufternh_tte_46.0297_7.7740,Tufternhütte,ristorante,ristorante,
46.021006,7.797776,osm_rothorn_46.0210_7.7978,Rothorn,ristorante,ristorante,
46.017100,7.769986,osm_sunnegga_46.0171_7.7700,Sunnegga,ristorante,ristorante,
45.999698,7.747085,osm_ch_mi_hitta_45.9997_7.7471,Chämi-Hitta,ristorante,ristorante,
45.534433,6.635104,osm_la_luge_45.5344_6.6351,La Luge,ristorante,ristorante,
45.534799,6.635327,osm_la_tourmente_45.5348_6.6353,La Tourmente,ristorante,ristorante,
45.534839,6.636019,osm_le_carrelet_45.5348_6.6360,Le Carrelet,ristorante,ristorante,
45.555545,6.647206,osm_l_ar_me_45.5555_6.6472,L'arôme,ristorante,ristorante,
46.099229,7.268217,osm_l_olympique_46.0992_7.2682,L'Olympique,ristorante,ristorante,
46.084533,7.301699,osm_black_tap_46.0845_7.3017,Black Tap,ristorante,ristorante,
46.130184,7.224492,osm_chez_simon_46.1302_7.2245,Chez Simon,ristorante,ristorante,
46.090691,7.253165,osm_le_mouton_noir_46.0907_7.2532,Le Mouton Noir,ristorante,ristorante,
46.113587,7.303948,osm_la_chotte_de_tortin_46.1136_7.3039,La Chotte de Tortin,ristorante,ristorante,
45.922808,6.873121,osm_chambre_neuf_45.9228_6.8731,Chambre Neuf,ristorante,ristorante,
45.971409,7.722253,osm_ice___buffet_bar_pizzeria_45.9714_7.7223,ice | Buffet Bar Pizzeria,ristorante,ristorante,
45.987836,7.712536,osm_furgg_45.9878_7.7125,Furgg,ristorante,ristorante,
45.941166,7.654899,osm_plan_maison_45.9412_7.6549,Plan Maison,ristorante,ristorante,
45.929986,7.680082,osm_bar_ristorante_cime_bianche_laghi_45.9300_7.6801,Bar Ristorante Cime Bianche Laghi,ristorante,ristorante,
45.944871,7.649258,osm_love_cervinia_45.9449_7.6493,Love Cervinia,ristorante,ristorante,
45.671984,6.541007,osm_le_telemark_45.6720_6.5410,Le Telemark,ristorante,ristorante,
45.888577,6.739523,osm_la_cha_45.8886_6.7395,La Cha,ristorante,ristorante,
45.923139,6.872820,osm_delph_s_45.9231_6.8728,Delph's,ristorante,ristorante,
46.398867,7.669783,osm_fl_ealp_46.3989_7.6698,Flüealp,ristorante,ristorante,
46.323516,7.074466,osm_restaurant_du_lac_de_bretaye_46.3235_7.0745,Restaurant du Lac de Bretaye,ristorante,ristorante,
46.332521,7.083258,osm_restaurant_lac_des_chavonnes_46.3325_7.0833,Restaurant Lac des Chavonnes,ristorante,ristorante,
46.175185,6.845631,osm_la_croix_de_culet_46.1752_6.8456,La Croix de Culet,ristorante,ristorante,
46.138634,7.573537,osm_clems___fabs_46.1386_7.5735,Clems & Fabs,ristorante,ristorante,
46.092424,7.899786,osm_spielboden_46.0924_7.8998,Spielboden,ristorante,ristorante,
46.290955,7.438143,osm_caf__d_icogne_46.2910_7.4381,Café d'Icogne,ristorante,ristorante,
46.261510,7.387754,osm_trattoria_des_cr_tes_46.2615_7.3878,Trattoria des Crêtes,ristorante,ristorante,
46.280852,7.382543,osm_caf__du_lac__restaurant_du_lac_46.2809_7.3825,"Café du Lac, Restaurant du Lac",ristorante,ristorante,
46.030039,7.721071,osm_berggasthaus_trift_46.0300_7.7211,Berggasthaus Trift,ristorante,ristorante,
46.104718,7.234161,osm_la_table_verbier_46.1047_7.2342,La Table Verbier,ristorante,ristorante,
46.091082,7.266656,osm_l_inkontro_46.0911_7.2667,L'Inkontro,ristorante,ristorante,
46.114911,7.232406,osm_namast__46.1149_7.2324,Namasté,ristorante,ristorante,
46.114722,7.230571,osm_la_marmotte_46.1147_7.2306,La Marmotte,ristorante,ristorante,
46.098432,7.272986,osm_3023_46.0984_7.2730,3023,ristorante,ristorante,
46.086739,7.236372,osm_chez_dany_46.0867_7.2364,Chez Dany,ristorante,ristorante,
46.030339,7.274198,osm_cabane_brunet_46.0303_7.2742,Cabane Brunet,ristorante,ristorante,
46.060594,7.195010,osm_moay_46.0606_7.1950,Moay,ristorante,ristorante,
46.097483,7.219493,osm_montpelier_46.0975_7.2195,Montpelier,ristorante,ristorante,
46.098798,7.225083,osm_scalco_46.0988_7.2251,Scalco,ristorante,ristorante,
46.100548,7.230327,osm_le_rouge_46.1005_7.2303,Le Rouge,ristorante,ristorante,
46.108439,7.207913,osm_la_marlenaz_46.1084_7.2079,La Marlenaz,ristorante,ristorante,
46.108547,7.223453,osm_sonalon_46.1085_7.2235,Sonalon,ristorante,ristorante,
46.101957,7.241985,osm_le_carrefour_46.1020_7.2420,Le Carrefour,ristorante,ristorante,
46.096488,7.246392,osm_mayentset_46.0965_7.2464,Mayentset,ristorante,ristorante,
46.095981,7.228077,osm_l_ecurie_46.0960_7.2281,L'Ecurie,ristorante,ristorante,
46.126500,7.060497,osm_march__46.1265_7.0605,Marché,ristorante,ristorante,
46.096751,7.229100,osm_borsalino_46.0968_7.2291,Borsalino,ristorante,ristorante,
46.122277,7.218852,osm_savoleyres_46.1223_7.2189,Savoleyres,ristorante,ristorante,
46.081354,7.213270,osm_le_koti_46.0814_7.2133,Le KOTI,ristorante,ristorante,
46.094861,7.230907,osm_fer___cheval_46.0949_7.2309,Fer à Cheval,ristorante,ristorante,
46.093244,7.233410,osm_vieux_verbier_46.0932_7.2334,Vieux Verbier,ristorante,ristorante,
46.093919,7.232807,osm_offshore_46.0939_7.2328,Offshore,ristorante,ristorante,
46.102055,7.227977,osm_al_capone_46.1021_7.2280,Al Capone,ristorante,ristorante,
46.057916,7.001186,osm_restaurant_du_col_de_la_forclaz_46.0579_7.0012,Restaurant du col de la Forclaz,ristorante,ristorante,
46.339761,6.931637,osm_mcdonald_s_46.3398_6.9316,McDonald's,ristorante,ristorante,
46.139828,7.333254,osm_combatseline_46.1398_7.3333,Combatseline,ristorante,ristorante,
46.139837,7.293596,osm_plan_du_fou_46.1398_7.2936,Plan du Fou,ristorante,ristorante,
46.348941,7.158586,osm_l_ormonan_46.3489_7.1586,L'Ormonan,ristorante,ristorante,
46.440791,7.429404,osm_berghaus_stoss_46.4408_7.4294,Berghaus Stoss,ristorante,ristorante,
46.428672,7.409120,osm_berghaus_leiterli_46.4287_7.4091,Berghaus Leiterli,ristorante,ristorante,
45.992939,7.183598,osm_la_channe_45.9929_7.1836,La Channe,ristorante,ristorante,
45.987283,7.183792,osm_caf__de_dranse_45.9873_7.1838,Café de Dranse,ristorante,ristorante,
46.196855,7.173410,osm_le_vieux_valais_46.1969_7.1734,Le Vieux Valais,ristorante,ristorante,
46.204290,7.166265,osm_la_pension_d_ovronnaz_46.2043_7.1663,La Pension d'Ovronnaz,ristorante,ristorante,
46.457206,7.513439,osm_geilsbr_ggli_46.4572_7.5134,Geilsbrüggli,ristorante,ristorante,
46.443868,7.494988,osm_bergrestaurant_metschstand_46.4439_7.4950,Bergrestaurant Metschstand,ristorante,ristorante,
46.201462,7.173817,osm_la_promenade_46.2015_7.1738,La Promenade,ristorante,ristorante,
45.935571,7.631889,osm_lino_s_45.9356_7.6319,Lino's,ristorante,ristorante,
45.939144,7.634999,osm_bar_ristorante_la_bricole_45.9391_7.6350,Bar Ristorante La Bricole,ristorante,ristorante,
46.191725,6.775885,osm_le_cabane_46.1917_6.7759,Le Cabane,ristorante,ristorante,
46.295540,7.103160,osm_chez_gipsy_46.2955_7.1032,Chez Gipsy,ristorante,ristorante,
46.311033,7.079067,osm_le_panoramique__golf_club__46.3110_7.0791,Le Panoramique (Golf Club),ristorante,ristorante,
45.988676,7.763587,osm_igludorf_45.9887_7.7636,Igludorf,ristorante,ristorante,
46.091600,7.065688,osm_les_3_couronnes_46.0916_7.0657,Les 3 Couronnes,ristorante,ristorante,
46.097730,7.910487,osm_gletschergrotte_46.0977_7.9105,Gletschergrotte,ristorante,ristorante,
46.292409,7.881404,osm_mcdonald_s_46.2924_7.8814,McDonald's,ristorante,ristorante,
46.342471,7.498460,osm_violettes_46.3425_7.4985,Violettes,ristorante,ristorante,
45.921631,7.692627,osm_bar_ventina_45.9216_7.6926,Bar Ventina,ristorante,ristorante,
46.080216,7.211129,osm_caf__de_la_place_46.0802_7.2111,Café de La Place,ristorante,ristorante,
45.894871,7.661520,osm_bar_ristorante_lo_baracon_dou_t_ne_45.8949_7.6615,Bar Ristorante Lo Baracon Dou Téne,ristorante,ristorante,
45.947931,7.694082,osm_bar_ristorante_bontadini_45.9479_7.6941,Bar Ristorante Bontadini,ristorante,ristorante,
45.945527,7.666199,osm_chalet_etoile_45.9455_7.6662,Chalet Etoile,ristorante,ristorante,
