# lat,lng,id,name,building_type,type,url,page_type
# romano_dezzelino -- Tutti
45.774693,11.771892,ov_distretto_sanitario_villa_ferrari_45.7747_11.7719,Distretto Sanitario Villa Ferrari,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/distretto_sanitario_villa_ferrari_45.7747_11.7719.json,custom
45.791130,11.739960,ov_agriturismo_al_cervo__di_scotton_mario_45.7911_11.7400,Agriturismo Al Cervo  di Scotton Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/agriturismo_al_cervo_di_scotton_mario_45.7911_11.7400.json,custom
45.811901,11.742652,ov_la_trincea___osteria_trattoria_45.8119_11.7427,La Trincea - Osteria Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/la_trincea_-_osteria_trattoria_45.8119_11.7427.json,custom
45.782577,11.748683,ov_osteria_cantina_ca_cornaro_45.7826_11.7487,Osteria Cantina Ca Cornaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/osteria_cantina_ca_cornaro_45.7826_11.7487.json,custom
45.756692,11.777620,ov_ristorante_le_fontane_45.7567_11.7776,Ristorante Le Fontane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/ristorante_le_fontane_45.7567_11.7776.json,custom
45.755577,11.777960,ov_trattoria_il_pavone_45.7556_11.7780,Trattoria Il Pavone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/trattoria_il_pavone_45.7556_11.7780.json,custom
45.750958,11.779082,ov_in_trattoria_da_rita_e_fabio_45.7510_11.7791,In Trattoria da Rita e Fabio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/in_trattoria_da_rita_e_fabio_45.7510_11.7791.json,custom
45.748838,11.788616,ov_ristorante_al_pioppeto_45.7488_11.7886,Ristorante al Pioppeto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/ristorante_al_pioppeto_45.7488_11.7886.json,custom
45.751507,11.792774,ov_nico_s_pizza_45.7515_11.7928,Nico's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/nicos_pizza_45.7515_11.7928.json,custom
45.761999,11.792070,ov_trattoria_chantal_45.7620_11.7921,Trattoria Chantal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/trattoria_chantal_45.7620_11.7921.json,custom
45.769670,11.791120,ov_wamy_sushi_45.7697_11.7911,Wamy Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/wamy_sushi_45.7697_11.7911.json,custom
45.779382,11.784604,ov_eriospizza_kilometrizero_45.7794_11.7846,Eriospizza Kilometrizero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/eriospizza_kilometrizero_45.7794_11.7846.json,custom
