# lat,lng,id,name,building_type,type,url,page_type
# calci -- Tutti
43.719033,10.525008,ov_ospedale_psichiatrico_di_rezzano_43.7190_10.5250,Ospedale Psichiatrico Di Rezzano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/ospedale_psichiatrico_di_rezzano_43.7190_10.5250.json,custom
43.708225,10.504152,ov_voglia_di_pizza_43.7082_10.5042,Voglia di pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/voglia_di_pizza_43.7082_10.5042.json,custom
43.713258,10.505710,ov_pizzeria_il_coyote_43.7133_10.5057,Pizzeria il Coyote,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/pizzeria_il_coyote_43.7133_10.5057.json,custom
43.717419,10.511344,ov_circolo_la_corte_pizzeria_43.7174_10.5113,Circolo La Corte Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/circolo_la_corte_pizzeria_43.7174_10.5113.json,custom
43.722296,10.500321,ov_pizzeria_la_certosa_43.7223_10.5003,Pizzeria la Certosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/pizzeria_la_certosa_43.7223_10.5003.json,custom
43.720144,10.537028,ov_la_bottega_di_montemagno_43.7201_10.5370,La Bottega di Montemagno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/la_bottega_di_montemagno_43.7201_10.5370.json,custom
43.720241,10.537179,ov_trattoria_di_montemagno_43.7202_10.5372,Trattoria di Montemagno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/trattoria_di_montemagno_43.7202_10.5372.json,custom
43.722496,10.513826,ov_pozzo_di_san_vito_43.7225_10.5138,Pozzo Di San Vito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/pozzo_di_san_vito_43.7225_10.5138.json,custom
43.722414,10.522011,ov_agriturismo_ristoro_terra_e_aroma_43.7224_10.5220,Agriturismo Ristoro Terra e Aroma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/agriturismo_ristoro_terra_e_aroma_43.7224_10.5220.json,custom
43.725774,10.514677,ov_pizzeria_zio_tony_43.7258_10.5147,Pizzeria zio Tony,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/pizzeria_zio_tony_43.7258_10.5147.json,custom
43.736300,10.548803,ov_i_cristalli_43.7363_10.5488,I Cristalli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/i_cristalli_43.7363_10.5488.json,custom
43.726750,10.516858,ov_voglia_di_pizza_43.7267_10.5169,Voglia di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/voglia_di_pizza_43.7267_10.5169.json,custom
43.726823,10.514146,ov_margo_in_trattoria_43.7268_10.5141,Margo In Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/margo_in_trattoria_43.7268_10.5141.json,custom
43.731945,10.514907,ov_farmhouse_al_palazzaccio_43.7319_10.5149,Farmhouse Al Palazzaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/farmhouse_al_palazzaccio_43.7319_10.5149.json,custom
43.734275,10.531679,ov_ristorante_san_bernardo_calci_43.7343_10.5317,Ristorante San Bernardo Calci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/ristorante_san_bernardo_calci_43.7343_10.5317.json,custom
43.754047,10.547776,ov_trattoria_la_piazzetta_43.7540_10.5478,Trattoria La Piazzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/trattoria_la_piazzetta_43.7540_10.5478.json,custom
43.744642,10.531823,ov_ristorante_il_conventino_43.7446_10.5318,Ristorante Il Conventino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/ristorante_il_conventino_43.7446_10.5318.json,custom
43.717388,10.511346,osm_circolo_la_corte_43.7174_10.5113,Circolo La Corte,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/circolo_la_corte_43.7174_10.5113.json,custom
43.725828,10.514693,osm_zio_tony_43.7258_10.5147,Zio Tony,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/zio_tony_43.7258_10.5147.json,custom
43.725699,10.514644,osm_ristorante_le_gemelle_43.7257_10.5146,Ristorante Le Gemelle,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/ristorante_le_gemelle_43.7257_10.5146.json,custom
43.722493,10.521952,osm_agriturismo_terra___aroma_43.7225_10.5220,Agriturismo Terra & Aroma,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/agriturismo_terra_aroma_43.7225_10.5220.json,custom
43.717356,10.515047,ov_il_chiosco_del_parco_43.7174_10.5150,Il Chiosco Del Parco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/il_chiosco_del_parco_43.7174_10.5150.json,custom
43.726135,10.514333,ov_casa_del_popolo___arci_la_pieve_43.7261_10.5143,Casa del Popolo - Arci La Pieve,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/casa_del_popolo_-_arci_la_pieve_43.7261_10.5143.json,custom
43.733052,10.518139,ov_l_emporio_di_sandra_43.7331_10.5181,L'Emporio Di Sandra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/lemporio_di_sandra_43.7331_10.5181.json,custom
43.732859,10.517839,ov_nuovo_acli_toniolo_43.7329_10.5178,Nuovo Acli Toniolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/nuovo_acli_toniolo_43.7329_10.5178.json,custom
43.733551,10.518286,ov_la_staffetta_43.7336_10.5183,La Staffetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/la_staffetta_43.7336_10.5183.json,custom
43.733672,10.518298,ov_la_fabbrica_43.7337_10.5183,La Fabbrica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/la_fabbrica_43.7337_10.5183.json,custom
43.725347,10.515212,osm_bar_pasticceria___andreoni_43.7253_10.5152,Bar Pasticceria - Andreoni,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/bar_pasticceria_-_andreoni_43.7253_10.5152.json,custom
43.725476,10.512195,ov_palestra_v_b_c__calci_43.7255_10.5122,Palestra V.B.C. Calci,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/palestra_vbc_calci_43.7255_10.5122.json,custom
43.719669,10.515139,ov_centro_ippico_la_cartuja_43.7197_10.5151,Centro Ippico La Cartuja,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/centro_ippico_la_cartuja_43.7197_10.5151.json,custom
43.716343,10.518128,ov_a_s_d_stelle_e_crini_43.7163_10.5181,A.S.D Stelle e Crini,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/asd_stelle_e_crini_43.7163_10.5181.json,custom
43.726717,10.518995,ov_palestra_comunale_m__magagnini_43.7267_10.5190,Palestra Comunale M. Magagnini,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/palestra_comunale_m_magagnini_43.7267_10.5190.json,custom
