# lat,lng,id,name,building_type,type,url,page_type
# torrita_di_siena -- Tutti
43.166671,11.771789,ov_harmonia___studio_medico_43.1667_11.7718,Harmonia - Studio Medico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/harmonia_-_studio_medico_43.1667_11.7718.json,custom
43.122781,11.721647,ov_ficopazzo_ristorante___agriturismo_43.1228_11.7216,Ficopazzo Ristorante & Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/ficopazzo_ristorante_agriturismo_43.1228_11.7216.json,custom
43.123683,11.744323,ov_ristorante_la_chiusa_43.1237_11.7443,Ristorante La Chiusa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/ristorante_la_chiusa_43.1237_11.7443.json,custom
43.124780,11.743160,ov_ristorante_l__olivo_43.1248_11.7432,Ristorante l' Olivo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/ristorante_l_olivo_43.1248_11.7432.json,custom
43.149187,11.738807,ov_ristorante_pizzeria_le_macine_43.1492_11.7388,Ristorante Pizzeria Le Macine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/ristorante_pizzeria_le_macine_43.1492_11.7388.json,custom
43.134552,11.729656,ov_ristorante_pizzeria_il_botteghino_43.1346_11.7297,Ristorante Pizzeria Il Botteghino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/ristorante_pizzeria_il_botteghino_43.1346_11.7297.json,custom
43.134933,11.733949,ov_agriturismo_ristorante_belagaggio___tosc_43.1349_11.7339,Agriturismo Ristorante Belagaggio - Toscana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/agriturismo_ristorante_belagaggio_-_tosc_43.1349_11.7339.json,custom
43.129707,11.751683,ov_azienda_agrituristica_podere_pratovecchi_43.1297_11.7517,Azienda Agrituristica Podere Pratovecchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/azienda_agrituristica_podere_pratovecchi_43.1297_11.7517.json,custom
43.127162,11.746167,ov_ristorante_13_gobbi_43.1272_11.7462,Ristorante 13 Gobbi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/ristorante_13_gobbi_43.1272_11.7462.json,custom
43.127189,11.746490,ov_ristorante_osteria_la_botte_piena_43.1272_11.7465,Ristorante Osteria La Botte Piena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/ristorante_osteria_la_botte_piena_43.1272_11.7465.json,custom
43.165797,11.772215,ov_ristorante_il_cipresso_43.1658_11.7722,Ristorante Il Cipresso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/ristorante_il_cipresso_43.1658_11.7722.json,custom
