# lat,lng,id,name,building_type,type,url,page_type
# Borgo Valbelluna -- Tutti
46.072626,12.137882,ov_manlio_cortina_allineatore_vertebrale_46.0726_12.1379,Manlio Cortina Allineatore Vertebrale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/manlio_cortina_allineatore_vertebrale_46.0726_12.1379.json,custom
46.065196,12.085464,ov_agriturismo_col_de_venz_46.0652_12.0855,Agriturismo Col De Venz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/agriturismo_col_de_venz_46.0652_12.0855.json,custom
46.061868,12.079731,ov_antica_locanda_cappello_46.0619_12.0797,Antica Locanda Cappello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/antica_locanda_cappello_46.0619_12.0797.json,custom
46.062230,12.081690,ov_donato_pizzachef_46.0622_12.0817,Donato pizzachef,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/donato_pizzachef_46.0622_12.0817.json,custom
46.036900,12.077500,ov_al_boz_46.0369_12.0775,Al Boz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/al_boz_46.0369_12.0775.json,custom
46.038501,12.074957,ov_osteria_da_armida_46.0385_12.0750,Osteria Da Armida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/osteria_da_armida_46.0385_12.0750.json,custom
46.047610,12.060925,ov_salinas_46.0476_12.0609,Salinas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/salinas_46.0476_12.0609.json,custom
46.048164,12.060261,ov_pizzeria_ristorante_charlie_46.0482_12.0603,Pizzeria Ristorante Charlie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/pizzeria_ristorante_charlie_46.0482_12.0603.json,custom
46.036386,12.081765,ov_castello_di_zumelle_46.0364_12.0818,Castello di Zumelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/castello_di_zumelle_46.0364_12.0818.json,custom
46.003662,12.077702,ov_rifugio_osteria_al_boz_46.0037_12.0777,Rifugio Osteria Al Boz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/rifugio_osteria_al_boz_46.0037_12.0777.json,custom
46.033290,12.024148,ov_osteria_col_de_ru_46.0333_12.0241,Osteria Col De Ru,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/osteria_col_de_ru_46.0333_12.0241.json,custom
46.015198,12.030567,ov_ristorante_da_baiocco_46.0152_12.0306,Ristorante Da Baiocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/ristorante_da_baiocco_46.0152_12.0306.json,custom
46.010938,12.051328,ov_agriturismo_ai_gir_46.0109_12.0513,Agriturismo Ai Gir,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/agriturismo_ai_gir_46.0109_12.0513.json,custom
46.026340,12.040683,ov_bon_tajer_46.0263_12.0407,Bon Tajer,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/bon_tajer_46.0263_12.0407.json,custom
46.048970,12.049643,ov_pizza_express_di_donato_46.0490_12.0496,Pizza Express di Donato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valbelluna/pages/pizza_express_di_donato_46.0490_12.0496.json,custom
