# lat,lng,id,name,building_type,type,url,page_type
# roccasecca -- Tutti
41.532919,13.647756,ov_centro_polispecialistico_fare_41.5329_13.6478,Centro Polispecialistico FARE,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/centro_polispecialistico_fare_41.5329_13.6478.json,custom
41.544013,13.633021,ov_la_locanda_del_passante_41.5440_13.6330,La Locanda del Passante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/la_locanda_del_passante_41.5440_13.6330.json,custom
41.550000,13.666700,ov_magna_magna_41.5500_13.6667,Magna Magna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/magna_magna_41.5500_13.6667.json,custom
41.552955,13.666863,ov_pizza_art_41.5530_13.6669,Pizza Art,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/pizza_art_41.5530_13.6669.json,custom
41.552446,13.668198,ov_casa_magnolia_roccasecca__fr__41.5524_13.6682,Casa Magnolia Roccasecca (fr),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/casa_magnolia_roccasecca_fr_41.5524_13.6682.json,custom
41.530944,13.657949,ov_peccati_di_gola_41.5309_13.6579,Peccati di gola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/peccati_di_gola_41.5309_13.6579.json,custom
41.530883,13.657799,ov_280grammi_pub_birreria_pizzeria_41.5309_13.6578,280grammi pub birreria pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/280grammi_pub_birreria_pizzeria_41.5309_13.6578.json,custom
41.522004,13.656144,ov_agridoc_41.5220_13.6561,Agridoc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/agridoc_41.5220_13.6561.json,custom
41.526947,13.645669,ov_pizzeria_del_secolo_41.5269_13.6457,Pizzeria del Secolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/pizzeria_del_secolo_41.5269_13.6457.json,custom
41.527030,13.645170,ov_pizzeria_franca_e_peppino_41.5270_13.6452,Pizzeria Franca e Peppino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/pizzeria_franca_e_peppino_41.5270_13.6452.json,custom
41.535038,13.650436,ov_pizzeria_da_franco_41.5350_13.6504,Pizzeria Da Franco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/pizzeria_da_franco_41.5350_13.6504.json,custom
