# lat,lng,id,name,building_type,type,url,page_type
# Rossano -- Tutti
39.596392,16.637581,osm_ospedale_civile_nicola_giannettasio_39.5964_16.6376,Ospedale Civile Nicola Giannettasio,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rossano/pages/ospedale_civile_nicola_giannettasio_39.5964_16.6376.json,custom
39.587315,16.625508,ov_la_locanda_del_lupo_39.5873_16.6255,La Locanda Del Lupo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rossano/pages/la_locanda_del_lupo_39.5873_16.6255.json,custom
39.604410,16.618380,ov_tokiyo_sushi_39.6044_16.6184,Tokiyo sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rossano/pages/tokiyo_sushi_39.6044_16.6184.json,custom
39.584120,16.571490,ov_chiosco_pathirion_39.5841_16.5715,Chiosco Pathirion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rossano/pages/chiosco_pathirion_39.5841_16.5715.json,custom
39.581778,16.632561,ov_agriturismo_campo_antico_39.5818_16.6326,Agriturismo Campo Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rossano/pages/agriturismo_campo_antico_39.5818_16.6326.json,custom
39.566815,16.633231,ov_antica_fattoria_malvitano_ristorantepizz_39.5668_16.6332,Antica Fattoria Malvitano ristorantepizzeriaresidence,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rossano/pages/antica_fattoria_malvitano_ristorantepizz_39.5668_16.6332.json,custom
39.602940,16.638500,ov_foodstock__69_39.6029_16.6385,Foodstock '69,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rossano/pages/foodstock_69_39.6029_16.6385.json,custom
39.574924,16.635634,ov_museo_diocesano_e_del_codex_39.5749_16.6356,Museo Diocesano E Del Codex,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rossano/pages/museo_diocesano_e_del_codex_39.5749_16.6356.json,custom
