# lat,lng,id,name,building_type,type,url,page_type
# finkenstein_am_faaker_see -- Tutti
46.564820,13.968400,ov_tanja_jereb_46.5648_13.9684,Tanja Jereb,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/tanja_jereb_46.5648_13.9684.json,custom
46.571502,13.956805,ov_harry_s_farm_46.5715_13.9568,Harry's Farm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/harrys_farm_46.5715_13.9568.json,custom
46.565846,13.965287,ov_out_back_ledenitzen_46.5658_13.9653,Out-Back Ledenitzen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/out-back_ledenitzen_46.5658_13.9653.json,custom
46.566347,13.920647,ov_seerestaurant_faak_46.5663_13.9206,Seerestaurant Faak,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/seerestaurant_faak_46.5663_13.9206.json,custom
46.571021,13.933221,ov_mykonos_46.5710_13.9332,Mykonos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/mykonos_46.5710_13.9332.json,custom
46.570757,13.933169,ov_giuseppes_pizzeria_46.5708_13.9332,Giuseppes Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/giuseppes_pizzeria_46.5708_13.9332.json,custom
46.556702,13.948944,ov_terra_sarda_46.5567_13.9489,Terra Sarda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/terra_sarda_46.5567_13.9489.json,custom
46.574911,13.936811,ov_arneitz_village_46.5749_13.9368,Arneitz Village,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/arneitz_village_46.5749_13.9368.json,custom
46.578104,13.936355,ov_mr__bro_d_ner___pizza_46.5781_13.9364,Mr. Bro Döner & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/mr_bro_dner_pizza_46.5781_13.9364.json,custom
46.573973,13.932560,ov_restaurant_anderwald_46.5740_13.9326,Restaurant Anderwald,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/restaurant_anderwald_46.5740_13.9326.json,custom
46.565621,13.913088,ov_pizzeria_venezia_46.5656_13.9131,Pizzeria Venezia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/pizzeria_venezia_46.5656_13.9131.json,custom
46.568828,13.905344,ov_k_rntnerhof_scheiber_46.5688_13.9053,Kärntnerhof Scheiber,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/krntnerhof_scheiber_46.5688_13.9053.json,custom
46.569737,13.869570,ov_kirchenwirt_das_steak_wirtshaus_46.5697_13.8696,Kirchenwirt Das Steak-Wirtshaus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/kirchenwirt_das_steak-wirtshaus_46.5697_13.8696.json,custom
46.563625,13.851159,ov_restaurant_golfclub_schloss_finkenstein_46.5636_13.8512,Restaurant Golfclub Schloss Finkenstein,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/restaurant_golfclub_schloss_finkenstein_46.5636_13.8512.json,custom
46.560796,13.807838,ov_gasthaus_muschett_46.5608_13.8078,Gasthaus Muschett,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/gasthaus_muschett_46.5608_13.8078.json,custom
46.566487,13.807944,ov_kebap_f_rnitz_46.5665_13.8079,Kebap Fürnitz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/kebap_frnitz_46.5665_13.8079.json,custom
46.562287,13.929637,osm_dorfwirt_46.5623_13.9296,Dorfwirt,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/dorfwirt_46.5623_13.9296.json,custom
46.566834,13.926615,osm_freiraum_am_see_46.5668_13.9266,Freiraum am See,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/freiraum_am_see_46.5668_13.9266.json,custom
46.561210,13.872480,osm_gasthof_feichter_46.5612_13.8725,Gasthof Feichter,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/gasthof_feichter_46.5612_13.8725.json,custom
46.565800,13.965385,ov_autback_46.5658_13.9654,Autback,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/autback_46.5658_13.9654.json,custom
46.546196,13.943911,ov_buschenschenke_ischnighof_46.5462_13.9439,Buschenschenke Ischnighof,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/buschenschenke_ischnighof_46.5462_13.9439.json,custom
46.555117,13.944551,ov_seerose_restaurant_mit_badestrand_46.5551_13.9446,Seerose Restaurant mit Badestrand,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/seerose_restaurant_mit_badestrand_46.5551_13.9446.json,custom
46.563310,13.924446,ov_gr_ner_heinrich_cafe_und_unverpacktladen_46.5633_13.9244,Grüner Heinrich Cafe und Unverpacktladen,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/grner_heinrich_cafe_und_unverpacktladen_46.5633_13.9244.json,custom
46.566938,13.926220,ov_see_la_vie_46.5669_13.9262,see la vie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/see_la_vie_46.5669_13.9262.json,custom
46.574676,13.936687,ov_house_of_rock_46.5747_13.9367,House of Rock,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/house_of_rock_46.5747_13.9367.json,custom
