# lat,lng,id,name,building_type,type,url,page_type
# Melilli -- Tutti
37.176650,15.133820,ov_dental_art_37.1767_15.1338,Dental Art,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/dental_art_37.1767_15.1338.json,custom
37.251817,15.093295,ov_la_terrazza_al_faro_37.2518_15.0933,La terrazza al faro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/la_terrazza_al_faro_37.2518_15.0933.json,custom
37.180510,15.128910,ov_singhiozzo_37.1805_15.1289,Singhiozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/singhiozzo_37.1805_15.1289.json,custom
37.179112,15.128972,ov_victory_food_and_drink_37.1791_15.1290,Victory Food and Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/victory_food_and_drink_37.1791_15.1290.json,custom
37.178698,15.127642,ov_the_heavenly_roll_and_kebab_37.1787_15.1276,The Heavenly Roll and kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/the_heavenly_roll_and_kebab_37.1787_15.1276.json,custom
37.178317,15.142817,ov_al_vintage_37.1783_15.1428,Al Vintage,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/al_vintage_37.1783_15.1428.json,custom
37.177997,15.130832,ov_pizzeria_trattoria_al_ritrovo_37.1780_15.1308,Pizzeria Trattoria Al Ritrovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/pizzeria_trattoria_al_ritrovo_37.1780_15.1308.json,custom
37.177566,15.129107,ov_agli_archi_37.1776_15.1291,Agli Archi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/agli_archi_37.1776_15.1291.json,custom
37.103407,15.209245,ov_kalispera_37.1034_15.2092,Kalispera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/kalispera_37.1034_15.2092.json,custom
37.104291,15.211013,ov_il_borgo_di_citt__giardino_37.1043_15.2110,Il Borgo di Città Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/il_borgo_di_citt_giardino_37.1043_15.2110.json,custom
37.110683,15.228477,ov_mcdonald_s_37.1107_15.2285,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/mcdonalds_37.1107_15.2285.json,custom
37.110940,15.228354,ov_rossopomodoro_37.1109_15.2284,Rossopomodoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/rossopomodoro_37.1109_15.2284.json,custom
37.111356,15.228900,ov_panicunzatu_37.1114_15.2289,Panicunzatu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/panicunzatu_37.1114_15.2289.json,custom
37.176407,15.097981,ov_agriturismo_massaru_pippinu_37.1764_15.0980,Agriturismo Massaru Pippinu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/agriturismo_massaru_pippinu_37.1764_15.0980.json,custom
