# lat,lng,id,name,building_type,type,url,page_type
# sorgono -- Tutti
40.021648,9.099981,ov_ospedale_san_camillo_40.0216_9.1000,Ospedale San Camillo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/ospedale_san_camillo_40.0216_9.1000.json,custom
40.003054,9.046034,ov_agriturismo_san_mauro_40.0031_9.0460,Agriturismo San Mauro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/agriturismo_san_mauro_40.0031_9.0460.json,custom
40.005369,9.071327,ov_agriturismo_su_connottu_40.0054_9.0713,Agriturismo Su connottu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/agriturismo_su_connottu_40.0054_9.0713.json,custom
40.012180,9.100363,ov_agriturismo_pranu_cucina_naturale_40.0122_9.1004,Agriturismo Pranu Cucina Naturale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/agriturismo_pranu_cucina_naturale_40.0122_9.1004.json,custom
40.026717,9.103554,ov_fast_food_ss_128_40.0267_9.1036,Fast Food SS 128,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/fast_food_ss_128_40.0267_9.1036.json,custom
40.025973,9.102463,ov_mordi_fuggi_40.0260_9.1025,Mordi Fuggi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/mordi_fuggi_40.0260_9.1025.json,custom
40.020849,9.099284,osm_bar_ristorante_pizzeria_da_fabrizio_40.0208_9.0993,Bar Ristorante Pizzeria da Fabrizio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/bar_ristorante_pizzeria_da_fabrizio_40.0208_9.0993.json,custom
40.024261,9.101059,ov_bar_valentino_di_corriga_anatolia_40.0243_9.1011,Bar valentino di Corriga Anatolia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/bar_valentino_di_corriga_anatolia_40.0243_9.1011.json,custom
40.027451,9.103836,ov_bar_il_risveglio_40.0275_9.1038,Bar Il Risveglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/bar_il_risveglio_40.0275_9.1038.json,custom
40.026662,9.103372,ov_caffe_wine_bar_sa_tappara_40.0267_9.1034,Caffe Wine Bar Sa Tappara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/caffe_wine_bar_sa_tappara_40.0267_9.1034.json,custom
40.023574,9.100907,ov_friends__zone_40.0236_9.1009,Friends' zone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/friends_zone_40.0236_9.1009.json,custom
40.027624,9.104492,osm_ufficio_postale_di_sorgono_40.0276_9.1045,Ufficio Postale di Sorgono,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/ufficio_postale_di_sorgono_40.0276_9.1045.json,custom
40.028134,9.104049,ov_biblioteca_comunale_antonio_gramsci___so_40.0281_9.1040,Biblioteca Comunale Antonio Gramsci - Sorgono,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sorgono/pages/biblioteca_comunale_antonio_gramsci_-_so_40.0281_9.1040.json,custom
