# lat,lng,id,name,building_type,type,url,page_type
# vigonza -- Tutti
45.426775,11.974318,ov_istituti_clinici_scientifici_maugeri_45.4268_11.9743,Istituti Clinici Scientifici Maugeri,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/istituti_clinici_scientifici_maugeri_45.4268_11.9743.json,custom
45.416986,11.992310,ov_sicilian_goodness_45.4170_11.9923,Sicilian Goodness,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/sicilian_goodness_45.4170_11.9923.json,custom
45.416348,11.992951,ov_pizzeria_il_melograno_45.4163_11.9930,Pizzeria il melograno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/pizzeria_il_melograno_45.4163_11.9930.json,custom
45.423281,11.976739,ov_d4_cafe_45.4233_11.9767,D4 Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/d4_cafe_45.4233_11.9767.json,custom
45.424166,11.972954,ov_trattoria_l_isola_che_non_c___45.4242_11.9730,Trattoria L'Isola che Non C'è,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/trattoria_lisola_che_non_c_45.4242_11.9730.json,custom
45.424894,11.964596,ov_manami_sushipasticceria_45.4249_11.9646,Manami Sushipasticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/manami_sushipasticceria_45.4249_11.9646.json,custom
45.425076,11.979319,ov_trattoria_da_seba_45.4251_11.9793,Trattoria da Seba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/trattoria_da_seba_45.4251_11.9793.json,custom
45.422006,11.978925,ov_eurasia_45.4220_11.9789,Eurasia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/eurasia_45.4220_11.9789.json,custom
45.419195,11.988143,ov_agli_amici_45.4192_11.9881,Agli Amici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/agli_amici_45.4192_11.9881.json,custom
45.419187,11.984433,ov_america_graffiti_45.4192_11.9844,America Graffiti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/america_graffiti_45.4192_11.9844.json,custom
45.419188,11.984438,ov_pop___cibo_e_spettacolo___vigonza__pd__45.4192_11.9844,POP - Cibo e Spettacolo | Vigonza (Pd),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/pop_-_cibo_e_spettacolo_vigonza_pd_45.4192_11.9844.json,custom
45.419255,11.958125,ov_trattoria_maretollo_vigonza_45.4193_11.9581,Trattoria Maretollo Vigonza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/trattoria_maretollo_vigonza_45.4193_11.9581.json,custom
45.433813,11.994090,ov_trattoria_ai_siegoi_45.4338_11.9941,Trattoria Ai Siegoi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/trattoria_ai_siegoi_45.4338_11.9941.json,custom
45.431506,11.967435,ov_fermento_osteria_artigiana_45.4315_11.9674,Fermento osteria artigiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/fermento_osteria_artigiana_45.4315_11.9674.json,custom
45.432297,12.004366,ov_ai_siegoi_45.4323_12.0044,Ai Siegoi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/ai_siegoi_45.4323_12.0044.json,custom
45.426851,11.977383,ov_master_pizza_45.4269_11.9774,Master Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/master_pizza_45.4269_11.9774.json,custom
45.427464,11.958264,ov_acantinassa_45.4275_11.9583,Acantinassa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/acantinassa_45.4275_11.9583.json,custom
45.428049,11.957565,ov_trattoria_da_primo_45.4280_11.9576,Trattoria da Primo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/trattoria_da_primo_45.4280_11.9576.json,custom
45.428058,11.957262,ov_lisca_losca_45.4281_11.9573,Lisca Losca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/lisca_losca_45.4281_11.9573.json,custom
45.428305,11.961846,ov_officina_della_pizza_45.4283_11.9618,Officina Della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/officina_della_pizza_45.4283_11.9618.json,custom
45.428603,11.974723,ov_gam__pizzeria_45.4286_11.9747,Gamí pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/gam_pizzeria_45.4286_11.9747.json,custom
45.428818,11.974604,ov_enoteca_bianco_rosso_e_verduzzo_45.4288_11.9746,Enoteca Bianco Rosso e Verduzzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/enoteca_bianco_rosso_e_verduzzo_45.4288_11.9746.json,custom
45.429077,11.955436,ov_el_peque_o_bistr__45.4291_11.9554,El Pequeño Bistrò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/el_pequeo_bistr_45.4291_11.9554.json,custom
45.430906,11.958299,ov_ellinikon_45.4309_11.9583,Ellinikon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/ellinikon_45.4309_11.9583.json,custom
45.428633,11.953864,ov_istanbul_fast_food_45.4286_11.9539,Istanbul Fast Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/istanbul_fast_food_45.4286_11.9539.json,custom
45.428423,11.953312,ov_punto_proteico_45.4284_11.9533,Punto Proteico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/punto_proteico_45.4284_11.9533.json,custom
45.435011,11.949892,ov_le_midi_45.4350_11.9499,Le Midi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/le_midi_45.4350_11.9499.json,custom
45.435210,11.950877,ov_scalo48_ristorante_45.4352_11.9509,Scalo48 Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/scalo48_ristorante_45.4352_11.9509.json,custom
45.435493,11.951701,ov_taverna_brutta_brusca_45.4355_11.9517,Taverna Brutta Brusca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/taverna_brutta_brusca_45.4355_11.9517.json,custom
45.435660,11.946050,ov_bar_trattoria_al_gallo_45.4357_11.9460,Bar Trattoria al Gallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/bar_trattoria_al_gallo_45.4357_11.9460.json,custom
45.436149,11.960122,ov_pizzeria_da_ciccillo_45.4361_11.9601,Pizzeria Da Ciccillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/pizzeria_da_ciccillo_45.4361_11.9601.json,custom
45.440479,11.966561,ov_el_chiringuito_45.4405_11.9666,El Chiringuito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/el_chiringuito_45.4405_11.9666.json,custom
45.442540,12.017540,ov_antichi_sapori_45.4425_12.0175,Antichi Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/antichi_sapori_45.4425_12.0175.json,custom
45.444208,11.986391,ov_caffe_del_doge_45.4442_11.9864,Caffe Del Doge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/caffe_del_doge_45.4442_11.9864.json,custom
45.444058,11.985386,ov_la_vite_bianca_45.4441_11.9854,La Vite Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/la_vite_bianca_45.4441_11.9854.json,custom
45.444048,11.985735,ov_pizzeria_antica_roma_45.4440_11.9857,Pizzeria Antica Roma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/pizzeria_antica_roma_45.4440_11.9857.json,custom
45.444133,11.987640,ov_ristorante_la_ruota_45.4441_11.9876,Ristorante La Ruota,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/ristorante_la_ruota_45.4441_11.9876.json,custom
45.443788,11.989351,ov_so_e_bronse_45.4438_11.9894,So e bronse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/so_e_bronse_45.4438_11.9894.json,custom
45.443970,11.989460,ov_caffe_del_doge_45.4440_11.9895,Caffe Del Doge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/caffe_del_doge_45.4440_11.9895.json,custom
45.443801,11.985981,ov_al_vigo_45.4438_11.9860,Al Vigo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/al_vigo_45.4438_11.9860.json,custom
45.443267,11.982294,ov_pizzalonga_away_vigonza_45.4433_11.9823,Pizzalonga Away Vigonza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/pizzalonga_away_vigonza_45.4433_11.9823.json,custom
45.443909,11.966683,ov_doctor_pizza_45.4439_11.9667,Doctor Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/doctor_pizza_45.4439_11.9667.json,custom
45.443678,11.966237,ov_fermati_un_p__45.4437_11.9662,Fermati Un Pò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/fermati_un_p_45.4437_11.9662.json,custom
45.443267,11.944186,ov_pizzalonga_away_45.4433_11.9442,Pizzalonga Away,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/pizzalonga_away_45.4433_11.9442.json,custom
45.451322,11.992970,ov_ristorante_lago_dei_cigni_ca_zen_lusia_r_45.4513_11.9930,Ristorante Lago Dei Cigni Ca'zen Lusia Rovigo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/ristorante_lago_dei_cigni_cazen_lusia_ro_45.4513_11.9930.json,custom
45.444651,11.968546,ov_bistrot_letterario_45.4447_11.9685,Bistrot Letterario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/bistrot_letterario_45.4447_11.9685.json,custom
45.444653,11.982743,ov_trattoria_bazabo_45.4447_11.9827,Trattoria Bazabo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/trattoria_bazabo_45.4447_11.9827.json,custom
45.468235,11.963001,ov_pionca_village_45.4682_11.9630,Pionca Village,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/pionca_village_45.4682_11.9630.json,custom
45.473300,11.942759,ov_pizza_style_codiverno_di_vigonza_45.4733_11.9428,Pizza Style Codiverno di Vigonza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/pizza_style_codiverno_di_vigonza_45.4733_11.9428.json,custom
45.465492,11.961595,ov_pizzeria_il_muretto_45.4655_11.9616,Pizzeria Il Muretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/pizzeria_il_muretto_45.4655_11.9616.json,custom
45.464343,11.961823,ov_d_gusto_la_pizza_45.4643_11.9618,D-Gusto La Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/d-gusto_la_pizza_45.4643_11.9618.json,custom
45.462913,11.976581,ov_trattoria_campagnaro_45.4629_11.9766,Trattoria Campagnaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/trattoria_campagnaro_45.4629_11.9766.json,custom
45.493731,11.950727,ov_cucina_cinese_da_asporto_45.4937_11.9507,Cucina Cinese Da Asporto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/cucina_cinese_da_asporto_45.4937_11.9507.json,custom
