# lat,lng,id,name,building_type,type,url,page_type
# Maletto -- Tutti
37.827552,14.864720,ov_laboratorio_analisi_cliniche_e_microbiol_37.8276_14.8647,Laboratorio Analisi Cliniche e Microbiologiche Dr. Giuseppe ,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/laboratorio_analisi_cliniche_e_microbiol_37.8276_14.8647.json,custom
37.821977,14.872209,ov_ristorante_fontana_murata_37.8220_14.8722,Ristorante Fontana Murata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/ristorante_fontana_murata_37.8220_14.8722.json,custom
37.828899,14.866025,ov_polleria_gorgone_salvatore_37.8289_14.8660,Polleria Gorgone Salvatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/polleria_gorgone_salvatore_37.8289_14.8660.json,custom
37.828046,14.866015,ov_caff__e_pizzeria_del_corso_37.8280_14.8660,Caffè e Pizzeria del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/caff_e_pizzeria_del_corso_37.8280_14.8660.json,custom
37.829499,14.867920,ov_pizzeria_il_canale_37.8295_14.8679,Pizzeria Il Canale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/pizzeria_il_canale_37.8295_14.8679.json,custom
37.829903,14.866197,ov_le_delizie_37.8299_14.8662,Le Delizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/le_delizie_37.8299_14.8662.json,custom
37.821756,14.876006,ov_etna_lake_37.8218_14.8760,Etna Lake,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/etna_lake_37.8218_14.8760.json,custom
37.819630,14.862357,ov_etna_lake_37.8196_14.8624,Etna Lake,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/etna_lake_37.8196_14.8624.json,custom
37.828615,14.866173,ov_little_break_37.8286_14.8662,Little break,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/little_break_37.8286_14.8662.json,custom
37.829104,14.865616,ov_millennium_pub_37.8291_14.8656,Millennium Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/millennium_pub_37.8291_14.8656.json,custom
37.830239,14.865922,ov_bar_la_fragola_37.8302_14.8659,Bar La Fragola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/bar_la_fragola_37.8302_14.8659.json,custom
37.825810,14.867100,ov_poligono_di_tiro_maletto_ct__37.8258_14.8671,Poligono di Tiro Maletto(ct),GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/poligono_di_tiro_malettoct_37.8258_14.8671.json,custom
37.824581,14.867702,ov_accademia_palestra_37.8246_14.8677,Accademia palestra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/maletto/pages/accademia_palestra_37.8246_14.8677.json,custom
