# lat,lng,id,name,building_type,type,url,page_type
# Maratea -- Tutti
39.997722,15.719003,ov_ospedale_maratea_39.9977_15.7190,Ospedale Maratea,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/ospedale_maratea_39.9977_15.7190.json,custom
39.932904,15.751681,ov_ristorante_l_approdo_39.9329_15.7517,Ristorante L'Approdo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/ristorante_lapprodo_39.9329_15.7517.json,custom
39.937290,15.758442,ov_il_rustico_trattoria_di_felice_mirko_39.9373_15.7584,Il Rustico Trattoria di Felice Mirko,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/il_rustico_trattoria_di_felice_mirko_39.9373_15.7584.json,custom
39.936356,15.764308,ov_la_tana_39.9364_15.7643,La Tana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/la_tana_39.9364_15.7643.json,custom
39.954175,15.739105,ov_la_locanda_di_nettuno_39.9542_15.7391,La Locanda di Nettuno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/la_locanda_di_nettuno_39.9542_15.7391.json,custom
39.994986,15.702119,ov_el_sol_39.9950_15.7021,El Sol,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/el_sol_39.9950_15.7021.json,custom
39.993617,15.704496,ov_ristorante_litrico_s_39.9936_15.7045,Ristorante Litrico's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/ristorante_litricos_39.9936_15.7045.json,custom
39.994712,15.703411,ov_pizzeria_la_bussola_39.9947_15.7034,Pizzeria La Bussola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/pizzeria_la_bussola_39.9947_15.7034.json,custom
39.996462,15.705680,ov_a_fuoco_lento_39.9965_15.7057,A Fuoco Lento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/a_fuoco_lento_39.9965_15.7057.json,custom
39.993621,15.705613,ov_la_cambusa_39.9936_15.7056,La Cambusa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/la_cambusa_39.9936_15.7056.json,custom
39.989695,15.708164,ov_yumara_39.9897_15.7082,Yumara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/yumara_39.9897_15.7082.json,custom
39.989511,15.708758,ov_scialuppa_25_39.9895_15.7088,Scialuppa 25,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/scialuppa_25_39.9895_15.7088.json,custom
39.989451,15.708721,ov_lanterna_rossa_39.9895_15.7087,Lanterna Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/lanterna_rossa_39.9895_15.7087.json,custom
39.989514,15.708320,ov_santi_al_porto_39.9895_15.7083,Santi Al Porto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/santi_al_porto_39.9895_15.7083.json,custom
39.989360,15.707702,ov_1999_il_ristorante_39.9894_15.7077,1999 il Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/1999_il_ristorante_39.9894_15.7077.json,custom
39.988622,15.709685,ov_tre_nodi_39.9886_15.7097,Tre Nodi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/tre_nodi_39.9886_15.7097.json,custom
39.998604,15.716558,ov_pescheria_friggitoria_da_felice_39.9986_15.7166,Pescheria Friggitoria Da Felice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/pescheria_friggitoria_da_felice_39.9986_15.7166.json,custom
39.994185,15.716440,ov_ristorante_santa_lucia_39.9942_15.7164,Ristorante Santa Lucia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/ristorante_santa_lucia_39.9942_15.7164.json,custom
39.992837,15.721349,ov_maratea_il_ghiottone_39.9928_15.7213,Maratea Il Ghiottone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/maratea_il_ghiottone_39.9928_15.7213.json,custom
39.992981,15.721611,ov_la_parada_del_mar_39.9930_15.7216,La Parada del Mar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/la_parada_del_mar_39.9930_15.7216.json,custom
39.992732,15.721944,ov_rolling_steaks_39.9927_15.7219,Rolling Steaks,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/rolling_steaks_39.9927_15.7219.json,custom
39.992868,15.722368,ov_la_taverna_di_zu_cicco_39.9929_15.7224,La Taverna di Zu Cicco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/la_taverna_di_zu_cicco_39.9929_15.7224.json,custom
39.992914,15.722725,ov_liberatore_pizza_al_taglio_rosticceria_39.9929_15.7227,Liberatore Pizza al Taglio Rosticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/liberatore_pizza_al_taglio_rosticceria_39.9929_15.7227.json,custom
39.996860,15.719540,ov_selvaggio_pizzeria_39.9969_15.7195,Selvaggio pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/selvaggio_pizzeria_39.9969_15.7195.json,custom
39.995236,15.725240,ov_la_bella_lucania_39.9952_15.7252,La Bella Lucania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/la_bella_lucania_39.9952_15.7252.json,custom
39.993716,15.723718,ov_divino_enoteca_e_specialita_regionali_39.9937_15.7237,Divino Enoteca e Specialita Regionali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/divino_enoteca_e_specialita_regionali_39.9937_15.7237.json,custom
39.992810,15.723687,ov_ristorante_maratea___la_perla_39.9928_15.7237,Ristorante Maratea - La Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/ristorante_maratea_-_la_perla_39.9928_15.7237.json,custom
39.992535,15.723565,ov_don_pasquale_39.9925_15.7236,Don Pasquale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/don_pasquale_39.9925_15.7236.json,custom
39.992710,15.723311,ov_la_torre_39.9927_15.7233,La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/la_torre_39.9927_15.7233.json,custom
39.992029,15.722414,ov_la_merenderia_39.9920_15.7224,La Merenderia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/la_merenderia_39.9920_15.7224.json,custom
39.992225,15.722639,ov_la_bella_lucania_ristobottega_39.9922_15.7226,La bella Lucania RistoBottega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/la_bella_lucania_ristobottega_39.9922_15.7226.json,custom
39.992509,15.721952,ov_taverna_rovita_39.9925_15.7220,Taverna Rovita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/taverna_rovita_39.9925_15.7220.json,custom
