# lat,lng,id,name,building_type,type,url,page_type
# nembro -- Tutti
45.739955,9.752025,ov_associazione_amici_della_pediatria_ets_o_45.7400_9.7520,Associazione Amici della Pediatria ETS ODV,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/associazione_amici_della_pediatria_ets_o_45.7400_9.7520.json,custom
45.757453,9.731902,ov_bar_pizzeria_alba_s_n_c__45.7575_9.7319,Bar Pizzeria Alba S.N.C.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/bar_pizzeria_alba_snc_45.7575_9.7319.json,custom
45.737209,9.774803,ov_agriturismo_la_frosca_45.7372_9.7748,Agriturismo la frosca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/agriturismo_la_frosca_45.7372_9.7748.json,custom
45.739116,9.755681,ov_mcdonald_s_45.7391_9.7557,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/mcdonalds_45.7391_9.7557.json,custom
45.738500,9.755390,ov_mc_donald_made_in_italy_45.7385_9.7554,Mc Donald made in italy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/mc_donald_made_in_italy_45.7385_9.7554.json,custom
45.740331,9.753076,ov_smart_24_45.7403_9.7531,Smart 24,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/smart_24_45.7403_9.7531.json,custom
45.734154,9.757322,ov_pizzeria_degustando_45.7342_9.7573,Pizzeria Degustando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/pizzeria_degustando_45.7342_9.7573.json,custom
45.736956,9.747607,ov_mcdonald_s_45.7370_9.7476,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/mcdonalds_45.7370_9.7476.json,custom
45.739478,9.748039,ov_pizza_flash_45.7395_9.7480,Pizza Flash,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/pizza_flash_45.7395_9.7480.json,custom
45.740150,9.746904,ov_oche___foodlab_45.7402_9.7469,Oche | FoodLab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/oche_foodlab_45.7402_9.7469.json,custom
45.743350,9.750470,ov_atmosph_re_45.7433_9.7505,Atmosphère,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/atmosphre_45.7433_9.7505.json,custom
45.742409,9.754085,ov_fausto_pizza_45.7424_9.7541,Fausto pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/fausto_pizza_45.7424_9.7541.json,custom
45.743415,9.756830,ov_cuore_di_pizza_nembro_45.7434_9.7568,Cuore di Pizza Nembro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/cuore_di_pizza_nembro_45.7434_9.7568.json,custom
45.744349,9.757323,ov_pizzeria_tre_corone_45.7443_9.7573,Pizzeria Tre Corone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/pizzeria_tre_corone_45.7443_9.7573.json,custom
45.744810,9.757680,ov_ristorante_rina_45.7448_9.7577,Ristorante Rina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/ristorante_rina_45.7448_9.7577.json,custom
45.744829,9.757673,ov_osteria_da_bruno_45.7448_9.7577,Osteria da Bruno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/osteria_da_bruno_45.7448_9.7577.json,custom
45.748770,9.753102,ov_piajo_aroma_45.7488_9.7531,Piajo Aroma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/piajo_aroma_45.7488_9.7531.json,custom
45.749203,9.752632,ov_ristorante_piaio_45.7492_9.7526,Ristorante Piaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/ristorante_piaio_45.7492_9.7526.json,custom
45.745073,9.762060,ov_trattoria_alle_piante_45.7451_9.7621,Trattoria alle Piante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/trattoria_alle_piante_45.7451_9.7621.json,custom
45.744776,9.759487,ov_mcdonald_s_45.7448_9.7595,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/mcdonalds_45.7448_9.7595.json,custom
45.744374,9.760938,ov_pizzeria_maninpasta_45.7444_9.7609,Pizzeria Maninpasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/pizzeria_maninpasta_45.7444_9.7609.json,custom
45.744755,9.762194,ov_vita_nova_ristorante_pizzeria_45.7448_9.7622,Vita Nova Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/vita_nova_ristorante_pizzeria_45.7448_9.7622.json,custom
45.747430,9.765717,ov_forno89_45.7474_9.7657,Forno89,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/forno89_45.7474_9.7657.json,custom
45.749197,9.770048,ov_pizzeria_kebab_red_sea_45.7492_9.7700,Pizzeria Kebab Red Sea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/pizzeria_kebab_red_sea_45.7492_9.7700.json,custom
45.749102,9.770046,osm_pizzeria_mar_rosso_45.7491_9.7700,Pizzeria Mar Rosso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/pizzeria_mar_rosso_45.7491_9.7700.json,custom
