# lat,lng,id,name,building_type,type,url,page_type
# cislago -- Tutti
45.658570,8.971820,ov_laboratori_oikos_srl_medicina_del_lavoro_45.6586_8.9718,Laboratori Oikos srl Medicina del Lavoro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/laboratori_oikos_srl_medicina_del_lavoro_45.6586_8.9718.json,custom
45.638500,8.966260,ov_ristorante_garden_45.6385_8.9663,Ristorante Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/ristorante_garden_45.6385_8.9663.json,custom
45.644613,8.971904,ov_la_locanda_di_bacco_45.6446_8.9719,La Locanda di Bacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/la_locanda_di_bacco_45.6446_8.9719.json,custom
45.661623,8.972472,ov_bar_trattoria_la_milanesa_45.6616_8.9725,Bar Trattoria La Milanesa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/bar_trattoria_la_milanesa_45.6616_8.9725.json,custom
45.659513,8.972351,ov_pizzeria_rosticceria_castello_45.6595_8.9724,Pizzeria Rosticceria Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/pizzeria_rosticceria_castello_45.6595_8.9724.json,custom
45.657555,8.966602,ov_pizzeria_tout_fait_45.6576_8.9666,Pizzeria Tout Fait,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/pizzeria_tout_fait_45.6576_8.9666.json,custom
45.657819,8.972141,ov_la_golosa_45.6578_8.9721,La Golosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/la_golosa_45.6578_8.9721.json,custom
45.657864,8.978922,ov_la_grande_muraglia_45.6579_8.9789,La Grande Muraglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/la_grande_muraglia_45.6579_8.9789.json,custom
45.656783,8.980572,ov_burger_king_45.6568_8.9806,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/burger_king_45.6568_8.9806.json,custom
45.658377,8.979059,ov_lievito_madre___pizzeria_45.6584_8.9791,Lievito Madre - pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/lievito_madre_-_pizzeria_45.6584_8.9791.json,custom
45.659125,8.976850,ov_istanbul_cislago_kebap_pizza_grill_45.6591_8.9768,Istanbul Cislago Kebap Pizza Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/istanbul_cislago_kebap_pizza_grill_45.6591_8.9768.json,custom
45.660203,8.975330,ov_pizzeria_da_raffaele_45.6602_8.9753,Pizzeria Da Raffaele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/pizzeria_da_raffaele_45.6602_8.9753.json,custom
45.660738,8.975130,ov_ristorante_marisa_45.6607_8.9751,Ristorante Marisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/ristorante_marisa_45.6607_8.9751.json,custom
