# lat,lng,id,name,building_type,type,url,page_type
# villafranca_in_lunigiana -- Tutti
44.298819,9.949037,ov_ospedale_sant_antonio_abate_pontremoli_44.2988_9.9490,Ospedale Sant'antonio Abate Pontremoli,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/ospedale_santantonio_abate_pontremoli_44.2988_9.9490.json,custom
44.290520,9.950967,ov_locanda_all_antico_mulino_44.2905_9.9510,Locanda all'Antico Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/locanda_allantico_mulino_44.2905_9.9510.json,custom
44.293443,9.952288,ov_pizza_comics_da_ivan_44.2934_9.9523,Pizza Comics da Ivan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/pizza_comics_da_ivan_44.2934_9.9523.json,custom
44.302205,9.958370,ov_al_pozzo___ristorante_pizzeria_44.3022_9.9584,Al Pozzo - Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/al_pozzo_-_ristorante_pizzeria_44.3022_9.9584.json,custom
44.302146,9.958265,ov_ristorante_al_pozzo_44.3021_9.9583,Ristorante Al pozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/ristorante_al_pozzo_44.3021_9.9583.json,custom
44.301906,9.960655,ov_convivium_venti_venti_44.3019_9.9607,Convivium venti venti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/convivium_venti_venti_44.3019_9.9607.json,custom
44.302012,9.956716,ov_la_selva_ristorante_pizzeria_44.3020_9.9567,La selva ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/la_selva_ristorante_pizzeria_44.3020_9.9567.json,custom
44.300198,9.948643,ov_tipico_pizzeria__bakery___coffee_44.3002_9.9486,"Tipico Pizzeria, Bakery & Coffee",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/tipico_pizzeria_bakery_coffee_44.3002_9.9486.json,custom
44.297408,9.972365,ov_contradiction_hr_44.2974_9.9724,Contradiction hr,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/contradiction_hr_44.2974_9.9724.json,custom
44.314634,9.971537,ov_ristorante_la_torre_44.3146_9.9715,Ristorante La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/ristorante_la_torre_44.3146_9.9715.json,custom
44.315434,9.960290,ov_locanda_ristorante_gavarini_44.3154_9.9603,Locanda Ristorante Gavarini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/locanda_ristorante_gavarini_44.3154_9.9603.json,custom
44.289868,9.948209,osm_albergo___ristorante_manganelli_44.2899_9.9482,Albergo - Ristorante Manganelli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/albergo_-_ristorante_manganelli_44.2899_9.9482.json,custom
44.290212,9.950488,ov_bar_nello_44.2902_9.9505,Bar Nello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/bar_nello_44.2902_9.9505.json,custom
44.293211,9.952730,ov_gran_bar_44.2932_9.9527,Gran Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/gran_bar_44.2932_9.9527.json,custom
44.293368,9.949314,ov_bar_bistrot_44.2934_9.9493,Bar Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/bar_bistrot_44.2934_9.9493.json,custom
