# lat,lng,id,name,building_type,type,url,page_type
# Sabbioneta -- Tutti
44.999015,10.489376,ov_centro_medico_sabbioneta_44.9990_10.4894,Centro Medico Sabbioneta,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sabbioneta/pages/centro_medico_sabbioneta_44.9990_10.4894.json,custom
44.990171,10.477267,ov_tokyo_258_44.9902_10.4773,Tokyo 258,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sabbioneta/pages/tokyo_258_44.9902_10.4773.json,custom
44.996909,10.495669,ov_milo_luigi_srl_44.9969_10.4957,Milo Luigi Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sabbioneta/pages/milo_luigi_srl_44.9969_10.4957.json,custom
44.996749,10.490790,ov_45_parallelo_44.9967_10.4908,45 Parallelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sabbioneta/pages/45_parallelo_44.9967_10.4908.json,custom
44.997738,10.490218,ov_osteria_la_dispensa_44.9977_10.4902,Osteria La Dispensa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sabbioneta/pages/osteria_la_dispensa_44.9977_10.4902.json,custom
44.997997,10.490530,ov_ristorante_pizzeria_bar_ducale___cucina__44.9980_10.4905,Ristorante Pizzeria Bar Ducale | Cucina Tipica Mantovana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sabbioneta/pages/ristorante_pizzeria_bar_ducale_cucina_ti_44.9980_10.4905.json,custom
44.998247,10.490370,ov_mallam__44.9982_10.4904,Mallamà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sabbioneta/pages/mallam_44.9982_10.4904.json,custom
44.998595,10.491452,ov_osteria_borgo_ventidue_44.9986_10.4915,Osteria Borgo Ventidue,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sabbioneta/pages/osteria_borgo_ventidue_44.9986_10.4915.json,custom
44.998876,10.489682,ov_ristorante_indiano_da_angelo_44.9989_10.4897,Ristorante Indiano da Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sabbioneta/pages/ristorante_indiano_da_angelo_44.9989_10.4897.json,custom
44.988908,10.484981,ov_osteria_da_nadia_44.9889_10.4850,Osteria da Nadia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sabbioneta/pages/osteria_da_nadia_44.9889_10.4850.json,custom
45.014163,10.510266,ov_corte_bondeno_45.0142_10.5103,Corte Bondeno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sabbioneta/pages/corte_bondeno_45.0142_10.5103.json,custom
