# lat,lng,id,name,building_type,type,url,page_type
# Lustra -- Tutti
40.272010,15.126117,ov_medicasud_40.2720_15.1261,Medicasud,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/lustra/pages/medicasud_40.2720_15.1261.json,custom
40.349479,14.983907,ov_u_pittirusso_d_agosto_giovanni_40.3495_14.9839,U Pittirusso D'agosto Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/lustra/pages/u_pittirusso_dagosto_giovanni_40.3495_14.9839.json,custom
40.196150,15.157210,ov_route_46_40.1962_15.1572,Route 46,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/lustra/pages/route_46_40.1962_15.1572.json,custom
40.280160,15.105350,ov_ristorante_i_tre_re_40.2802_15.1053,Ristorante I Tre Re,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/lustra/pages/ristorante_i_tre_re_40.2802_15.1053.json,custom
40.283300,15.066700,ov_agriturismo_occhianelle___lustra_40.2833_15.0667,Agriturismo Occhianelle - Lustra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/lustra/pages/agriturismo_occhianelle_-_lustra_40.2833_15.0667.json,custom
40.293509,15.059136,ov_agriturismo_u_trappito_40.2935_15.0591,Agriturismo U Trappito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/lustra/pages/agriturismo_u_trappito_40.2935_15.0591.json,custom
40.288980,15.066800,ov_ristorante_pizzeria_la_cilentana_40.2890_15.0668,Ristorante pizzeria la cilentana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/lustra/pages/ristorante_pizzeria_la_cilentana_40.2890_15.0668.json,custom
40.272153,15.125517,ov_ponti_rossi_lustra_salerno_40.2722_15.1255,Ponti rossi Lustra Salerno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/lustra/pages/ponti_rossi_lustra_salerno_40.2722_15.1255.json,custom
40.257916,15.126305,ov_bivio_santa_lucia_40.2579_15.1263,Bivio Santa Lucia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/lustra/pages/bivio_santa_lucia_40.2579_15.1263.json,custom
40.293891,15.058778,ov_josephine__s_house_rooms_40.2939_15.0588,Josephine' s house Rooms,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/lustra/pages/josephine_s_house_rooms_40.2939_15.0588.json,custom
