# lat,lng,id,name,building_type,type,url,page_type
# Colli al Metauro -- Tutti
43.758422,12.924799,ov_laboratori_delle_idee_43.7584_12.9248,Laboratori delle idee,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/laboratori_delle_idee_43.7584_12.9248.json,custom
43.732478,12.925666,ov_la_cantinaza_43.7325_12.9257,La Cantinaza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/la_cantinaza_43.7325_12.9257.json,custom
43.730251,12.921831,ov_ristorante_il_drago_rosso_43.7303_12.9218,Ristorante Il Drago Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/ristorante_il_drago_rosso_43.7303_12.9218.json,custom
43.737501,12.897613,ov_piccolo_west_43.7375_12.8976,Piccolo West,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/piccolo_west_43.7375_12.8976.json,custom
43.736561,12.923722,ov_la_greppia_43.7366_12.9237,La Greppia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/la_greppia_43.7366_12.9237.json,custom
43.738596,12.935082,ov_ristorante_pizzeria_sammarco_43.7386_12.9351,Ristorante Pizzeria Sammarco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/ristorante_pizzeria_sammarco_43.7386_12.9351.json,custom
43.740871,12.933972,ov_il_segreto_di_pulcinella_43.7409_12.9340,Il segreto di Pulcinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/il_segreto_di_pulcinella_43.7409_12.9340.json,custom
43.742381,12.922630,ov_glicine_bianco_43.7424_12.9226,Glicine Bianco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/glicine_bianco_43.7424_12.9226.json,custom
43.741383,12.933195,ov_pizzeria_da_andrea_43.7414_12.9332,Pizzeria Da Andrea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/pizzeria_da_andrea_43.7414_12.9332.json,custom
43.746924,12.939231,ov_valle_del_metauro_country_house_43.7469_12.9392,Valle del Metauro Country House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/valle_del_metauro_country_house_43.7469_12.9392.json,custom
43.746459,12.874127,ov_da_luisa_43.7465_12.8741,Da Luisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/da_luisa_43.7465_12.8741.json,custom
43.757614,12.924303,ov_ristorante_pizzeria_dai_fratelli_43.7576_12.9243,Ristorante Pizzeria Dai Fratelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/ristorante_pizzeria_dai_fratelli_43.7576_12.9243.json,custom
43.755519,12.923078,ov_da_enry_43.7555_12.9231,Da Enry,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/da_enry_43.7555_12.9231.json,custom
43.754510,12.917939,ov_gaucho_il_rifugio_del_gusto_43.7545_12.9179,Gaucho Il Rifugio Del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/gaucho_il_rifugio_del_gusto_43.7545_12.9179.json,custom
43.750888,12.918303,ov_kebab_da_musta_43.7509_12.9183,Kebab da Musta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/kebab_da_musta_43.7509_12.9183.json,custom
43.750852,12.917101,ov_pizzeria_quelli_del_muretto_43.7509_12.9171,Pizzeria Quelli Del Muretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/pizzeria_quelli_del_muretto_43.7509_12.9171.json,custom
43.751666,12.918121,ov_dapeppe_calcinelli_osteria_piadineria_43.7517_12.9181,Dapeppe Calcinelli Osteria Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/dapeppe_calcinelli_osteria_piadineria_43.7517_12.9181.json,custom
43.752355,12.915385,ov_martha_cucina_gluten_free_43.7524_12.9154,Martha cucina gluten free,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/martha_cucina_gluten_free_43.7524_12.9154.json,custom
43.752936,12.920548,ov_giro_pizza_2_43.7529_12.9205,Giro Pizza 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/giro_pizza_2_43.7529_12.9205.json,custom
43.752406,12.919823,ov_dai_fratelli_43.7524_12.9198,Dai fratelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/dai_fratelli_43.7524_12.9198.json,custom
43.753108,12.897129,ov_terrapiena_43.7531_12.8971,Terrapiena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/terrapiena_43.7531_12.8971.json,custom
43.749467,12.853775,ov_antica_osteria_da_gustin_43.7495_12.8538,Antica Osteria Da Gustin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/antica_osteria_da_gustin_43.7495_12.8538.json,custom
43.747999,12.866169,ov_al_mandorlo_43.7480_12.8662,Al Mandorlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/al_mandorlo_43.7480_12.8662.json,custom
43.749102,12.914291,ov_pizzeria_posto_pubblico_43.7491_12.9143,Pizzeria Posto Pubblico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/pizzeria_posto_pubblico_43.7491_12.9143.json,custom
43.748860,12.921910,ov_pizzeria_da_cristian_43.7489_12.9219,Pizzeria Da cristian,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/pizzeria_da_cristian_43.7489_12.9219.json,custom
43.748766,12.915459,ov_la_rustita_calcinelli_43.7488_12.9155,La Rustita Calcinelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/la_rustita_calcinelli_43.7488_12.9155.json,custom
43.768360,12.882790,ov_locanda_da_quaranta_43.7684_12.8828,Locanda Da Quaranta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/locanda_da_quaranta_43.7684_12.8828.json,custom
43.764014,12.928413,ov_ristorante_posta_vecchia___fraz_calcinel_43.7640_12.9284,Ristorante Posta Vecchia - Fraz.Calcinelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/ristorante_posta_vecchia_-_frazcalcinell_43.7640_12.9284.json,custom
43.763525,12.933264,ov_ristorante_pantalin_43.7635_12.9333,Ristorante Pantalin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/ristorante_pantalin_43.7635_12.9333.json,custom
43.773944,12.855419,ov_ristorante_la_tagliata_43.7739_12.8554,Ristorante La Tagliata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/ristorante_la_tagliata_43.7739_12.8554.json,custom
43.732286,12.883609,ov_bar_dello_sport_43.7323_12.8836,Bar dello Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/bar_dello_sport_43.7323_12.8836.json,custom
43.737974,12.897472,ov_flaminio_tavernelle_43.7380_12.8975,Flaminio Tavernelle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/flaminio_tavernelle_43.7380_12.8975.json,custom
43.735538,12.895052,ov_birra_gloria_mundi_43.7355_12.8951,Birra Gloria Mundi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/birra_gloria_mundi_43.7355_12.8951.json,custom
43.736368,12.923410,ov_oltremondo_birrificio_contadino_43.7364_12.9234,Oltremondo Birrificio Contadino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/oltremondo_birrificio_contadino_43.7364_12.9234.json,custom
43.737978,12.947630,ov_frescheria_di_monte_43.7380_12.9476,Frescheria di Monte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/frescheria_di_monte_43.7380_12.9476.json,custom
43.738150,12.936125,ov_circolo_acli_metauro_43.7382_12.9361,Circolo Acli Metauro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/circolo_acli_metauro_43.7382_12.9361.json,custom
43.740895,12.934026,ov_bar_non_il_solito_bar_43.7409_12.9340,Bar Non Il Solito Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/bar_non_il_solito_bar_43.7409_12.9340.json,custom
43.756339,12.923327,ov_baracaso_43.7563_12.9233,Baracaso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/baracaso_43.7563_12.9233.json,custom
43.751368,12.917195,ov_caff__dolce_vita_43.7514_12.9172,Caffè Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/caff_dolce_vita_43.7514_12.9172.json,custom
43.751347,12.918763,ov_nuovo_caffe_centrale_43.7513_12.9188,Nuovo Caffe Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/nuovo_caffe_centrale_43.7513_12.9188.json,custom
43.751789,12.919473,ov_pandora_calcinelli_43.7518_12.9195,Pandora calcinelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/pandora_calcinelli_43.7518_12.9195.json,custom
43.752742,12.920411,ov_bar_al_cittadino_43.7527_12.9204,Bar Al Cittadino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/bar_al_cittadino_43.7527_12.9204.json,custom
43.753263,12.896967,ov_il_caffe_delle_mura_43.7533_12.8970,Il Caffe Delle Mura,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/il_caffe_delle_mura_43.7533_12.8970.json,custom
43.747790,12.922632,ov_civico_43.7478_12.9226,Civico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/civico_43.7478_12.9226.json,custom
43.749371,12.949427,ov_bar_emporium_43.7494_12.9494,Bar Emporium,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/bar_emporium_43.7494_12.9494.json,custom
43.751333,12.918709,osm_nuovo_caff__centrale_43.7513_12.9187,Nuovo Caffè Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/nuovo_caff_centrale_43.7513_12.9187.json,custom
43.733330,12.885030,ov_centro_fitness_energy_club_43.7333_12.8850,Centro Fitness Energy Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/centro_fitness_energy_club_43.7333_12.8850.json,custom
43.738270,12.938860,ov_pallavolo_colli_al_metauro_43.7383_12.9389,Pallavolo Colli al Metauro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/pallavolo_colli_al_metauro_43.7383_12.9389.json,custom
43.756591,12.923787,ov_fisiogym_clinik_43.7566_12.9238,Fisiogym Clinik,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/fisiogym_clinik_43.7566_12.9238.json,custom
43.748216,12.913012,ov_palestra_ciancamerla_43.7482_12.9130,Palestra Ciancamerla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/palestra_ciancamerla_43.7482_12.9130.json,custom
43.764511,12.933468,ov_energy_club___the_wellness_community_43.7645_12.9335,Energy CLUB - The Wellness Community,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/energy_club_-_the_wellness_community_43.7645_12.9335.json,custom
43.756369,12.890466,ov_museo_del_bali_43.7564_12.8905,Museo del Bali,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/colli_al_metauro/pages/museo_del_bali_43.7564_12.8905.json,custom
