# lat,lng,id,name,building_type,type,url,page_type
# Gravedona ed Uniti -- Tutti
46.142500,9.299825,ov_hospital_moriggia_pelascini_46.1425_9.2998,Hospital Moriggia Pelascini,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/hospital_moriggia_pelascini_46.1425_9.2998.json,custom
46.158161,9.288371,ov_bar_trattoria_san_pietro_46.1582_9.2884,Bar Trattoria San Pietro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/bar_trattoria_san_pietro_46.1582_9.2884.json,custom
46.147210,9.285251,ov_la_fattoria_46.1472_9.2853,La Fattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/la_fattoria_46.1472_9.2853.json,custom
46.139819,9.283865,ov_crotto_isidoro_46.1398_9.2839,Crotto Isidoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/crotto_isidoro_46.1398_9.2839.json,custom
46.139660,9.283528,ov_crotto_delle_camelie_46.1397_9.2835,Crotto delle Camelie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/crotto_delle_camelie_46.1397_9.2835.json,custom
46.138650,9.290379,ov_new_planet_pizzeria___ristorante__disco__46.1386_9.2904,New Planet Pizzeria . Ristorante. Disco-pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/new_planet_pizzeria_ristorante_disco-pub_46.1386_9.2904.json,custom
46.139761,9.290833,ov_trattoria_del_luff_46.1398_9.2908,Trattoria del Luff,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/trattoria_del_luff_46.1398_9.2908.json,custom
46.142330,9.294780,ov_lafarmacia_al_consiglio_46.1423_9.2948,Lafarmacia.Al Consiglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/lafarmaciaal_consiglio_46.1423_9.2948.json,custom
46.148012,9.305838,ov_cantina_e_bottega_46.1480_9.3058,Cantina e Bottega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/cantina_e_bottega_46.1480_9.3058.json,custom
46.147682,9.302593,ov_pizzeria_el_sharm_46.1477_9.3026,Pizzeria El Sharm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/pizzeria_el_sharm_46.1477_9.3026.json,custom
46.146136,9.305144,ov_pizzeria_napoletana_o_garibaldin_46.1461_9.3051,Pizzeria Napoletana O'Garibaldin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/pizzeria_napoletana_ogaribaldin_46.1461_9.3051.json,custom
46.146117,9.305087,ov_7_2_bistrot_46.1461_9.3051,7.2 Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/72_bistrot_46.1461_9.3051.json,custom
46.143273,9.304711,ov_ristorante_le_terrazze_pizzeria_bar_46.1433_9.3047,Ristorante Le Terrazze Pizzeria Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/ristorante_le_terrazze_pizzeria_bar_46.1433_9.3047.json,custom
46.146003,9.302146,ov_rifugio_sant_jorio_46.1460_9.3021,Rifugio Sant Jorio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/rifugio_sant_jorio_46.1460_9.3021.json,custom
46.149363,9.314007,ov_il_giardinetto_ristorante_sul_lago_46.1494_9.3140,Il Giardinetto Ristorante sul Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/il_giardinetto_ristorante_sul_lago_46.1494_9.3140.json,custom
46.135499,9.266248,ov_crotto_del_gufo_46.1355_9.2662,Crotto del gufo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/crotto_del_gufo_46.1355_9.2662.json,custom
46.143465,9.296502,osm_pizzeria_al_ponte_46.1435_9.2965,Pizzeria Al Ponte,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/pizzeria_al_ponte_46.1435_9.2965.json,custom
46.141043,9.293025,ov_cafe_regina_bar_46.1410_9.2930,Cafe Regina Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/cafe_regina_bar_46.1410_9.2930.json,custom
