# lat,lng,id,name,building_type,type,url,page_type
# Cattolica -- Tutti
43.952663,12.736017,ov_ospedale_cervesi_43.9527_12.7360,Ospedale Cervesi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cattolica/pages/ospedale_cervesi_43.9527_12.7360.json,custom
43.952988,12.730811,ov_mcdonald_s_43.9530_12.7308,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cattolica/pages/mcdonalds_43.9530_12.7308.json,custom
43.960892,12.747687,ov_bento_sushi_43.9609_12.7477,Bento Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cattolica/pages/bento_sushi_43.9609_12.7477.json,custom
43.960592,12.737317,ov_al_caminetto_43.9606_12.7373,Al Caminetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cattolica/pages/al_caminetto_43.9606_12.7373.json,custom
43.960238,12.744747,ov_ostriche_e_vino_43.9602_12.7447,Ostriche E Vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cattolica/pages/ostriche_e_vino_43.9602_12.7447.json,custom
43.958740,12.741810,ov_fuoco_e_frumento_43.9587_12.7418,Fuoco E Frumento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cattolica/pages/fuoco_e_frumento_43.9587_12.7418.json,custom
43.958737,12.743027,ov_la_piadina_e_rosticceria_di_maruska_sanc_43.9587_12.7430,La Piadina e Rosticceria di Maruska Sanchini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cattolica/pages/la_piadina_e_rosticceria_di_maruska_sanc_43.9587_12.7430.json,custom
43.958195,12.742021,ov_la_pizzetta_43.9582_12.7420,La Pizzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cattolica/pages/la_pizzetta_43.9582_12.7420.json,custom
43.954729,12.736789,ov_la_manita_pizzeria_ristorante_43.9547_12.7368,La Manita pizzeria ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cattolica/pages/la_manita_pizzeria_ristorante_43.9547_12.7368.json,custom
43.956033,12.731541,ov_pizzeria_braccino_cattolica_43.9560_12.7315,Pizzeria Braccino Cattolica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cattolica/pages/pizzeria_braccino_cattolica_43.9560_12.7315.json,custom
43.955534,12.732239,ov_mare_nostrum_43.9555_12.7322,Mare Nostrum,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cattolica/pages/mare_nostrum_43.9555_12.7322.json,custom
