# lat,lng,id,name,building_type,type,url,page_type
# castiglione_cosentino -- Tutti
39.351655,16.289156,ov_residenza_sanitaria_assistenziale_san_ra_39.3517_16.2892,Residenza Sanitaria Assistenziale San Raffaele,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castiglione_cosentino/pages/residenza_sanitaria_assistenziale_san_ra_39.3517_16.2892.json,custom
39.354197,16.287234,ov_il_vecchio_mulino_39.3542_16.2872,Il Vecchio Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castiglione_cosentino/pages/il_vecchio_mulino_39.3542_16.2872.json,custom
39.358934,16.272189,ov_il_piccolo_ghetto_39.3589_16.2722,Il Piccolo Ghetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castiglione_cosentino/pages/il_piccolo_ghetto_39.3589_16.2722.json,custom
39.367139,16.273606,ov_donna_lisa_39.3671_16.2736,DONNA LISA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castiglione_cosentino/pages/donna_lisa_39.3671_16.2736.json,custom
39.351401,16.287205,ov_bar_del_corso_39.3514_16.2872,Bar del corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castiglione_cosentino/pages/bar_del_corso_39.3514_16.2872.json,custom
39.352185,16.289447,ov_ventimiglia_39.3522_16.2894,Ventimiglia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castiglione_cosentino/pages/ventimiglia_39.3522_16.2894.json,custom
39.356076,16.287159,ov_bar_la_perla_39.3561_16.2872,Bar La Perla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castiglione_cosentino/pages/bar_la_perla_39.3561_16.2872.json,custom
