# lat,lng,id,name,building_type,type,url,page_type
# Castellaneta -- Tutti
40.634349,16.934185,ov_ospedale_san_pio_40.6343_16.9342,Ospedale San Pio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/ospedale_san_pio_40.6343_16.9342.json,custom
40.631983,16.932473,ov_pescheria_friggitoria_il_peschereccio_40.6320_16.9325,Pescheria friggitoria il peschereccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/pescheria_friggitoria_il_peschereccio_40.6320_16.9325.json,custom
40.632365,16.931297,ov_pantera___castellaneta__ta__40.6324_16.9313,Pantera - Castellaneta (TA),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/pantera_-_castellaneta_ta_40.6324_16.9313.json,custom
40.632080,16.931650,ov_il_macellaio_braceria_tipica_40.6321_16.9317,Il Macellaio braceria tipica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/il_macellaio_braceria_tipica_40.6321_16.9317.json,custom
40.628455,16.938965,ov_beep_beep_pizza_40.6285_16.9390,Beep Beep Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/beep_beep_pizza_40.6285_16.9390.json,custom
40.625862,16.934088,ov_fratelli_staffieri_pizza___cucina_40.6259_16.9341,Fratelli Staffieri Pizza & Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/fratelli_staffieri_pizza_cucina_40.6259_16.9341.json,custom
40.626890,16.933790,ov_i_5_sensi_40.6269_16.9338,I 5 Sensi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/i_5_sensi_40.6269_16.9338.json,custom
40.627890,16.933895,ov_pizz_and_love_40.6279_16.9339,Pizz and Love,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/pizz_and_love_40.6279_16.9339.json,custom
40.627997,16.926377,ov_peperosso_co__40.6280_16.9264,PepeRosso&Co.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/peperossoco_40.6280_16.9264.json,custom
40.628147,16.927180,ov_anthurium_40.6281_16.9272,Anthurium,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/anthurium_40.6281_16.9272.json,custom
40.628432,16.926189,ov_bar_centoundici_40.6284_16.9262,Bar Centoundici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/bar_centoundici_40.6284_16.9262.json,custom
40.628740,16.928402,ov_casa_28___trattoria_urbana_40.6287_16.9284,Casa 28 - Trattoria Urbana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/casa_28_-_trattoria_urbana_40.6287_16.9284.json,custom
40.628952,16.928365,ov_pizza_point_40.6290_16.9284,Pizza Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/pizza_point_40.6290_16.9284.json,custom
40.629192,16.927043,ov_sale_e_sarde_40.6292_16.9270,Sale e Sarde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/sale_e_sarde_40.6292_16.9270.json,custom
40.629630,16.926900,ov_masseria_maldarizzi_40.6296_16.9269,Masseria Maldarizzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/masseria_maldarizzi_40.6296_16.9269.json,custom
40.629540,16.930952,ov_pescheria_il_pescatore_40.6295_16.9310,Pescheria Il Pescatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/pescheria_il_pescatore_40.6295_16.9310.json,custom
40.628508,16.940267,ov_l__antica_cucina_home_restaurant_40.6285_16.9403,L 'Antica cucina home restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/l_antica_cucina_home_restaurant_40.6285_16.9403.json,custom
40.629888,16.936065,ov_pepenero_castellaneta_40.6299_16.9361,PepeNero Castellaneta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/pepenero_castellaneta_40.6299_16.9361.json,custom
40.630012,16.934235,ov_new_pizza_e_sfizi_40.6300_16.9342,New Pizza e Sfizi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/new_pizza_e_sfizi_40.6300_16.9342.json,custom
40.630410,16.935399,ov_new_doner_kebab_40.6304_16.9354,New doner kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/new_doner_kebab_40.6304_16.9354.json,custom
40.630579,16.935668,ov_mordi___fuggi_40.6306_16.9357,Mordi & Fuggi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/mordi_fuggi_40.6306_16.9357.json,custom
40.630610,16.936174,ov_fratelli_gourmet_40.6306_16.9362,Fratelli Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/fratelli_gourmet_40.6306_16.9362.json,custom
40.631176,16.935871,ov_nonna_maria_40.6312_16.9359,Nonna Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/nonna_maria_40.6312_16.9359.json,custom
40.631620,16.932813,ov_da_peppino_40.6316_16.9328,Da Peppino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/da_peppino_40.6316_16.9328.json,custom
40.631376,16.931553,ov_pizzeria_arcobaleno_40.6314_16.9316,Pizzeria Arcobaleno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/pizzeria_arcobaleno_40.6314_16.9316.json,custom
40.631159,16.932408,ov_la_bottega_di_bacco_40.6312_16.9324,La Bottega Di Bacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/la_bottega_di_bacco_40.6312_16.9324.json,custom
40.631210,16.931999,ov_l_orto_delle_meraviglie_40.6312_16.9320,L'Orto Delle Meraviglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/lorto_delle_meraviglie_40.6312_16.9320.json,custom
40.630175,16.931386,ov_al_volo_40.6302_16.9314,Al Volo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/al_volo_40.6302_16.9314.json,custom
40.630119,16.931496,ov_il_tempio_del_gusto_40.6301_16.9315,Il Tempio Del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/il_tempio_del_gusto_40.6301_16.9315.json,custom
40.625876,16.924171,ov_acqua___sapone_40.6259_16.9242,Acqua & Sapone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/acqua_sapone_40.6259_16.9242.json,custom
40.625752,16.923782,ov_sapor__40.6258_16.9238,Saporè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/sapor_40.6258_16.9238.json,custom
40.624568,16.941938,ov_peucezia_40.6246_16.9419,Peucezia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/peucezia_40.6246_16.9419.json,custom
40.505148,16.872958,ov_tocchi_di_puglia_40.5051_16.8730,Tocchi Di Puglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/tocchi_di_puglia_40.5051_16.8730.json,custom
40.482250,16.928190,ov_gusto_rosmarino_40.4823_16.9282,Gusto Rosmarino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/gusto_rosmarino_40.4823_16.9282.json,custom
40.501907,16.898207,ov_agriturismo_biologico_sant_andrea_40.5019_16.8982,Agriturismo Biologico Sant'Andrea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/agriturismo_biologico_santandrea_40.5019_16.8982.json,custom
40.492158,16.927186,ov_jonico_ristorante_40.4922_16.9272,Jonico ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/jonico_ristorante_40.4922_16.9272.json,custom
40.473551,16.934196,ov_pescheria_da_tonino_40.4736_16.9342,Pescheria da Tonino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/pescheria_da_tonino_40.4736_16.9342.json,custom
40.467282,16.937410,ov_sun_baguette_40.4673_16.9374,SUN_baguette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/sunbaguette_40.4673_16.9374.json,custom
40.466625,16.936944,ov_pizzeria_luna_rossa_40.4666_16.9369,Pizzeria Luna Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/pizzeria_luna_rossa_40.4666_16.9369.json,custom
40.467677,16.938194,ov_l_angolo_del_gusto_40.4677_16.9382,L'Angolo Del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/langolo_del_gusto_40.4677_16.9382.json,custom
40.467560,16.937607,ov_bolle_bistrot_40.4676_16.9376,Bolle Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/bolle_bistrot_40.4676_16.9376.json,custom
40.467556,16.937585,ov_jfk_american_bar_40.4676_16.9376,JFK American Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/jfk_american_bar_40.4676_16.9376.json,custom
40.467382,16.937628,ov_les_belles_crepes_40.4674_16.9376,Les Belles Crepes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/les_belles_crepes_40.4674_16.9376.json,custom
40.467391,16.937749,ov_summer_pub_by_dany_24_40.4674_16.9377,Summer Pub by Dany 24,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/summer_pub_by_dany_24_40.4674_16.9377.json,custom
40.468139,16.938090,ov_mehmoe_40.4681_16.9381,Mehmoe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/mehmoe_40.4681_16.9381.json,custom
40.468850,16.943669,ov_la_locanda_di_frank_40.4688_16.9437,La Locanda di Frank,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/la_locanda_di_frank_40.4688_16.9437.json,custom
40.468872,16.943133,ov_castellaneta_marina_il_veliero_40.4689_16.9431,Castellaneta Marina Il Veliero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/castellaneta_marina_il_veliero_40.4689_16.9431.json,custom
40.467289,16.944684,ov_ristorante_trocadero_40.4673_16.9447,Ristorante Trocadero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/ristorante_trocadero_40.4673_16.9447.json,custom
40.462777,16.937611,ov_paradiso_beach_bar_and_restaurant_40.4628_16.9376,Paradiso Beach Bar and Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/paradiso_beach_bar_and_restaurant_40.4628_16.9376.json,custom
40.465321,16.941378,ov_the_korus_inn_40.4653_16.9414,The korus inn,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/the_korus_inn_40.4653_16.9414.json,custom
40.453941,16.924425,ov_la_vela_club_40.4539_16.9244,La Vela Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/la_vela_club_40.4539_16.9244.json,custom
40.457514,16.930136,ov_stabilimento_balneare_sporting_club_40.4575_16.9301,Stabilimento Balneare Sporting Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/stabilimento_balneare_sporting_club_40.4575_16.9301.json,custom
40.450476,16.919927,ov_ristorante_il_kale_40.4505_16.9199,Ristorante Il Kale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/ristorante_il_kale_40.4505_16.9199.json,custom
40.450427,16.919708,ov_creo_ristorante_kal__beach_club_40.4504_16.9197,Creo Ristorante Kalè Beach Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/creo_ristorante_kal_beach_club_40.4504_16.9197.json,custom
40.632084,16.931533,ov_bar_valentino_40.6321_16.9315,Bar Valentino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/bar_valentino_40.6321_16.9315.json,custom
40.633860,16.933445,ov_nomine_rosae_caffe_40.6339_16.9334,Nomine Rosae Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/nomine_rosae_caffe_40.6339_16.9334.json,custom
40.626716,16.940161,ov_bar_albachiara_40.6267_16.9402,Bar Albachiara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/bar_albachiara_40.6267_16.9402.json,custom
40.626861,16.933667,ov_publi_2000_di_naselli_giorgio_40.6269_16.9337,Publi 2000 di Naselli Giorgio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/publi_2000_di_naselli_giorgio_40.6269_16.9337.json,custom
40.627050,16.932940,ov_lucky_staar_40.6270_16.9329,Lucky Staar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/lucky_staar_40.6270_16.9329.json,custom
40.630022,16.931582,ov_caffe_verdi_40.6300_16.9316,Caffe Verdi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/caffe_verdi_40.6300_16.9316.json,custom
40.629779,16.933496,ov_bar_74011_40.6298_16.9335,Bar 74011,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/bar_74011_40.6298_16.9335.json,custom
40.629425,16.932396,ov_brass_monkey_40.6294_16.9324,Brass Monkey,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/brass_monkey_40.6294_16.9324.json,custom
40.628988,16.933736,ov_bar_111_40.6290_16.9337,Bar 111,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/bar_111_40.6290_16.9337.json,custom
40.629052,16.933950,ov_la_dolce_vita_40.6291_16.9340,La Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/la_dolce_vita_40.6291_16.9340.json,custom
40.629297,16.935283,ov_coconut_castellaneta_40.6293_16.9353,Coconut Castellaneta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/coconut_castellaneta_40.6293_16.9353.json,custom
40.629650,16.938654,ov_il_piccio_del_centro_storico_40.6296_16.9387,Il Piccio del Centro Storico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/il_piccio_del_centro_storico_40.6296_16.9387.json,custom
40.630294,16.935546,ov_the_cube_40.6303_16.9355,The Cube,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/the_cube_40.6303_16.9355.json,custom
40.630719,16.934315,ov_bar_zanzibar_40.6307_16.9343,Bar Zanzibar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/bar_zanzibar_40.6307_16.9343.json,custom
40.630773,16.934457,ov_kodo_40.6308_16.9345,Kodo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/kodo_40.6308_16.9345.json,custom
