# lat,lng,id,name,building_type,type,url,page_type
# Torregrotta -- Tutti
38.213975,15.344504,ov_laboratorio_di_kinesiologia_rizzo_jos__38.2140_15.3445,Laboratorio di Kinesiologia Rizzo Josè,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/laboratorio_di_kinesiologia_rizzo_jos_38.2140_15.3445.json,custom
38.215970,15.345679,ov_rugantino_fratelli_giunta_38.2160_15.3457,Rugantino Fratelli Giunta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/rugantino_fratelli_giunta_38.2160_15.3457.json,custom
38.203640,15.322360,ov_pizzastop_di_rocco_pino_38.2036_15.3224,Pizzastop di Rocco Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/pizzastop_di_rocco_pino_38.2036_15.3224.json,custom
38.208752,15.343034,ov_ristorante_timalu_38.2088_15.3430,Ristorante Timalu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/ristorante_timalu_38.2088_15.3430.json,custom
38.194622,15.357050,ov_mod__38.1946_15.3570,Modì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/mod_38.1946_15.3570.json,custom
38.194353,15.353552,ov_le_palme_38.1944_15.3536,Le Palme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/le_palme_38.1944_15.3536.json,custom
38.194010,15.353060,ov_chiuso_38.1940_15.3531,Chiuso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/chiuso_38.1940_15.3531.json,custom
38.203278,15.352307,ov_ristorante_mod__38.2033_15.3523,Ristorante Modì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/ristorante_mod_38.2033_15.3523.json,custom
38.207058,15.349656,ov_rosticceria__pizzeria_ilizia_38.2071_15.3497,Rosticceria- Pizzeria ILIZIA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/rosticceria-_pizzeria_ilizia_38.2071_15.3497.json,custom
38.208621,15.349952,ov_tuxedo_2_0_apericafe_38.2086_15.3500,Tuxedo 2.0 Apericafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/tuxedo_20_apericafe_38.2086_15.3500.json,custom
38.192387,15.360340,osm_casale_del_conte_38.1924_15.3603,Casale del Conte,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/casale_del_conte_38.1924_15.3603.json,custom
