# lat,lng,id,name,building_type,type,url,page_type
# Bernalda -- Tutti
40.379029,16.837385,ov_sicanto_40.3790_16.8374,Sicanto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/sicanto_40.3790_16.8374.json,custom
40.395241,16.801270,ov_punto_bianco_40.3952_16.8013,Punto Bianco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/punto_bianco_40.3952_16.8013.json,custom
40.394660,16.800843,ov_colucci_ristorante_40.3947_16.8008,Colucci Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/colucci_ristorante_40.3947_16.8008.json,custom
40.409703,16.687976,ov_concept___lunatic_bistrot_40.4097_16.6880,Concept - Lunatic Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/concept_-_lunatic_bistrot_40.4097_16.6880.json,custom
40.409615,16.688256,ov_gnam_gnam_40.4096_16.6883,Gnam Gnam,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/gnam_gnam_40.4096_16.6883.json,custom
40.410504,16.689589,ov_le_bon_petite_40.4105_16.6896,Le Bon Petite,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/le_bon_petite_40.4105_16.6896.json,custom
40.410734,16.689700,ov_bernaldabella_ristorante_40.4107_16.6897,Bernaldabella Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/bernaldabella_ristorante_40.4107_16.6897.json,custom
40.410342,16.688963,ov_ristorante_pennetta_40.4103_16.6890,Ristorante Pennetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/ristorante_pennetta_40.4103_16.6890.json,custom
40.415629,16.692331,ov_as_argenti_40.4156_16.6923,As Argenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/as_argenti_40.4156_16.6923.json,custom
40.415070,16.693310,ov_la_mangiatoia_40.4151_16.6933,La Mangiatoia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/la_mangiatoia_40.4151_16.6933.json,custom
40.414863,16.692390,ov_ristorante___pizzeria_san_donato_40.4149_16.6924,Ristorante - Pizzeria San Donato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/ristorante_-_pizzeria_san_donato_40.4149_16.6924.json,custom
40.414304,16.689677,ov_pizzeria_dal_pirata_40.4143_16.6897,Pizzeria dal Pirata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/pizzeria_dal_pirata_40.4143_16.6897.json,custom
40.412562,16.692025,ov_simpatia_40.4126_16.6920,Simpatia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/simpatia_40.4126_16.6920.json,custom
40.408470,16.687601,ov_i_pitagorici_ristorante_in_bernalda_40.4085_16.6876,I Pitagorici Ristorante in Bernalda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/i_pitagorici_ristorante_in_bernalda_40.4085_16.6876.json,custom
40.408475,16.687599,ov_azienda_agrituristica_masseria_cardillo_40.4085_16.6876,Azienda Agrituristica Masseria Cardillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/azienda_agrituristica_masseria_cardillo_40.4085_16.6876.json,custom
40.407630,16.687289,ov_ristorante_pizzeria_al_vecchio_frantoio_40.4076_16.6873,Ristorante Pizzeria Al Vecchio Frantoio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/ristorante_pizzeria_al_vecchio_frantoio_40.4076_16.6873.json,custom
40.407550,16.688394,ov_pizza_stop_40.4075_16.6884,Pizza Stop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/pizza_stop_40.4075_16.6884.json,custom
40.406153,16.686963,ov_la_mangiatoia_40.4062_16.6870,La Mangiatoia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/la_mangiatoia_40.4062_16.6870.json,custom
40.360336,16.836903,osm_terrazzino_degli_dei___da_vito_40.3603_16.8369,Terrazzino degli dei - da vito,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/terrazzino_degli_dei_-_da_vito_40.3603_16.8369.json,custom
40.403290,16.688503,osm_ristorante_alle_porte_40.4033_16.6885,Ristorante alle Porte,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/ristorante_alle_porte_40.4033_16.6885.json,custom
40.409689,16.686588,osm_boutique_della_carne_carlucci_antonio_40.4097_16.6866,Boutique della carne CARLUCCI Antonio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/boutique_della_carne_carlucci_antonio_40.4097_16.6866.json,custom
40.408453,16.687624,osm_ristorante_i_pitagorici_40.4085_16.6876,Ristorante I Pitagorici,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/ristorante_i_pitagorici_40.4085_16.6876.json,custom
40.359671,16.835536,ov_lounge_cafe_de_mar_40.3597_16.8355,Lounge Cafe De Mar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/lounge_cafe_de_mar_40.3597_16.8355.json,custom
40.362113,16.834890,ov_al_rabbit_40.3621_16.8349,Al Rabbit,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/al_rabbit_40.3621_16.8349.json,custom
40.371040,16.809780,ov_sunrise_bar_40.3710_16.8098,Sunrise Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/sunrise_bar_40.3710_16.8098.json,custom
