# lat,lng,id,name,building_type,type,url,page_type
# Canosa di Puglia -- Tutti
41.225725,16.072231,ov_pronto_soccorso_ospedale_caduti_in_guerr_41.2257_16.0722,Pronto Soccorso Ospedale Caduti in Guerra,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/pronto_soccorso_ospedale_caduti_in_guerr_41.2257_16.0722.json,custom
41.225823,16.060560,ov_ristorante_carbon_dolce_41.2258_16.0606,Ristorante Carbon Dolce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/ristorante_carbon_dolce_41.2258_16.0606.json,custom
41.226865,16.066922,ov_resta_cumme_41.2269_16.0669,Resta Cumme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/resta_cumme_41.2269_16.0669.json,custom
41.227181,16.063711,ov_nana_41.2272_16.0637,NaNa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/nana_41.2272_16.0637.json,custom
41.225440,16.073513,ov_locanda_di_nunno_41.2254_16.0735,Locanda Di Nunno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/locanda_di_nunno_41.2254_16.0735.json,custom
41.225561,16.072961,ov_vadi_da_margot_braceria_41.2256_16.0730,Vadi da Margot Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/vadi_da_margot_braceria_41.2256_16.0730.json,custom
41.224930,16.072018,ov_pizzeria_red_lion_41.2249_16.0720,Pizzeria Red Lion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/pizzeria_red_lion_41.2249_16.0720.json,custom
41.225242,16.068527,ov_ristobottega_rotondo_41.2252_16.0685,Ristobottega Rotondo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/ristobottega_rotondo_41.2252_16.0685.json,custom
41.224676,16.061964,ov_nell_arco_del_tempo_41.2247_16.0620,Nell'Arco del Tempo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/nellarco_del_tempo_41.2247_16.0620.json,custom
41.224348,16.062978,ov_pizz_e_core_41.2243_16.0630,Pizz e Core,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/pizz_e_core_41.2243_16.0630.json,custom
41.224350,16.064017,ov_pane_e_salame_41.2243_16.0640,Pane e Salame,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/pane_e_salame_41.2243_16.0640.json,custom
41.224208,16.070561,ov_la_gusteria_41.2242_16.0706,La Gusteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/la_gusteria_41.2242_16.0706.json,custom
41.223595,16.069544,ov_talismano_pizzeria_41.2236_16.0695,Talismano Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/talismano_pizzeria_41.2236_16.0695.json,custom
41.223583,16.066092,ov_ristorante_antonio_bologna_41.2236_16.0661,Ristorante Antonio Bologna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/ristorante_antonio_bologna_41.2236_16.0661.json,custom
41.223951,16.062841,ov_da_rossano_41.2240_16.0628,Da Rossano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/da_rossano_41.2240_16.0628.json,custom
41.224163,16.065752,ov_coll_xstro_41.2242_16.0658,CollĒxstro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/collxstro_41.2242_16.0658.json,custom
41.224230,16.063646,ov_vin_lia_41.2242_16.0636,Vinàlia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/vinlia_41.2242_16.0636.json,custom
41.224169,16.063773,ov_kebab_el_faraon_41.2242_16.0638,Kebab el Faraon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/kebab_el_faraon_41.2242_16.0638.json,custom
41.224036,16.064448,ov_calamariba_41.2240_16.0644,Calamariba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/calamariba_41.2240_16.0644.json,custom
41.221204,16.059056,ov_red_lion_v_41.2212_16.0591,Red Lion V,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/red_lion_v_41.2212_16.0591.json,custom
41.222051,16.060829,ov_mu_mang_ristobottega_41.2221_16.0608,Mu Mang ristobottega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/mu_mang_ristobottega_41.2221_16.0608.json,custom
41.222251,16.060764,ov_la_pr_ule_41.2223_16.0608,La Prèule,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/la_prule_41.2223_16.0608.json,custom
41.222283,16.068300,ov_da_mario_41.2223_16.0683,Da Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/da_mario_41.2223_16.0683.json,custom
41.222646,16.065344,ov_amore_in_ogni_dove_41.2226_16.0653,Amore In Ogni Dove,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/amore_in_ogni_dove_41.2226_16.0653.json,custom
41.222571,16.065027,ov_pizzeria_la_nicchia_41.2226_16.0650,Pizzeria La Nicchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/pizzeria_la_nicchia_41.2226_16.0650.json,custom
41.222799,16.061320,ov_ristorante_mare_in_terra_41.2228_16.0613,Ristorante Mare In Terra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/ristorante_mare_in_terra_41.2228_16.0613.json,custom
41.223079,16.061861,ov_pizzeria_mondo_pizza_41.2231_16.0619,Pizzeria Mondo pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/pizzeria_mondo_pizza_41.2231_16.0619.json,custom
41.223186,16.065392,ov_pizzeria_dall_orco_41.2232_16.0654,Pizzeria dall'Orco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/pizzeria_dallorco_41.2232_16.0654.json,custom
41.223156,16.068607,ov_istanbul_kebab_41.2232_16.0686,Istanbul Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/istanbul_kebab_41.2232_16.0686.json,custom
41.222759,16.065636,ov_mare_in_terra_41.2228_16.0656,Mare in Terra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/mare_in_terra_41.2228_16.0656.json,custom
41.221902,16.072875,ov_mo__41.2219_16.0729,MOÈ,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/mo_41.2219_16.0729.json,custom
41.222053,16.065745,ov_la_capannina_41.2221_16.0657,La Capannina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/la_capannina_41.2221_16.0657.json,custom
41.221830,16.066540,ov_la_siesta_41.2218_16.0665,La Siesta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/la_siesta_41.2218_16.0665.json,custom
41.221360,16.066350,ov_don_ciccio___cucina_tipica___piatti_da_a_41.2214_16.0663,Don Ciccio - Cucina Tipica - Piatti da asporto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/don_ciccio_-_cucina_tipica_-_piatti_da_a_41.2214_16.0663.json,custom
41.221013,16.065545,ov_da_franco_41.2210_16.0655,Da Franco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/da_franco_41.2210_16.0655.json,custom
41.220709,16.068389,ov_that_s_amore_41.2207_16.0684,That's Amore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/thats_amore_41.2207_16.0684.json,custom
41.220451,16.067253,ov_mister_angus_41.2205_16.0673,Mister Angus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/mister_angus_41.2205_16.0673.json,custom
41.218990,16.070342,ov_tip_top_41.2190_16.0703,Tip Top,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/tip_top_41.2190_16.0703.json,custom
41.218679,16.063163,ov_da_pasquale_41.2187_16.0632,Da Pasquale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/da_pasquale_41.2187_16.0632.json,custom
41.218285,16.076209,ov_saraceno_41.2183_16.0762,Saraceno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/saraceno_41.2183_16.0762.json,custom
41.217661,16.066617,ov_pizze_e_delizie_41.2177_16.0666,Pizze e Delizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/pizze_e_delizie_41.2177_16.0666.json,custom
41.215185,16.047515,ov_ristorante_antonio_bologna_41.2152_16.0475,Ristorante Antonio Bologna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/ristorante_antonio_bologna_41.2152_16.0475.json,custom
41.214373,16.056848,ov_twins_41.2144_16.0568,Twins,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/twins_41.2144_16.0568.json,custom
41.213326,16.077884,ov_yama_sushi_restaurant_41.2133_16.0779,Yama Sushi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/yama_sushi_restaurant_41.2133_16.0779.json,custom
41.212854,16.077955,ov_la_terrazza_41.2129_16.0780,La Terrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/la_terrazza_41.2129_16.0780.json,custom
41.209809,16.078440,ov_blue_moon_41.2098_16.0784,Blue Moon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/blue_moon_41.2098_16.0784.json,custom
41.211242,16.078683,ov_villa_torre_caracciolo_41.2112_16.0787,Villa Torre Caracciolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/villa_torre_caracciolo_41.2112_16.0787.json,custom
41.212518,16.078001,ov_brimax_41.2125_16.0780,Brimax,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/brimax_41.2125_16.0780.json,custom
41.200980,16.080480,ov_giardino_del_mago_41.2010_16.0805,Giardino del Mago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/giardino_del_mago_41.2010_16.0805.json,custom
41.191805,16.040394,ov_cucina_cefalicchio_41.1918_16.0404,Cucina Cefalicchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/cucina_cefalicchio_41.1918_16.0404.json,custom
41.159329,15.938491,ov_pizzeria_bar_loconia_41.1593_15.9385,Pizzeria Bar Loconia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/pizzeria_bar_loconia_41.1593_15.9385.json,custom
41.201414,16.082405,osm_il_giardino_del_mago_41.2014_16.0824,Il Giardino del Mago,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/il_giardino_del_mago_41.2014_16.0824.json,custom
41.211635,16.078695,osm_villa_torre_caracciolo_41.2116_16.0787,Villa Torre Caracciolo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/villa_torre_caracciolo_41.2116_16.0787.json,custom
41.217238,16.073646,osm_coll_xstro_41.2172_16.0736,CollĒxstro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/collxstro_41.2172_16.0736.json,custom
41.219013,16.070371,osm_pizzeria_tip_top_41.2190_16.0704,Pizzeria Tip Top,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/pizzeria_tip_top_41.2190_16.0704.json,custom
41.212799,16.078052,osm_ristorante_la_terrazza_41.2128_16.0781,Ristorante La Terrazza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/ristorante_la_terrazza_41.2128_16.0781.json,custom
41.214655,16.072230,osm_lo_smeraldo_41.2147_16.0722,Lo Smeraldo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/lo_smeraldo_41.2147_16.0722.json,custom
41.227432,16.061093,ov_colorado_caff__41.2274_16.0611,Colorado Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/colorado_caff_41.2274_16.0611.json,custom
41.225300,16.062162,ov_lamanna_41.2253_16.0622,Lamanna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/lamanna_41.2253_16.0622.json,custom
41.224905,16.071684,ov_jazz_caf__41.2249_16.0717,Jazz Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/jazz_caf_41.2249_16.0717.json,custom
41.224447,16.063217,ov_bar_million_41.2244_16.0632,Bar million,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/bar_million_41.2244_16.0632.json,custom
41.224608,16.071541,ov_orange_cafe_41.2246_16.0715,Orange Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/orange_cafe_41.2246_16.0715.json,custom
41.223191,16.068572,ov_ohana_caff__41.2232_16.0686,Ohana Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/ohana_caff_41.2232_16.0686.json,custom
41.223289,16.065797,ov_caffetteria_valentina_41.2233_16.0658,Caffetteria Valentina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/caffetteria_valentina_41.2233_16.0658.json,custom
41.223310,16.065205,ov_caf__calypso_41.2233_16.0652,Café Calypso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/caf_calypso_41.2233_16.0652.json,custom
41.223880,16.064176,ov_bar_cono_d_oro_41.2239_16.0642,Bar Cono D'Oro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/bar_cono_doro_41.2239_16.0642.json,custom
41.224130,16.066100,ov_oberdanristopub_41.2241_16.0661,oberdanristopub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/oberdanristopub_41.2241_16.0661.json,custom
41.222438,16.061198,ov_bar_miriana_41.2224_16.0612,Bar Miriana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/bar_miriana_41.2224_16.0612.json,custom
41.222452,16.066970,ov_planet_cafe_41.2225_16.0670,Planet Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/planet_cafe_41.2225_16.0670.json,custom
41.222425,16.066670,ov_casa_del_caffe_41.2224_16.0667,Casa Del Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/casa_del_caffe_41.2224_16.0667.json,custom
