# lat,lng,id,name,building_type,type,url,page_type
# Isola del Liri -- Tutti
41.678779,13.573400,ov_l_osteria_del_pesce_41.6788_13.5734,L'Osteria del Pesce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/losteria_del_pesce_41.6788_13.5734.json,custom
41.678807,13.573423,ov_made_in_italo_41.6788_13.5734,Made in Italo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/made_in_italo_41.6788_13.5734.json,custom
41.678410,13.572909,ov_scala_alla_cascata_41.6784_13.5729,Scala Alla Cascata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/scala_alla_cascata_41.6784_13.5729.json,custom
41.678119,13.573944,ov_pane_pizza_dolci_41.6781_13.5739,Pane Pizza Dolci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/pane_pizza_dolci_41.6781_13.5739.json,custom
41.678360,13.573810,ov_street_food_41.6784_13.5738,Street Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/street_food_41.6784_13.5738.json,custom
41.679487,13.573810,ov_don_anto_41.6795_13.5738,Don Anto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/don_anto_41.6795_13.5738.json,custom
41.679802,13.571803,ov_il_ristorarte_41.6798_13.5718,Il Ristorarte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/il_ristorarte_41.6798_13.5718.json,custom
41.679616,13.571758,ov_tartuvino_41.6796_13.5718,Tartuvino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/tartuvino_41.6796_13.5718.json,custom
41.679734,13.571808,ov_stuzzicheria_la_loca_41.6797_13.5718,Stuzzicheria La Loca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/stuzzicheria_la_loca_41.6797_13.5718.json,custom
41.679596,13.569992,ov_luppolo___farina_from_on_the_road_since__41.6796_13.5700,Luppolo & Farina from on the road since 1980,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/luppolo_farina_from_on_the_road_since_19_41.6796_13.5700.json,custom
41.680045,13.570033,ov_ristorante_pizzeria_positano_41.6800_13.5700,Ristorante Pizzeria Positano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/ristorante_pizzeria_positano_41.6800_13.5700.json,custom
41.678696,13.570145,ov_osteria_pignata_e_cucchiara_41.6787_13.5701,Osteria Pignata e Cucchiara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/osteria_pignata_e_cucchiara_41.6787_13.5701.json,custom
41.679089,13.571390,ov_osteria_pizzeria_dell_orologio_41.6791_13.5714,Osteria Pizzeria Dell'Orologio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/osteria_pizzeria_dellorologio_41.6791_13.5714.json,custom
41.681317,13.571610,ov_aqvaliri_41.6813_13.5716,Aqvaliri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/aqvaliri_41.6813_13.5716.json,custom
41.693451,13.577797,ov_alchemico_41.6935_13.5778,Alchemico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/alchemico_41.6935_13.5778.json,custom
41.712982,13.547483,ov_trattoria_pizzeria_da_giuliano_41.7130_13.5475,Trattoria Pizzeria Da Giuliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/trattoria_pizzeria_da_giuliano_41.7130_13.5475.json,custom
41.679004,13.572938,osm_osteria_al_vicoletto_41.6790_13.5729,Osteria al Vicoletto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/osteria_al_vicoletto_41.6790_13.5729.json,custom
41.684133,13.581007,osm_ristorante_lefebvre_wine_bar_41.6841_13.5810,Ristorante Lefebvre Wine bar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/ristorante_lefebvre_wine_bar_41.6841_13.5810.json,custom
41.696372,13.558864,ov_bar_4_strade_41.6964_13.5589,BAR 4 Strade,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/bar_4_strade_41.6964_13.5589.json,custom
41.679167,13.558165,ov_bar_la_bella_41.6792_13.5582,Bar La Bella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/bar_la_bella_41.6792_13.5582.json,custom
41.679738,13.562353,ov_tavernacolo_isola_del_liri_41.6797_13.5624,Tavernacolo Isola del Liri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/tavernacolo_isola_del_liri_41.6797_13.5624.json,custom
41.679725,13.562869,ov_pizzeria_mordi_e_fuggi_41.6797_13.5629,Pizzeria Mordi e Fuggi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/pizzeria_mordi_e_fuggi_41.6797_13.5629.json,custom
41.680293,13.563980,ov_zanzibar_caff__41.6803_13.5640,Zanzibar Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/zanzibar_caff_41.6803_13.5640.json,custom
41.690260,13.604891,ov_caff__cicerone_41.6903_13.6049,Caffè Cicerone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/caff_cicerone_41.6903_13.6049.json,custom
41.696690,13.601720,ov_hostev_a_41.6967_13.6017,Hostevìa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/hosteva_41.6967_13.6017.json,custom
41.692971,13.579725,ov_bar_azzurro_41.6930_13.5797,Bar Azzurro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/bar_azzurro_41.6930_13.5797.json,custom
41.689834,13.580179,ov_cap___caffetteria___cucina_41.6898_13.5802,Capì? Caffetteria & Cucina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/cap_caffetteria_cucina_41.6898_13.5802.json,custom
41.689210,13.580060,ov_nuova_tappezzeria_41.6892_13.5801,Nuova Tappezzeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/nuova_tappezzeria_41.6892_13.5801.json,custom
41.689168,13.580190,ov_pasticceria_isola_41.6892_13.5802,Pasticceria Isola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/pasticceria_isola_41.6892_13.5802.json,custom
41.687614,13.580183,ov_bar_meridionali_41.6876_13.5802,Bar Meridionali,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/bar_meridionali_41.6876_13.5802.json,custom
41.686188,13.589256,ov_bar_tabacchi_expresso_41.6862_13.5893,Bar Tabacchi eXpresso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/bar_tabacchi_expresso_41.6862_13.5893.json,custom
41.686125,13.584244,ov_caffe_giulia_41.6861_13.5842,Caffe Giulia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/caffe_giulia_41.6861_13.5842.json,custom
41.686692,13.582908,ov_home_enoteca___isola_del_liri_41.6867_13.5829,HOME Enoteca / Isola del Liri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/home_enoteca_isola_del_liri_41.6867_13.5829.json,custom
41.687397,13.579959,ov_c_c_caff__in_cialde_e_capsule_41.6874_13.5800,C&C Caffè in Cialde e Capsule,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/cc_caff_in_cialde_e_capsule_41.6874_13.5800.json,custom
41.681634,13.576347,ov_bar_l_oasi_41.6816_13.5763,Bar L'Oasi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/bar_loasi_41.6816_13.5763.json,custom
41.681786,13.577764,ov_bar_41.6818_13.5778,Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/bar_41.6818_13.5778.json,custom
41.678940,13.572185,ov_pianeta_delizie_41.6789_13.5722,Pianeta Delizie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/pianeta_delizie_41.6789_13.5722.json,custom
41.678870,13.572200,ov_villagecafe_justlike_41.6789_13.5722,Villagecafe Justlike,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/villagecafe_justlike_41.6789_13.5722.json,custom
41.679277,13.572094,ov_tidy_41.6793_13.5721,Tidy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/tidy_41.6793_13.5721.json,custom
41.679261,13.572425,ov_la_distilleria_del_cama_41.6793_13.5724,La Distilleria del Cama,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/la_distilleria_del_cama_41.6793_13.5724.json,custom
41.679131,13.572341,ov_dolce_vita_41.6791_13.5723,Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/dolce_vita_41.6791_13.5723.json,custom
41.678960,13.572490,ov_blackout_cocktail__bar_41.6790_13.5725,Blackout cocktail  bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/blackout_cocktail_bar_41.6790_13.5725.json,custom
41.678960,13.572670,ov_dai_degustatori_41.6790_13.5727,Dai Degustatori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/dai_degustatori_41.6790_13.5727.json,custom
41.678406,13.573883,ov_bar_gelateria_pasticceria_facchini_41.6784_13.5739,Bar Gelateria Pasticceria Facchini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/bar_gelateria_pasticceria_facchini_41.6784_13.5739.json,custom
41.679653,13.571845,ov_vecchio_bar_del_corso_41.6797_13.5718,Vecchio Bar del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/vecchio_bar_del_corso_41.6797_13.5718.json,custom
41.679653,13.571971,ov_gran_caffe_41.6797_13.5720,Gran Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/gran_caffe_41.6797_13.5720.json,custom
41.679381,13.571974,ov_la_terrazza_41.6794_13.5720,La Terrazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/la_terrazza_41.6794_13.5720.json,custom
