# lat,lng,id,name,building_type,type,url,page_type
# Ispra -- Tutti
45.814075,8.621456,ov_centro_medico_le_mimose_45.8141_8.6215,Centro Medico Le Mimose,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/centro_medico_le_mimose_45.8141_8.6215.json,custom
45.814021,8.607401,ov_vespucci_ispra_45.8140_8.6074,Vespucci Ispra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/vespucci_ispra_45.8140_8.6074.json,custom
45.820857,8.624244,ov_ristorante_vecchia_osteria__ispra__45.8209_8.6242,Ristorante Vecchia Osteria -Ispra-,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/ristorante_vecchia_osteria_-ispra-_45.8209_8.6242.json,custom
45.820761,8.623937,ov_ristorante_dei_limoni_45.8208_8.6239,Ristorante dei Limoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/ristorante_dei_limoni_45.8208_8.6239.json,custom
45.818969,8.623898,ov_kioto_sushi_ispra_all_you_can_eat_45.8190_8.6239,Kioto Sushi Ispra All You Can Eat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/kioto_sushi_ispra_all_you_can_eat_45.8190_8.6239.json,custom
45.814216,8.631265,ov_ristorante_la_betulla_horses_restaurant__45.8142_8.6313,Ristorante La Betulla Horses Restaurant & Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/ristorante_la_betulla_horses_restaurant__45.8142_8.6313.json,custom
45.814034,8.631384,ov_osteria_la_betulla_45.8140_8.6314,Osteria La Betulla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/osteria_la_betulla_45.8140_8.6314.json,custom
45.813921,8.621318,ov_sharm_el_shaike_45.8139_8.6213,Sharm El Shaike,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/sharm_el_shaike_45.8139_8.6213.json,custom
45.811730,8.620705,ov_setteduequattro_45.8117_8.6207,Setteduequattro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/setteduequattro_45.8117_8.6207.json,custom
45.812610,8.620140,ov_mediterranea_45.8126_8.6201,Mediterranea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/mediterranea_45.8126_8.6201.json,custom
45.816830,8.615500,ov_ristorante_cinese_hualidu_sas_di_lin_del_45.8168_8.6155,Ristorante Cinese Hualidu SAS di Lin Delong e C.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/ristorante_cinese_hualidu_sas_di_lin_del_45.8168_8.6155.json,custom
45.816288,8.611884,ov_la_baita_biergarten_45.8163_8.6119,La Baita Biergarten,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/la_baita_biergarten_45.8163_8.6119.json,custom
45.816329,8.611814,ov_the_secret_garden_45.8163_8.6118,The Secret Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/the_secret_garden_45.8163_8.6118.json,custom
45.816204,8.611099,ov_osteria_del_lago_45.8162_8.6111,Osteria Del Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/osteria_del_lago_45.8162_8.6111.json,custom
45.813952,8.607445,osm_caffe_vespucci_45.8140_8.6074,Caffe Vespucci,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/caffe_vespucci_45.8140_8.6074.json,custom
45.819034,8.623967,osm_ristorante_cinese_pizzeria_hua_li_du_45.8190_8.6240,Ristorante cinese pizzeria Hua Li Du,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/ristorante_cinese_pizzeria_hua_li_du_45.8190_8.6240.json,custom
45.816375,8.611963,osm_la_baita_45.8164_8.6120,La Baita,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/la_baita_45.8164_8.6120.json,custom
45.820819,8.623916,osm_ristorante_vecchia_osteria_45.8208_8.6239,Ristorante Vecchia Osteria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/ristorante_vecchia_osteria_45.8208_8.6239.json,custom
45.813441,8.615094,osm_barlume_45.8134_8.6151,Barlume,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/barlume_45.8134_8.6151.json,custom
45.813472,8.611645,osm_ca__dei_baloss_45.8135_8.6116,Ca' Dei Baloss,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/ca_dei_baloss_45.8135_8.6116.json,custom
45.798206,8.610533,osm_golf_caf__barza_45.7982_8.6105,Golf Cafè Barza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/golf_caf_barza_45.7982_8.6105.json,custom
45.812520,8.607603,ov_salvato_mauro_45.8125_8.6076,Salvato Mauro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/salvato_mauro_45.8125_8.6076.json,custom
45.812558,8.607792,ov_caff__del_lago_45.8126_8.6078,Caffé del Lago,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/caff_del_lago_45.8126_8.6078.json,custom
