# lat,lng,id,name,building_type,type,url,page_type
# villafrati -- Tutti
37.969748,13.372906,ov_studio_di_logopedia_cuttitta_37.9697_13.3729,Studio di Logopedia Cuttitta,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/studio_di_logopedia_cuttitta_37.9697_13.3729.json,custom
37.958087,13.469892,ov_la_bottega_siciliana_37.9581_13.4699,La Bottega Siciliana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/la_bottega_siciliana_37.9581_13.4699.json,custom
37.908149,13.486442,ov_storik_37.9081_13.4864,Storik,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/storik_37.9081_13.4864.json,custom
37.905686,13.484090,ov_garden_pizzeria_37.9057_13.4841,Garden Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/garden_pizzeria_37.9057_13.4841.json,custom
37.905428,13.482178,ov_la_bottega_siciliana_in_sicilia_37.9054_13.4822,La Bottega Siciliana in Sicilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/la_bottega_siciliana_in_sicilia_37.9054_13.4822.json,custom
37.901621,13.483284,ov_al_cuddiruni_37.9016_13.4833,Al Cuddiruni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/al_cuddiruni_37.9016_13.4833.json,custom
37.908118,13.485100,ov_little_room_pub_37.9081_13.4851,Little Room Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/little_room_pub_37.9081_13.4851.json,custom
37.905627,13.484052,ov_garden_bar_37.9056_13.4841,Garden Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/garden_bar_37.9056_13.4841.json,custom
37.906129,13.484922,ov_bar_sport_37.9061_13.4849,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/bar_sport_37.9061_13.4849.json,custom
37.904890,13.483780,ov_u_bummularu_37.9049_13.4838,U Bummularu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/u_bummularu_37.9049_13.4838.json,custom
37.905338,13.482010,ov_centro_studio_danza_paquita_asd_37.9053_13.4820,Centro Studio Danza Paquita ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/centro_studio_danza_paquita_asd_37.9053_13.4820.json,custom
37.930386,13.472356,ov_bagni_di_cefal__diana_37.9304_13.4724,Bagni di Cefalà Diana,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/bagni_di_cefal_diana_37.9304_13.4724.json,custom
37.908626,13.486820,ov_palazzo_filangieri_37.9086_13.4868,Palazzo Filangieri,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/palazzo_filangieri_37.9086_13.4868.json,custom
37.908455,13.488296,ov_biblioteca_comunale_salvatore_raccuglia__37.9085_13.4883,Biblioteca Comunale Salvatore Raccuglia di Villafrati,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/villafrati/pages/biblioteca_comunale_salvatore_raccuglia__37.9085_13.4883.json,custom
