# lat,lng,id,name,building_type,type,url,page_type
# castelli_calepio -- Tutti
45.610310,9.893420,ov_ambulatorio_odontoiatrico_dr__deleon_45.6103_9.8934,Ambulatorio Odontoiatrico Dr. Deleon,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/ambulatorio_odontoiatrico_dr_deleon_45.6103_9.8934.json,custom
45.612710,9.886057,ov_giuly_pizza_45.6127_9.8861,Giuly Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/giuly_pizza_45.6127_9.8861.json,custom
45.609917,9.892300,ov_pizzeria_asporto_piu_45.6099_9.8923,Pizzeria Asporto Piu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/pizzeria_asporto_piu_45.6099_9.8923.json,custom
45.650515,9.912288,ov_la_canva_pizzeria_45.6505_9.9123,La Canva Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/la_canva_pizzeria_45.6505_9.9123.json,custom
45.639205,9.903084,ov_pizzeria_da_asporto_sapori_45.6392_9.9031,Pizzeria da asporto SAPORI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/pizzeria_da_asporto_sapori_45.6392_9.9031.json,custom
45.638450,9.890880,ov_al_posto_giusto_45.6384_9.8909,Al Posto Giusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/al_posto_giusto_45.6384_9.8909.json,custom
45.641302,9.906937,ov_arora_fast_food_45.6413_9.9069,Arora Fast Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/arora_fast_food_45.6413_9.9069.json,custom
45.641142,9.899262,ov_trattoria_da_luisa_45.6411_9.8993,Trattoria Da Luisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/trattoria_da_luisa_45.6411_9.8993.json,custom
45.640025,9.897477,ov_pizzeria_da_ma__45.6400_9.8975,Pizzeria DA.MA.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/pizzeria_dama_45.6400_9.8975.json,custom
45.627084,9.900975,ov_ristorante_stockholm_45.6271_9.9010,Ristorante Stockholm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/ristorante_stockholm_45.6271_9.9010.json,custom
45.618008,9.894543,ov_osteria_cantina_bellini_45.6180_9.8945,Osteria Cantina Bellini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/osteria_cantina_bellini_45.6180_9.8945.json,custom
45.618157,9.894300,osm_osteria_cantina_bellini_45.6182_9.8943,Osteria Cantina Bellini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/osteria_cantina_bellini_45.6182_9.8943.json,custom
