# lat,lng,id,name,building_type,type,url,page_type
# Pratola Peligna -- Tutti
42.094791,13.871787,ov_ristorante_pizzeria_rosa_blu_42.0948_13.8718,Ristorante Pizzeria Rosa Blu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/ristorante_pizzeria_rosa_blu_42.0948_13.8718.json,custom
42.100000,13.866700,ov_ristorante___pizzeria_la_vigna_42.1000_13.8667,Ristorante - Pizzeria La Vigna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/ristorante_-_pizzeria_la_vigna_42.1000_13.8667.json,custom
42.105130,13.872583,ov_bar_galante_buffet_42.1051_13.8726,Bar Galante Buffet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/bar_galante_buffet_42.1051_13.8726.json,custom
42.092189,13.873616,ov_ristorante_pizzeria_il_carro_42.0922_13.8736,Ristorante Pizzeria Il Carro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/ristorante_pizzeria_il_carro_42.0922_13.8736.json,custom
42.092118,13.873656,osm_ristorante_il_carro_42.0921_13.8737,Ristorante Il Carro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/ristorante_il_carro_42.0921_13.8737.json,custom
42.097370,13.890560,ov_bar_statale_17___page_off__42.0974_13.8906,Bar Statale 17 - Page Off.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/bar_statale_17_-_page_off_42.0974_13.8906.json,custom
42.100448,13.877321,ov_rewind_caffetteria_paninoteca_42.1004_13.8773,Rewind Caffetteria paninoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/rewind_caffetteria_paninoteca_42.1004_13.8773.json,custom
42.098555,13.877571,ov_carillo_caf__42.0986_13.8776,Carillo Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/carillo_caf_42.0986_13.8776.json,custom
42.095767,13.874718,ov_just_cafe_and_wine_42.0958_13.8747,Just Cafe and Wine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/just_cafe_and_wine_42.0958_13.8747.json,custom
42.096581,13.874346,ov_tito_bar_42.0966_13.8743,Tito bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/tito_bar_42.0966_13.8743.json,custom
