# lat,lng,id,name,building_type,type,url,page_type
# Spresiano -- Tutti
45.746900,12.270734,ov_ospedale_ca__foncello_di_treviso_45.7469_12.2707,Ospedale Ca' Foncello Di Treviso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/ospedale_ca_foncello_di_treviso_45.7469_12.2707.json,custom
45.768326,12.278914,ov_pizzeria_love_pizza_45.7683_12.2789,Pizzeria Love Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/pizzeria_love_pizza_45.7683_12.2789.json,custom
45.760730,12.278030,ov_lago_le_bandie_45.7607_12.2780,Lago Le Bandie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/lago_le_bandie_45.7607_12.2780.json,custom
45.752005,12.284830,ov_ristorante_la_go_45.7520_12.2848,Ristorante LA.Go,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/ristorante_lago_45.7520_12.2848.json,custom
45.751898,12.284705,ov_lovadina_di_spresiano_45.7519_12.2847,Lovadina di Spresiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/lovadina_di_spresiano_45.7519_12.2847.json,custom
45.747176,12.285832,ov_le_papere_45.7472_12.2858,Le papere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/le_papere_45.7472_12.2858.json,custom
45.758105,12.250662,ov_papiermais_visnadello_45.7581_12.2507,Papiermais Visnadello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/papiermais_visnadello_45.7581_12.2507.json,custom
45.763137,12.250725,ov_ristorante_da_nano_45.7631_12.2507,Ristorante da Nano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/ristorante_da_nano_45.7631_12.2507.json,custom
45.768991,12.253086,ov_ristorante_e_churrascaria_zebbu_45.7690_12.2531,Ristorante E Churrascaria ZEBBU,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/ristorante_e_churrascaria_zebbu_45.7690_12.2531.json,custom
45.769088,12.253128,ov_hollywood_burger_45.7691_12.2531,Hollywood Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/hollywood_burger_45.7691_12.2531.json,custom
45.768981,12.252686,ov_real_pizza_45.7690_12.2527,Real Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/real_pizza_45.7690_12.2527.json,custom
