# lat,lng,id,name,building_type,type,url,page_type
# Arcore -- Tutti
45.625800,9.321750,ov_roberta_musso_medicina_estetica_45.6258_9.3217,Roberta Musso Medicina Estetica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/roberta_musso_medicina_estetica_45.6258_9.3217.json,custom
45.627161,9.322051,ov_il_saraceno_45.6272_9.3221,Il Saraceno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/il_saraceno_45.6272_9.3221.json,custom
45.624467,9.321479,ov_la_regina_margherita_45.6245_9.3215,La Regina Margherita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/la_regina_margherita_45.6245_9.3215.json,custom
45.624279,9.322679,ov_bistrot_1882_45.6243_9.3227,Bistrot 1882,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/bistrot_1882_45.6243_9.3227.json,custom
45.625238,9.323417,ov_hinode_sushi_45.6252_9.3234,Hinode Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/hinode_sushi_45.6252_9.3234.json,custom
45.624745,9.325370,ov_lait_garden_45.6247_9.3254,Lait Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/lait_garden_45.6247_9.3254.json,custom
45.626189,9.325314,ov_pizzeria_il_baffo_45.6262_9.3253,Pizzeria Il Baffo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/pizzeria_il_baffo_45.6262_9.3253.json,custom
45.625423,9.323346,ov_il_mannarino_arcore_45.6254_9.3233,Il Mannarino Arcore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/il_mannarino_arcore_45.6254_9.3233.json,custom
45.628084,9.326413,ov_ristorante_pizzeria_arcore_spaccanapoli_45.6281_9.3264,Ristorante Pizzeria Arcore Spaccanapoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/ristorante_pizzeria_arcore_spaccanapoli_45.6281_9.3264.json,custom
45.627100,9.327001,ov_la_teglia_45.6271_9.3270,La Teglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/la_teglia_45.6271_9.3270.json,custom
45.628302,9.328390,ov_angolo_trentuno_45.6283_9.3284,Angolo Trentuno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/angolo_trentuno_45.6283_9.3284.json,custom
45.630430,9.330833,ov_goss_grill_burger_arcore_45.6304_9.3308,Goss Grill Burger Arcore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/goss_grill_burger_arcore_45.6304_9.3308.json,custom
45.630408,9.330652,ov_decimo_pizzabistrot_45.6304_9.3307,Decimo PizzaBistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/decimo_pizzabistrot_45.6304_9.3307.json,custom
45.629470,9.329550,ov_le_palme_45.6295_9.3295,Le Palme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/le_palme_45.6295_9.3295.json,custom
45.628904,9.329226,ov_that_s_amore_la_pizzeria_45.6289_9.3292,That's Amore La Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/thats_amore_la_pizzeria_45.6289_9.3292.json,custom
45.630315,9.327085,ov_pizzeria_gusto_superiore_45.6303_9.3271,Pizzeria Gusto Superiore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/pizzeria_gusto_superiore_45.6303_9.3271.json,custom
45.629990,9.326360,ov_bar_pizzeria_la_vera_napoli_45.6300_9.3264,Bar Pizzeria La Vera Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/bar_pizzeria_la_vera_napoli_45.6300_9.3264.json,custom
45.632297,9.324520,ov_art_cocktail___restaurant_45.6323_9.3245,Art Cocktail & Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/art_cocktail_restaurant_45.6323_9.3245.json,custom
