# lat,lng,id,name,building_type,type,url,page_type
# Mascalucia -- Tutti
37.573381,15.052451,ov_centro_di_diagnostica_cardiovascolare_de_37.5734_15.0525,Centro di Diagnostica Cardiovascolare del Dott. Fichera Anto,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/centro_di_diagnostica_cardiovascolare_de_37.5734_15.0525.json,custom
37.611257,15.031010,ov_la_corte_dell_etna_37.6113_15.0310,La Corte Dell'Etna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/la_corte_delletna_37.6113_15.0310.json,custom
37.611146,15.031023,ov_grotta_del_gallo_37.6111_15.0310,Grotta Del Gallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/grotta_del_gallo_37.6111_15.0310.json,custom
37.600307,15.037269,ov_casal_barocco_37.6003_15.0373,Casal Barocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/casal_barocco_37.6003_15.0373.json,custom
37.596334,15.027365,ov_villa_balaton_37.5963_15.0274,Villa balaton,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/villa_balaton_37.5963_15.0274.json,custom
37.592059,15.038718,ov_pizzeria_l_annunziata_37.5921_15.0387,Pizzeria L'Annunziata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/pizzeria_lannunziata_37.5921_15.0387.json,custom
37.585852,15.049442,ov_sushi_park_mascalucia___all_you_can_eat_37.5859_15.0494,Sushi Park Mascalucia - All you can eat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/sushi_park_mascalucia_-_all_you_can_eat_37.5859_15.0494.json,custom
37.583361,15.051280,ov_ristorante_pizzeria_all_ulivo_37.5834_15.0513,Ristorante Pizzeria all'Ulivo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/ristorante_pizzeria_allulivo_37.5834_15.0513.json,custom
37.581758,15.056264,ov_villa_del_cedro_37.5818_15.0563,Villa Del Cedro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/villa_del_cedro_37.5818_15.0563.json,custom
37.582687,15.038851,ov_boss___wife_37.5827_15.0389,Boss & Wife,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/boss_wife_37.5827_15.0389.json,custom
37.580984,15.046790,ov_feudo_delle_tre_virtu_37.5810_15.0468,Feudo delle Tre Virtu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/feudo_delle_tre_virtu_37.5810_15.0468.json,custom
37.580964,15.046684,ov_la_fazenda_37.5810_15.0467,La Fazenda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/la_fazenda_37.5810_15.0467.json,custom
37.577714,15.048566,ov_miseria_e_nobilt__37.5777_15.0486,Miseria e Nobiltà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/miseria_e_nobilt_37.5777_15.0486.json,custom
37.577785,15.048965,ov_bugaboo_37.5778_15.0490,Bugaboo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/mascalucia/pages/bugaboo_37.5778_15.0490.json,custom
