# lat,lng,id,name,building_type,type,url,page_type
# bosco_marengo -- Tutti
44.824054,8.675538,ov_casa_di_riposo_ss_antonio_e_caterina_44.8241_8.6755,Casa di Riposo SS Antonio e Caterina,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bosco_marengo/pages/casa_di_riposo_ss_antonio_e_caterina_44.8241_8.6755.json,custom
44.845703,8.755073,ov_locanda_del_buon_gusto_44.8457_8.7551,Locanda del Buon Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bosco_marengo/pages/locanda_del_buon_gusto_44.8457_8.7551.json,custom
44.811580,8.707171,ov_cascina_ciacrotto_44.8116_8.7072,Cascina Ciacrotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bosco_marengo/pages/cascina_ciacrotto_44.8116_8.7072.json,custom
44.808280,8.703470,ov_luna_rossa_44.8083_8.7035,Luna Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bosco_marengo/pages/luna_rossa_44.8083_8.7035.json,custom
44.821781,8.677640,osm_locanda_dell_olmo_44.8218_8.6776,Locanda dell'Olmo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bosco_marengo/pages/locanda_dellolmo_44.8218_8.6776.json,custom
44.823994,8.681267,osm_barcollando_44.8240_8.6813,Barcollando,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bosco_marengo/pages/barcollando_44.8240_8.6813.json,custom
44.846500,8.757720,ov_bar_quattrocascine_44.8465_8.7577,Bar Quattrocascine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bosco_marengo/pages/bar_quattrocascine_44.8465_8.7577.json,custom
44.821874,8.675798,ov_il_bicerin___da_ale_44.8219_8.6758,IL Bicerin - da Ale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bosco_marengo/pages/il_bicerin_-_da_ale_44.8219_8.6758.json,custom
44.823868,8.681332,ov_barcollando_44.8239_8.6813,Barcollando,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bosco_marengo/pages/barcollando_44.8239_8.6813.json,custom
44.817320,8.684270,ov_golden_wings_ranch_44.8173_8.6843,Golden Wings Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bosco_marengo/pages/golden_wings_ranch_44.8173_8.6843.json,custom
44.822410,8.676310,ov_amici_di_santa_croce_di_bosco_marengo_44.8224_8.6763,Amici di Santa Croce di Bosco Marengo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bosco_marengo/pages/amici_di_santa_croce_di_bosco_marengo_44.8224_8.6763.json,custom
