# lat,lng,id,name,building_type,type,url,page_type
# Laveno-Mombello -- Tutti
45.907395,8.622749,osm_asst_sette_laghi___casa_di_comunit__di_l_45.9074_8.6227,ASST Sette Laghi - Casa di Comunità di Laveno Mombello,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/asst_sette_laghi_-_casa_di_comunit_di_la_45.9074_8.6227.json,custom
45.906516,8.612815,ov_la_tavola_45.9065_8.6128,La Tavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/la_tavola_45.9065_8.6128.json,custom
45.911699,8.618576,osm_calianna_45.9117_8.6186,Calianna,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/calianna_45.9117_8.6186.json,custom
45.911244,8.618307,osm_taverna_concordia_45.9112_8.6183,Taverna Concordia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/taverna_concordia_45.9112_8.6183.json,custom
45.911912,8.617508,osm_il_burchiello_45.9119_8.6175,Il Burchiello,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/il_burchiello_45.9119_8.6175.json,custom
45.904743,8.624054,osm_pizzeria_due_ponti_45.9047_8.6241,Pizzeria due ponti,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/pizzeria_due_ponti_45.9047_8.6241.json,custom
45.904595,8.621508,osm_sabine_45.9046_8.6215,Sabine,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/sabine_45.9046_8.6215.json,custom
45.911219,8.637207,ov_bar_il_deltaplano_45.9112_8.6372,Bar Il Deltaplano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/bar_il_deltaplano_45.9112_8.6372.json,custom
45.889369,8.624199,osm_dony_bar_45.8894_8.6242,Dony Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/dony_bar_45.8894_8.6242.json,custom
45.908515,8.620970,osm_la_bottega_del_caff__45.9085_8.6210,La bottega del caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/la_bottega_del_caff_45.9085_8.6210.json,custom
45.903520,8.624326,osm_bar_buffet_stazione_gerist_45.9035_8.6243,Bar Buffet Stazione Gerist,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/bar_buffet_stazione_gerist_45.9035_8.6243.json,custom
45.896989,8.637449,osm_icaro_speedbar_45.8970_8.6374,Icaro SpeedBar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/icaro_speedbar_45.8970_8.6374.json,custom
45.889759,8.623611,osm_poste_di_mombello_45.8898_8.6236,Poste di Mombello,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/laveno-mombello/pages/poste_di_mombello_45.8898_8.6236.json,custom
