# lat,lng,id,name,building_type,type,url,page_type
# bellano -- Tutti
46.048310,9.306805,ov_umberto_i_46.0483_9.3068,Umberto I,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/umberto_i_46.0483_9.3068.json,custom
46.038318,9.326280,ov_agriturismo_bon_pr__46.0383_9.3263,Agriturismo Bon Prà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/agriturismo_bon_pr_46.0383_9.3263.json,custom
46.027096,9.344325,ov_agriturismo_gulliver_46.0271_9.3443,Agriturismo Gulliver,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/agriturismo_gulliver_46.0271_9.3443.json,custom
46.044609,9.303809,ov_ristorante_pizzeria_cavallo_bianco_46.0446_9.3038,Ristorante Pizzeria Cavallo Bianco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/ristorante_pizzeria_cavallo_bianco_46.0446_9.3038.json,custom
46.044234,9.303507,ov_ristorante_pizzeria_bernina_46.0442_9.3035,Ristorante Pizzeria Bernina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/ristorante_pizzeria_bernina_46.0442_9.3035.json,custom
46.043509,9.303043,ov_trattoria_del_ponte_46.0435_9.3030,Trattoria Del Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/trattoria_del_ponte_46.0435_9.3030.json,custom
46.043679,9.302817,ov_truth_46.0437_9.3028,Truth,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/truth_46.0437_9.3028.json,custom
46.045082,9.304594,ov_ristorante_la_darsena_46.0451_9.3046,Ristorante La Darsena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/ristorante_la_darsena_46.0451_9.3046.json,custom
46.035447,9.302783,ov_crotto_di_biosio_46.0354_9.3028,Crotto di Biosio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/crotto_di_biosio_46.0354_9.3028.json,custom
46.042826,9.299857,ov_ristorante_alkimia_46.0428_9.2999,Ristorante Alkimia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/ristorante_alkimia_46.0428_9.2999.json,custom
46.042498,9.300244,ov_il_chiosco_di_bellano_46.0425_9.3002,Il Chiosco di Bellano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/il_chiosco_di_bellano_46.0425_9.3002.json,custom
46.043590,9.302470,ov_pizzeria_del_poeta_46.0436_9.3025,Pizzeria del Poeta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/pizzeria_del_poeta_46.0436_9.3025.json,custom
46.040912,9.299276,ov_lido_di_bellano_46.0409_9.2993,Lido di Bellano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/lido_di_bellano_46.0409_9.2993.json,custom
46.044610,9.303840,osm_cavallo_bianco_46.0446_9.3038,Cavallo Bianco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/cavallo_bianco_46.0446_9.3038.json,custom
46.042804,9.299836,osm_alkimia_46.0428_9.2998,Alkimia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/alkimia_46.0428_9.2998.json,custom
46.041658,9.302347,osm_all__orrido_46.0417_9.3023,All' Orrido,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/all_orrido_46.0417_9.3023.json,custom
46.047630,9.305270,osm_la_dolce_vita_46.0476_9.3053,La Dolce Vita,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/la_dolce_vita_46.0476_9.3053.json,custom
