# lat,lng,id,name,building_type,type,url,page_type
# altare -- Tutti
44.337335,8.333579,osm_croce_bianca_altare_44.3373_8.3336,Croce Bianca Altare,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/croce_bianca_altare_44.3373_8.3336.json,custom
44.332003,8.333183,ov_trattoria_k2_44.3320_8.3332,Trattoria K2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/trattoria_k2_44.3320_8.3332.json,custom
44.333259,8.346050,ov_ristorante_quintilio_44.3333_8.3461,Ristorante Quintilio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/ristorante_quintilio_44.3333_8.3461.json,custom
44.335366,8.343071,ov_san_rocco_44.3354_8.3431,San Rocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/san_rocco_44.3354_8.3431.json,custom
44.335861,8.337898,ov_bisteak_altare_44.3359_8.3379,Bisteak Altare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/bisteak_altare_44.3359_8.3379.json,custom
44.335803,8.337929,ov_pizzeria_steakhouse_emma_44.3358_8.3379,Pizzeria Steakhouse Emma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/pizzeria_steakhouse_emma_44.3358_8.3379.json,custom
44.336228,8.335779,ov_kaled_pizza_kebab_44.3362_8.3358,Kaled pizza kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/kaled_pizza_kebab_44.3362_8.3358.json,custom
44.335831,8.338218,osm_emma_pizzeria_steakhouse_44.3358_8.3382,Emma Pizzeria Steakhouse,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/emma_pizzeria_steakhouse_44.3358_8.3382.json,custom
44.336944,8.332838,osm_la_vecchia_stazione_44.3369_8.3328,La Vecchia Stazione,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/la_vecchia_stazione_44.3369_8.3328.json,custom
44.335646,8.339095,ov_eallorano_44.3356_8.3391,Eallorano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/eallorano_44.3356_8.3391.json,custom
44.335625,8.339019,ov_imperivm_44.3356_8.3390,Imperivm,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/imperivm_44.3356_8.3390.json,custom
44.335550,8.339050,ov_excalibur1998_44.3355_8.3391,Excalibur1998,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/excalibur1998_44.3355_8.3391.json,custom
44.335066,8.343241,ov_antico_caff__bruna_44.3351_8.3432,Antico Caffè Bruna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/antico_caff_bruna_44.3351_8.3432.json,custom
44.335808,8.338892,ov_bar_franca_44.3358_8.3389,Bar Franca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/bar_franca_44.3358_8.3389.json,custom
44.335769,8.340127,osm_bar_rosa_44.3358_8.3401,Bar Rosa,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/bar_rosa_44.3358_8.3401.json,custom
44.338452,8.344220,ov_circolo_sportivo_zeronovanta_44.3385_8.3442,Circolo Sportivo ZeroNovanta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/circolo_sportivo_zeronovanta_44.3385_8.3442.json,custom
44.335169,8.343378,ov_oratorio_di_san_sebastiano_44.3352_8.3434,Oratorio di San Sebastiano,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/oratorio_di_san_sebastiano_44.3352_8.3434.json,custom
44.336090,8.341999,ov_museo_dell_arte_vetraria_altarese_44.3361_8.3420,Museo dell'Arte Vetraria Altarese,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/museo_dellarte_vetraria_altarese_44.3361_8.3420.json,custom
44.335136,8.339303,osm_ufficio_postale_44.3351_8.3393,Ufficio Postale,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/ufficio_postale_44.3351_8.3393.json,custom
44.334436,8.343342,ov_biblioteca_civica_p__tambani__altare__sv_44.3344_8.3433,"Biblioteca Civica P. Tambani, Altare (SV)",LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/altare/pages/biblioteca_civica_p_tambani_altare_sv_44.3344_8.3433.json,custom
