# lat,lng,id,name,building_type,type,url,page_type
# grottolella -- Tutti
40.976070,14.780240,ov_il_vecchio_mulino_agriturismo_40.9761_14.7802,Il Vecchio Mulino Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/grottolella/pages/il_vecchio_mulino_agriturismo_40.9761_14.7802.json,custom
40.972178,14.787060,ov_planet_fitness_40.9722_14.7871,planet fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/grottolella/pages/planet_fitness_40.9722_14.7871.json,custom
40.972120,14.787017,ov_range_of_motion_40.9721_14.7870,Range of motion,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/grottolella/pages/range_of_motion_40.9721_14.7870.json,custom
