# lat,lng,id,name,building_type,type,url,page_type
# Santa Sofia -- Tutti
43.942432,11.901455,ov_ospedale_nefetti_43.9424_11.9015,Ospedale Nefetti,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/ospedale_nefetti_43.9424_11.9015.json,custom
43.860189,11.744078,ov_ristorante_i_faggi_43.8602_11.7441,Ristorante i Faggi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/ristorante_i_faggi_43.8602_11.7441.json,custom
43.865839,11.734791,ov_burraia_chalet_locanda_43.8658_11.7348,Burraia Chalet Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/burraia_chalet_locanda_43.8658_11.7348.json,custom
43.865849,11.734799,ov_la_burrata_43.8658_11.7348,La Burrata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/la_burrata_43.8658_11.7348.json,custom
43.872155,11.746044,ov_la_lanterna_ristorante_43.8722_11.7460,La Lanterna Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/la_lanterna_ristorante_43.8722_11.7460.json,custom
43.872961,11.748370,ov_la_burraia_43.8730_11.7484,La Burraia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/la_burraia_43.8730_11.7484.json,custom
43.926146,11.977437,ov_hotel_leonardo_43.9261_11.9774,Hotel Leonardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/hotel_leonardo_43.9261_11.9774.json,custom
43.923629,11.948169,ov_ristorante_la_nocina_43.9236_11.9482,Ristorante la Nocina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/ristorante_la_nocina_43.9236_11.9482.json,custom
43.938977,11.901121,ov_fiaschetteria_43.9390_11.9011,Fiaschetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/fiaschetteria_43.9390_11.9011.json,custom
43.932455,11.893108,ov_casa_oriolo_home_restaurant_43.9325_11.8931,Casa Oriolo home restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/casa_oriolo_home_restaurant_43.9325_11.8931.json,custom
43.929595,11.849848,ov_piadineria_al_46_43.9296_11.8498,Piadineria Al 46,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/piadineria_al_46_43.9296_11.8498.json,custom
43.946800,11.909691,ov_rosso_bistrot_43.9468_11.9097,Rosso Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/rosso_bistrot_43.9468_11.9097.json,custom
