# lat,lng,id,name,building_type,type,url,page_type
# Ghedi -- Tutti
45.408392,10.277129,ov_olympia___poliambulatorio_e_fisioterapia_45.4084_10.2771,Olympia - Poliambulatorio e Fisioterapia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/olympia_-_poliambulatorio_e_fisioterapia_45.4084_10.2771.json,custom
45.352434,10.270442,ov_trattoria_santi_45.3524_10.2704,Trattoria Santi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/trattoria_santi_45.3524_10.2704.json,custom
45.383705,10.316243,ov_oh_my_grill_45.3837_10.3162,Oh My Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/oh_my_grill_45.3837_10.3162.json,custom
45.409815,10.274381,ov_l_angolo_dei_sapori_45.4098_10.2744,L’angolo dei sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/langolo_dei_sapori_45.4098_10.2744.json,custom
45.409866,10.274128,ov_accattatavillo_45.4099_10.2741,Accattatavillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/accattatavillo_45.4099_10.2741.json,custom
45.407056,10.274791,ov_vicky_turkish_kebab_45.4071_10.2748,Vicky Turkish Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/vicky_turkish_kebab_45.4071_10.2748.json,custom
45.407026,10.274838,ov_istanbul_city_pizza_kebap_45.4070_10.2748,Istanbul City Pizza Kebap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/istanbul_city_pizza_kebap_45.4070_10.2748.json,custom
45.407363,10.279110,ov_albergo_ristorante_pizzeria_da_luigi_45.4074_10.2791,Albergo Ristorante Pizzeria Da Luigi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/albergo_ristorante_pizzeria_da_luigi_45.4074_10.2791.json,custom
45.410440,10.276596,ov_monococco_45.4104_10.2766,Monococco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/monococco_45.4104_10.2766.json,custom
45.411950,10.276860,ov_coins_advisory_45.4119_10.2769,Coins Advisory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/coins_advisory_45.4119_10.2769.json,custom
45.411950,10.276860,ov_la_pergola_45.4119_10.2769,La Pergola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/la_pergola_45.4119_10.2769.json,custom
45.409144,10.310433,ov_da_marco_vino_e_sapori_45.4091_10.3104,Da Marco Vino E Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/da_marco_vino_e_sapori_45.4091_10.3104.json,custom
45.400560,10.314491,ov_santa_lucia_45.4006_10.3145,Santa Lucia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/santa_lucia_45.4006_10.3145.json,custom
45.400219,10.308929,ov_bhagya_ristorante_indiano_45.4002_10.3089,Bhagya ristorante indiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/bhagya_ristorante_indiano_45.4002_10.3089.json,custom
45.400710,10.313374,ov_trattoria_la_rosa_45.4007_10.3134,Trattoria La Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/trattoria_la_rosa_45.4007_10.3134.json,custom
45.403622,10.316700,ov_enterprise_srl_45.4036_10.3167,Enterprise srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/enterprise_srl_45.4036_10.3167.json,custom
45.402483,10.278376,ov_pizzeria_bar_scala_45.4025_10.2784,Pizzeria Bar Scala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/pizzeria_bar_scala_45.4025_10.2784.json,custom
45.404938,10.277691,ov_pizzeria_la_dama_45.4049_10.2777,Pizzeria La Dama,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/pizzeria_la_dama_45.4049_10.2777.json,custom
45.404536,10.271933,ov_pianeta_pizza_45.4045_10.2719,Pianeta Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/pianeta_pizza_45.4045_10.2719.json,custom
45.399243,10.272861,ov_stay_drink_pub_45.3992_10.2729,Stay Drink&pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/stay_drinkpub_45.3992_10.2729.json,custom
45.399207,10.281428,ov_kiyomi_restaurant_ghedi_45.3992_10.2814,Kiyomi Restaurant Ghedi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/kiyomi_restaurant_ghedi_45.3992_10.2814.json,custom
45.400792,10.275240,ov_vicky_d_ner_kebab_45.4008_10.2752,Vicky döner kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/vicky_dner_kebab_45.4008_10.2752.json,custom
45.400721,10.277154,ov_bartolitos_galletto_alla_brace_45.4007_10.2772,Bartolitos Galletto alla Brace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/bartolitos_galletto_alla_brace_45.4007_10.2772.json,custom
45.400645,10.281531,ov_yoku_ghedi_45.4006_10.2815,Yoku Ghedi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/yoku_ghedi_45.4006_10.2815.json,custom
45.401137,10.280835,ov_ristorante_odeon_45.4011_10.2808,Ristorante Odeon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/ristorante_odeon_45.4011_10.2808.json,custom
45.400949,10.277223,ov_la_regina_pizzeria_45.4009_10.2772,La Regina Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/la_regina_pizzeria_45.4009_10.2772.json,custom
45.401167,10.276743,ov_pizzeria_d_asporto_roma_ghedi_45.4012_10.2767,Pizzeria d'asporto Roma Ghedi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/pizzeria_dasporto_roma_ghedi_45.4012_10.2767.json,custom
45.401620,10.278280,ov_favalli___gelateria_moderna_45.4016_10.2783,Favalli - Gelateria Moderna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/favalli_-_gelateria_moderna_45.4016_10.2783.json,custom
45.401543,10.279916,ov_pizza_in_45.4015_10.2799,pizza in,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/pizza_in_45.4015_10.2799.json,custom
45.401500,10.278824,ov_ghedi_istanbul_kebap_45.4015_10.2788,Ghedi Istanbul Kebap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/ghedi_istanbul_kebap_45.4015_10.2788.json,custom
45.401960,10.298400,ov_civitas_la_sosta_del_buongustaio_45.4020_10.2984,Civitas-La sosta del Buongustaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/civitas-la_sosta_del_buongustaio_45.4020_10.2984.json,custom
45.400660,10.296690,ov_la_sosta_del_buongustaio_45.4007_10.2967,La Sosta del Buongustaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/la_sosta_del_buongustaio_45.4007_10.2967.json,custom
45.395540,10.281921,ov_mary_grace_bar_45.3955_10.2819,Mary Grace Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/mary_grace_bar_45.3955_10.2819.json,custom
45.397340,10.265944,ov_ristorante_bocciodromo_45.3973_10.2659,Ristorante Bocciodromo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/ristorante_bocciodromo_45.3973_10.2659.json,custom
45.393266,10.268486,ov_mcdonald_s_45.3933_10.2685,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/mcdonalds_45.3933_10.2685.json,custom
45.448288,10.249678,ov_trattoria_finil_nuovo_45.4483_10.2497,Trattoria Finil Nuovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/trattoria_finil_nuovo_45.4483_10.2497.json,custom
45.446685,10.250251,ov_ristorante_pizzeria_san_lorenzo_45.4467_10.2503,Ristorante pizzeria San Lorenzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/ristorante_pizzeria_san_lorenzo_45.4467_10.2503.json,custom
45.446314,10.250964,ov_la_rotonda_ristorante_pizzeria_45.4463_10.2510,La Rotonda Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/la_rotonda_ristorante_pizzeria_45.4463_10.2510.json,custom
45.446319,10.251021,osm_la_rotonda_risto_pizza_dancing_45.4463_10.2510,La Rotonda Risto Pizza Dancing,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/la_rotonda_risto_pizza_dancing_45.4463_10.2510.json,custom
45.399989,10.308920,osm_peter_pan_45.4000_10.3089,Peter Pan,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/peter_pan_45.4000_10.3089.json,custom
45.401766,10.274620,osm_pizzeria_napoli_45.4018_10.2746,Pizzeria Napoli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/pizzeria_napoli_45.4018_10.2746.json,custom
45.398033,10.288511,osm_villino_dei_fiori_45.3980_10.2885,Villino dei Fiori,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/villino_dei_fiori_45.3980_10.2885.json,custom
45.412025,10.276781,ov_sunset_cafe__45.4120_10.2768,Sunset Cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/sunset_cafe_45.4120_10.2768.json,custom
45.402008,10.304766,ov_bar_barh_45.4020_10.3048,Bar BARH,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/bar_barh_45.4020_10.3048.json,custom
45.403600,10.277860,ov_roxy_bar_45.4036_10.2779,Roxy bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/roxy_bar_45.4036_10.2779.json,custom
45.405280,10.280130,ov_lo_specchio_45.4053_10.2801,Lo Specchio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/lo_specchio_45.4053_10.2801.json,custom
45.405591,10.275504,ov_bar_jolly_45.4056_10.2755,Bar Jolly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/bar_jolly_45.4056_10.2755.json,custom
45.404167,10.273051,ov_novecento_bistrot_45.4042_10.2731,Novecento Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/novecento_bistrot_45.4042_10.2731.json,custom
45.403708,10.272924,ov_il_chicco_45.4037_10.2729,Il Chicco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/il_chicco_45.4037_10.2729.json,custom
45.400761,10.268726,ov_bar_trattoria_aurora_45.4008_10.2687,Bar Trattoria Aurora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/bar_trattoria_aurora_45.4008_10.2687.json,custom
45.400127,10.273230,ov_skyline_cafe_45.4001_10.2732,Skyline Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/skyline_cafe_45.4001_10.2732.json,custom
45.398888,10.270951,ov_saloon_45.3989_10.2710,Saloon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/saloon_45.3989_10.2710.json,custom
45.401318,10.277624,ov_secondo_livello_45.4013_10.2776,Secondo Livello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/secondo_livello_45.4013_10.2776.json,custom
45.401196,10.276927,ov_bar_nazionale_45.4012_10.2769,Bar Nazionale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/bar_nazionale_45.4012_10.2769.json,custom
45.401228,10.275687,ov_caff__italia_45.4012_10.2757,Caffè Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/caff_italia_45.4012_10.2757.json,custom
45.402178,10.276722,ov_d_istanti_bar_45.4022_10.2767,D'istanti Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/distanti_bar_45.4022_10.2767.json,custom
45.402018,10.277883,ov_bar_giardino_45.4020_10.2779,Bar Giardino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/bar_giardino_45.4020_10.2779.json,custom
45.398221,10.288528,ov_villino_dei_fiori_45.3982_10.2885,Villino dei Fiori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/villino_dei_fiori_45.3982_10.2885.json,custom
45.398405,10.290842,ov_bar_stop_go__45.3984_10.2908,Bar Stop&Go!,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/bar_stopgo_45.3984_10.2908.json,custom
45.512420,10.155850,ov_bar_alina_45.5124_10.1558,Bar Alina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/bar_alina_45.5124_10.1558.json,custom
45.398770,10.271112,osm_nuova_birreria_saloon_45.3988_10.2711,Nuova Birreria Saloon,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/nuova_birreria_saloon_45.3988_10.2711.json,custom
45.401171,10.302123,osm_roadhouse_45.4012_10.3021,Roadhouse,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/roadhouse_45.4012_10.3021.json,custom
45.399051,10.266809,osm_marr_yla_caf__45.3991_10.2668,Marr'yla Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/marryla_caf_45.3991_10.2668.json,custom
45.417533,10.276916,ov_scuola_di_ballo_le_rondinelle_45.4175_10.2769,Scuola Di Ballo Le Rondinelle,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/scuola_di_ballo_le_rondinelle_45.4175_10.2769.json,custom
45.416280,10.276920,ov_step_scuola_di_danza_asd_45.4163_10.2769,STEP scuola di danza ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/step_scuola_di_danza_asd_45.4163_10.2769.json,custom
45.410034,10.309789,ov_asd_ghedi_shooting_academy_45.4100_10.3098,ASD Ghedi Shooting Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/asd_ghedi_shooting_academy_45.4100_10.3098.json,custom
45.408762,10.310426,ov_asd_tiro_a_volo_ghedi_45.4088_10.3104,ASD Tiro a Volo Ghedi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/asd_tiro_a_volo_ghedi_45.4088_10.3104.json,custom
45.401520,10.304727,ov_palestra_industrie_fisiche_agor__45.4015_10.3047,Palestra Industrie Fisiche Agorà,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/palestra_industrie_fisiche_agor_45.4015_10.3047.json,custom
45.402621,10.272574,ov_dance_connection_academy_45.4026_10.2726,Dance Connection Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/dance_connection_academy_45.4026_10.2726.json,custom
45.402003,10.285077,ov_dance_connection_academy_45.4020_10.2851,Dance Connection Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/dance_connection_academy_45.4020_10.2851.json,custom
45.401535,10.291117,ov_maxifit_ghedi_45.4015_10.2911,MaxiFit Ghedi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/maxifit_ghedi_45.4015_10.2911.json,custom
45.397899,10.275246,ov_ashtanga_yoga_45.3979_10.2752,Ashtanga Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/ashtanga_yoga_45.3979_10.2752.json,custom
45.396751,10.269130,ov_centro_sportivo_olimpia_45.3968_10.2691,Centro Sportivo Olimpia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/centro_sportivo_olimpia_45.3968_10.2691.json,custom
45.396884,10.266647,ov_palazzetto_dello_sport_45.3969_10.2666,Palazzetto dello Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/palazzetto_dello_sport_45.3969_10.2666.json,custom
45.453789,10.252946,ov_claire_de_lune_45.4538_10.2529,Claire De Lune,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ghedi/pages/claire_de_lune_45.4538_10.2529.json,custom
