# lat,lng,id,name,building_type,type,url,page_type
# Guspini -- Tutti
39.538560,8.626580,ov_ortopedia_sanitari_di_forte_cristiana_39.5386_8.6266,Ortopedia Sanitari di Forte Cristiana,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/ortopedia_sanitari_di_forte_cristiana_39.5386_8.6266.json,custom
39.537395,8.633199,ov_pizzeria_pizza_undici_39.5374_8.6332,Pizzeria Pizza Undici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/pizzeria_pizza_undici_39.5374_8.6332.json,custom
39.537887,8.633130,ov_ristorante_l_angolino_148_39.5379_8.6331,Ristorante L'Angolino 148,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/ristorante_langolino_148_39.5379_8.6331.json,custom
39.542070,8.636769,ov_paradise_pizza_39.5421_8.6368,Paradise Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/paradise_pizza_39.5421_8.6368.json,custom
39.540001,8.640589,ov_metropolitan_pizza_kitchen_drink_39.5400_8.6406,Metropolitan Pizza Kitchen Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/metropolitan_pizza_kitchen_drink_39.5400_8.6406.json,custom
39.540192,8.641970,ov_la_vecchia_miniera_39.5402_8.6420,La Vecchia Miniera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/la_vecchia_miniera_39.5402_8.6420.json,custom
39.540178,8.642068,ov_poldo_west_39.5402_8.6421,Poldo West,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/poldo_west_39.5402_8.6421.json,custom
39.541746,8.644144,ov_pizzeria_fantasia_2000_39.5417_8.6441,Pizzeria Fantasia 2000,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/pizzeria_fantasia_2000_39.5417_8.6441.json,custom
39.543286,8.643189,ov_la_pizzetteria_di_porru_luca_39.5433_8.6432,La Pizzetteria di Porru Luca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/la_pizzetteria_di_porru_luca_39.5433_8.6432.json,custom
39.546557,8.634115,ov_sushina_guspini_39.5466_8.6341,Sushina Guspini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/sushina_guspini_39.5466_8.6341.json,custom
39.545398,8.625236,ov_agriturismo_su_medau_39.5454_8.6252,Agriturismo Su Medau,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/agriturismo_su_medau_39.5454_8.6252.json,custom
39.538204,8.626650,ov_l_antico_forno_39.5382_8.6266,L'antico forno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/lantico_forno_39.5382_8.6266.json,custom
39.538462,8.627964,ov_galleria_dei_sapori_39.5385_8.6280,Galleria dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/galleria_dei_sapori_39.5385_8.6280.json,custom
39.542724,8.631610,ov_ajo_ai_giardini_food_39.5427_8.6316,Ajo ai Giardini Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/ajo_ai_giardini_food_39.5427_8.6316.json,custom
