# lat,lng,id,name,building_type,type,url,page_type
# Andora -- Tutti
43.951813,8.152636,ov_spaghetteria_salsa_43.9518_8.1526,Spaghetteria SALSA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/spaghetteria_salsa_43.9518_8.1526.json,custom
43.951513,8.151114,ov_il_grillo_parlante_andora_43.9515_8.1511,Il Grillo Parlante Andora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/il_grillo_parlante_andora_43.9515_8.1511.json,custom
43.951289,8.151741,ov_ristorante_holiday_43.9513_8.1517,Ristorante Holiday,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/ristorante_holiday_43.9513_8.1517.json,custom
43.951062,8.151202,ov_calabaza_ristorante_andora_43.9511_8.1512,Calabaza Ristorante Andora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/calabaza_ristorante_andora_43.9511_8.1512.json,custom
43.951125,8.151109,ov_ristorante_tortuga_43.9511_8.1511,Ristorante Tortuga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/ristorante_tortuga_43.9511_8.1511.json,custom
43.952251,8.152107,ov_pizza_46_43.9523_8.1521,Pizza 46,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/pizza_46_43.9523_8.1521.json,custom
43.952849,8.150900,ov_ristorante_cinese_royal_garden_43.9528_8.1509,Ristorante Cinese Royal Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/ristorante_cinese_royal_garden_43.9528_8.1509.json,custom
43.953440,8.150890,ov_la_palma_ristorante_43.9534_8.1509,La Palma Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/la_palma_ristorante_43.9534_8.1509.json,custom
43.965420,8.145189,ov_la_casa_del_priore_43.9654_8.1452,La Casa del Priore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/la_casa_del_priore_43.9654_8.1452.json,custom
43.963807,8.143814,ov_il_grillo_parlante_43.9638_8.1438,Il Grillo Parlante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/il_grillo_parlante_43.9638_8.1438.json,custom
43.958698,8.134087,ov_autogrill_43.9587_8.1341,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/autogrill_43.9587_8.1341.json,custom
43.952559,8.141719,ov_ciacco_43.9526_8.1417,Ciacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/ciacco_43.9526_8.1417.json,custom
43.954904,8.140725,ov_fuoriorario_43.9549_8.1407,Fuoriorario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/fuoriorario_43.9549_8.1407.json,custom
43.957477,8.138379,ov_u_ciass__43.9575_8.1384,U Ciassá,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/u_ciass_43.9575_8.1384.json,custom
43.952781,8.146798,ov_biro__caffe___bistrot_43.9528_8.1468,Biro' Caffe & Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/biro_caffe_bistrot_43.9528_8.1468.json,custom
43.952830,8.144349,ov_trattoria_napoletana_43.9528_8.1443,Trattoria NAPOLETANA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/trattoria_napoletana_43.9528_8.1443.json,custom
43.952102,8.145074,ov_ristorante_e_pizzeria_al_cinquantasei_43.9521_8.1451,Ristorante e Pizzeria al Cinquantasei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/ristorante_e_pizzeria_al_cinquantasei_43.9521_8.1451.json,custom
43.951951,8.144070,ov_pizzeria_doppio_zero_43.9520_8.1441,Pizzeria Doppio Zero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/pizzeria_doppio_zero_43.9520_8.1441.json,custom
43.950970,8.145798,ov_pescato___mangiato_43.9510_8.1458,Pescato & Mangiato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/pescato_mangiato_43.9510_8.1458.json,custom
43.950730,8.145911,ov_da_totuccio_43.9507_8.1459,Da Totuccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/da_totuccio_43.9507_8.1459.json,custom
43.950538,8.147223,ov_viamare_43.9505_8.1472,Viamare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/viamare_43.9505_8.1472.json,custom
43.950351,8.147848,ov_shaka_andora_43.9504_8.1478,Shaka Andora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/shaka_andora_43.9504_8.1478.json,custom
43.950686,8.147776,ov_alta_marea_43.9507_8.1478,Alta Marea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/alta_marea_43.9507_8.1478.json,custom
43.951085,8.147247,ov_pizza_sprint_43.9511_8.1472,Pizza Sprint,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/pizza_sprint_43.9511_8.1472.json,custom
43.950804,8.147164,ov_la_bolognese_43.9508_8.1472,La Bolognese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/la_bolognese_43.9508_8.1472.json,custom
43.950664,8.147052,ov_il_toast_di_bee_43.9507_8.1471,Il toast di Bee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/il_toast_di_bee_43.9507_8.1471.json,custom
43.950779,8.146990,ov_la_piazzetta_di_andora_43.9508_8.1470,La Piazzetta di Andora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/la_piazzetta_di_andora_43.9508_8.1470.json,custom
43.951093,8.146759,ov_just_burger_43.9511_8.1468,JUST Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/just_burger_43.9511_8.1468.json,custom
