# lat,lng,id,name,building_type,type,url,page_type
# Petralia Sottana -- Tutti
37.818908,14.091783,ov_ospedale_madonna_dell_alto_37.8189_14.0918,Ospedale Madonna dell'Alto,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/ospedale_madonna_dellalto_37.8189_14.0918.json,custom
37.652485,14.072738,ov_agriturismo_monaco_di_mezzo_37.6525_14.0727,Agriturismo Monaco di Mezzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/agriturismo_monaco_di_mezzo_37.6525_14.0727.json,custom
37.875618,14.027496,ov_rifugio_grifone___piano_battaglia_37.8756_14.0275,Rifugio Grifone - Piano Battaglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/rifugio_grifone_-_piano_battaglia_37.8756_14.0275.json,custom
37.875569,14.023208,ov_ristoro_dello_scoiattolo_37.8756_14.0232,Ristoro Dello Scoiattolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/ristoro_dello_scoiattolo_37.8756_14.0232.json,custom
37.805933,14.092038,ov_opateo_37.8059_14.0920,Opateo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/opateo_37.8059_14.0920.json,custom
37.804461,14.091704,ov_nicuzza___piccola_osteria_contemporanea_37.8045_14.0917,Nicuzza - Piccola Osteria Contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/nicuzza_-_piccola_osteria_contemporanea_37.8045_14.0917.json,custom
37.808460,14.092580,ov_ristorante_pizzeria_al_castello_petralia_37.8085_14.0926,Ristorante Pizzeria Al Castello Petralia Sottana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/ristorante_pizzeria_al_castello_petralia_37.8085_14.0926.json,custom
37.674669,14.486216,ov_il_ritrovo_37.6747_14.4862,Il Ritrovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/il_ritrovo_37.6747_14.4862.json,custom
37.806829,14.093086,osm_saxsum_pub_37.8068_14.0931,Saxsum Pub,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/saxsum_pub_37.8068_14.0931.json,custom
37.804952,14.091877,ov_vizi_e_sfizi_di_carapezza_giuseppe_37.8050_14.0919,Vizi e Sfizi di Carapezza Giuseppe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/vizi_e_sfizi_di_carapezza_giuseppe_37.8050_14.0919.json,custom
37.806534,14.092545,ov_sgroi_antonio_37.8065_14.0925,Sgroi Antonio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/sgroi_antonio_37.8065_14.0925.json,custom
37.806841,14.093057,ov_saxum_pub_zafonte_37.8068_14.0931,Saxum Pub Zafonte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/saxum_pub_zafonte_37.8068_14.0931.json,custom
37.806924,14.092967,ov_az_open_bar_h24___petralia_sottana_37.8069_14.0930,AZ Open Bar H24 - Petralia Sottana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/az_open_bar_h24_-_petralia_sottana_37.8069_14.0930.json,custom
37.807853,14.091359,ov_bar_la_terrazza_petralia_sottana_37.8079_14.0914,Bar La terrazza Petralia Sottana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/bar_la_terrazza_petralia_sottana_37.8079_14.0914.json,custom
37.875701,14.023479,ov_scuola_italiana_sci_piano_battaglia_37.8757_14.0235,Scuola Italiana Sci Piano Battaglia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/scuola_italiana_sci_piano_battaglia_37.8757_14.0235.json,custom
37.806202,14.127845,ov_associazione_sportiva_madonie_outdoor_37.8062_14.1278,Associazione Sportiva Madonie Outdoor,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/associazione_sportiva_madonie_outdoor_37.8062_14.1278.json,custom
37.807100,14.092751,ov_museo_civico_antonio_collisani_37.8071_14.0928,Museo Civico Antonio Collisani,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/museo_civico_antonio_collisani_37.8071_14.0928.json,custom
37.807930,14.092320,ov_biblioteca_comunale___petralia_sottana_37.8079_14.0923,Biblioteca Comunale - Petralia Sottana,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/petralia_sottana/pages/biblioteca_comunale_-_petralia_sottana_37.8079_14.0923.json,custom
