# lat,lng,id,name,building_type,type,url,page_type
# favara -- Tutti
37.306260,13.652460,ov_consultorio_george_sand_favara_37.3063_13.6525,Consultorio George Sand Favara,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/consultorio_george_sand_favara_37.3063_13.6525.json,custom
37.360479,13.698570,ov_poggio_del_vento_ristorante_pizzeria_37.3605_13.6986,Poggio del Vento Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/poggio_del_vento_ristorante_pizzeria_37.3605_13.6986.json,custom
37.357827,13.626216,ov_crapanzano_dolci_salati_37.3578_13.6262,Crapanzano-DOLCI&SALATI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/crapanzano-dolcisalati_37.3578_13.6262.json,custom
37.356817,13.711820,ov_clubhouse_giarrizzo___vullo_estates_37.3568_13.7118,Clubhouse Giarrizzo__ Vullo Estates,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/clubhouse_giarrizzo_vullo_estates_37.3568_13.7118.json,custom
37.305038,13.649165,ov_ristorante_pizzeria_bell__ass__37.3050_13.6492,Ristorante Pizzeria Bell' Assà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/ristorante_pizzeria_bell_ass_37.3050_13.6492.json,custom
37.305270,13.649233,ov_alchimia_pizzeria_ristorante_37.3053_13.6492,Alchimia Pizzeria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/alchimia_pizzeria_ristorante_37.3053_13.6492.json,custom
37.303658,13.631266,ov_ristorante_pizzeria_gardenia_37.3037_13.6313,Ristorante Pizzeria Gardenia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/ristorante_pizzeria_gardenia_37.3037_13.6313.json,custom
37.316728,13.663907,ov_ristorante_pizzeria_la_buca_di_san_franc_37.3167_13.6639,Ristorante Pizzeria La Buca Di San Francesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/ristorante_pizzeria_la_buca_di_san_franc_37.3167_13.6639.json,custom
37.319576,13.663974,ov_rosticceria_forte___fast_food_37.3196_13.6640,Rosticceria Forte - Fast Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/rosticceria_forte_-_fast_food_37.3196_13.6640.json,custom
37.320370,13.663780,ov_glutenbon_37.3204_13.6638,Glutenbon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/glutenbon_37.3204_13.6638.json,custom
37.320121,13.657514,ov_pizzeria_el_flamengo_37.3201_13.6575,Pizzeria El Flamengo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pizzeria_el_flamengo_37.3201_13.6575.json,custom
