# lat,lng,id,name,building_type,type,url,page_type
# cessapalombo -- Tutti
43.108834,13.258770,ov_la_bottega_cessapalombo_43.1088_13.2588,La Bottega Cessapalombo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cessapalombo/pages/la_bottega_cessapalombo_43.1088_13.2588.json,custom
43.101263,13.225146,ov_il_giardino_delle_farfalle_43.1013_13.2251,Il Giardino delle farfalle,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cessapalombo/pages/il_giardino_delle_farfalle_43.1013_13.2251.json,custom
43.096352,13.227557,ov_terra_viva_43.0964_13.2276,Terra Viva,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cessapalombo/pages/terra_viva_43.0964_13.2276.json,custom
