# lat,lng,id,name,building_type,type,url,page_type
# toano -- Tutti
44.375940,10.558280,ov_farmacia_santa_teresa_toano_44.3759_10.5583,Farmacia SANTA Teresa TOANO,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/farmacia_santa_teresa_toano_44.3759_10.5583.json,custom
44.383282,10.500882,ov_la_cantoria_44.3833_10.5009,La Cantoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/la_cantoria_44.3833_10.5009.json,custom
44.353523,10.506416,ov_vittoria_bar_ristorante_44.3535_10.5064,Vittoria Bar Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/vittoria_bar_ristorante_44.3535_10.5064.json,custom
44.377573,10.583164,ov_ristorante_la_collina_44.3776_10.5832,Ristorante La Collina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/ristorante_la_collina_44.3776_10.5832.json,custom
44.403502,10.532041,ov_bar_restaurant_new_valverde_44.4035_10.5320,Bar Restaurant New Valverde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/bar_restaurant_new_valverde_44.4035_10.5320.json,custom
44.402170,10.531546,ov_vecchia_tanaka_44.4022_10.5315,Vecchia Tanaka,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/vecchia_tanaka_44.4022_10.5315.json,custom
44.403469,10.617798,ov_bar_ristorantino_al_mulino_44.4035_10.6178,Bar Ristorantino Al Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/bar_ristorantino_al_mulino_44.4035_10.6178.json,custom
44.403491,10.617451,ov_pizza_da_dodi_44.4035_10.6175,Pizza Da Dodi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/pizza_da_dodi_44.4035_10.6175.json,custom
44.408790,10.591490,ov_jerrys__saloon_44.4088_10.5915,Jerrys' Saloon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/jerrys_saloon_44.4088_10.5915.json,custom
44.374003,10.517449,ov_bar_tabacchi_marzia_44.3740_10.5174,Bar Tabacchi Marzia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/bar_tabacchi_marzia_44.3740_10.5174.json,custom
44.355163,10.506837,ov_bar_gelateria_kappadue_44.3552_10.5068,Bar Gelateria Kappadue,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/bar_gelateria_kappadue_44.3552_10.5068.json,custom
44.357745,10.526231,ov_bar_ristorante_malpasso_44.3577_10.5262,Bar ristorante malpasso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/bar_ristorante_malpasso_44.3577_10.5262.json,custom
44.376679,10.561005,ov_antico_bar_posta_44.3767_10.5610,Antico Bar Posta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/antico_bar_posta_44.3767_10.5610.json,custom
44.408092,10.606817,ov_bar_hakuna_matata_44.4081_10.6068,Bar Hakuna Matata,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/bar_hakuna_matata_44.4081_10.6068.json,custom
44.402963,10.617830,ov_bar_centro_44.4030_10.6178,Bar Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/bar_centro_44.4030_10.6178.json,custom
44.403423,10.617470,ov_stregattocafe_44.4034_10.6175,Stregattocafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/stregattocafe_44.4034_10.6175.json,custom
44.376132,10.559189,osm_bar_della_piazza_44.3761_10.5592,Bar della Piazza,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/bar_della_piazza_44.3761_10.5592.json,custom
44.380210,10.511403,ov_appennino_horsetrekking_44.3802_10.5114,Appennino HorseTrekking,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/appennino_horsetrekking_44.3802_10.5114.json,custom
44.394410,10.531790,ov_white___blue_mountain_guides_44.3944_10.5318,White & Blue Mountain Guides,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/white_blue_mountain_guides_44.3944_10.5318.json,custom
44.401432,10.617343,ov_power_fitness_club_cerredolo_44.4014_10.6173,Power Fitness Club Cerredolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/power_fitness_club_cerredolo_44.4014_10.6173.json,custom
44.378792,10.558070,ov_castagno_del_partigiano_44.3788_10.5581,Castagno del Partigiano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/toano/pages/castagno_del_partigiano_44.3788_10.5581.json,custom
