# lat,lng,id,name,building_type,type,url,page_type
# Santa Ninfa -- Tutti
37.775143,12.881454,ov_igea_s_r_l__37.7751_12.8815,Igea S.r.l.,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/igea_srl_37.7751_12.8815.json,custom
37.767814,12.865393,ov_al_bivio_37.7678_12.8654,Al bivio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/al_bivio_37.7678_12.8654.json,custom
37.771807,12.876361,ov_lo_spizzico_37.7718_12.8764,Lo Spizzico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/lo_spizzico_37.7718_12.8764.json,custom
37.771602,12.877231,ov_il_ristoro_37.7716_12.8772,Il Ristoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/il_ristoro_37.7716_12.8772.json,custom
37.776388,12.879433,ov_lg_express___megavending_37.7764_12.8794,LG Express - MegaVending,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/lg_express_-_megavending_37.7764_12.8794.json,custom
37.775040,12.881000,ov_pizzeria_vecchio_casale_37.7750_12.8810,Pizzeria Vecchio Casale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/pizzeria_vecchio_casale_37.7750_12.8810.json,custom
37.773180,12.875951,ov_ristorante_pizzeria_due_palme_37.7732_12.8760,Ristorante Pizzeria Due Palme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/ristorante_pizzeria_due_palme_37.7732_12.8760.json,custom
37.773207,12.876423,ov_colle_verde_pizzeria_ristorante_37.7732_12.8764,Colle Verde Pizzeria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/colle_verde_pizzeria_ristorante_37.7732_12.8764.json,custom
37.781101,12.913285,ov_ristorante_castello_di_rampinzeri_37.7811_12.9133,Ristorante Castello di Rampinzeri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/ristorante_castello_di_rampinzeri_37.7811_12.9133.json,custom
37.771684,12.877171,osm_il_ristoro_rosticceria_37.7717_12.8772,Il Ristoro Rosticceria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/il_ristoro_rosticceria_37.7717_12.8772.json,custom
37.772970,12.875506,osm_ferramenta_37.7730_12.8755,Ferramenta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/ferramenta_37.7730_12.8755.json,custom
37.751238,12.848678,osm_agriturismo_campoallegro_37.7512_12.8487,Agriturismo Campoallegro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/agriturismo_campoallegro_37.7512_12.8487.json,custom
37.768555,12.871100,ov_snack_bar_belice_37.7686_12.8711,Snack Bar Belice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/snack_bar_belice_37.7686_12.8711.json,custom
37.769139,12.879845,ov_il_chiosco_37.7691_12.8798,Il Chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/il_chiosco_37.7691_12.8798.json,custom
37.768581,12.880590,ov_the_murphy_s_pub_37.7686_12.8806,The Murphy'S Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/the_murphys_pub_37.7686_12.8806.json,custom
37.776815,12.881307,ov_roxy_bar_37.7768_12.8813,Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/roxy_bar_37.7768_12.8813.json,custom
37.773954,12.882458,ov_bar_samor__37.7740_12.8825,Bar Samorè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/bar_samor_37.7740_12.8825.json,custom
37.774930,12.876348,ov_119_road_bar_37.7749_12.8763,119 Road Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/119_road_bar_37.7749_12.8763.json,custom
37.773699,12.879809,ov_la_galleria_37.7737_12.8798,La Galleria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/la_galleria_37.7737_12.8798.json,custom
37.773807,12.879890,ov_aperitivo_caffetteria_caffe__del_corso_37.7738_12.8799,Aperitivo Caffetteria Caffe' Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/aperitivo_caffetteria_caffe_del_corso_37.7738_12.8799.json,custom
37.770420,12.877510,ov_las_vegas_s__ninfa___scommesse_sportive_37.7704_12.8775,Las Vegas S. Ninfa - Scommesse Sportive,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/las_vegas_s_ninfa_-_scommesse_sportive_37.7704_12.8775.json,custom
37.769851,12.880470,ov_centro_culturale_polivalente_santa_ninfa_37.7699_12.8805,Centro Culturale Polivalente Santa Ninfa - progetto I Art,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/centro_culturale_polivalente_santa_ninfa_37.7699_12.8805.json,custom
37.770679,12.879852,ov_museo_dell_emigrazione_di_santa_ninfa_37.7707_12.8799,Museo dell'Emigrazione di Santa Ninfa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/museo_dellemigrazione_di_santa_ninfa_37.7707_12.8799.json,custom
37.770827,12.879861,ov_museo_nino_cordio_37.7708_12.8799,Museo Nino Cordio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/museo_nino_cordio_37.7708_12.8799.json,custom
37.770997,12.879797,ov_biblioteca_comunale_nino_cordio_37.7710_12.8798,Biblioteca Comunale Nino Cordio,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_ninfa/pages/biblioteca_comunale_nino_cordio_37.7710_12.8798.json,custom
