# lat,lng,id,name,building_type,type,url,page_type
# Brunico -- Tutti
46.799860,11.937172,ov_ospedale_di_brunico_46.7999_11.9372,Ospedale di Brunico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/ospedale_di_brunico_46.7999_11.9372.json,custom
46.799032,11.938754,ov_pronto_pizza_happy_46.7990_11.9388,Pronto Pizza Happy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/pronto_pizza_happy_46.7990_11.9388.json,custom
46.801469,11.938065,ov_restaurant_ander_stube_46.8015_11.9381,Restaurant ANDER Stube,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/restaurant_ander_stube_46.8015_11.9381.json,custom
46.812030,11.934143,ov_pizza_viva_express_46.8120_11.9341,Pizza Viva Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/pizza_viva_express_46.8120_11.9341.json,custom
46.802656,11.934011,ov_simos_firehouse_46.8027_11.9340,Simos Firehouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/simos_firehouse_46.8027_11.9340.json,custom
46.798544,11.932952,ov_pizza_express_46.7985_11.9330,Pizza Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/pizza_express_46.7985_11.9330.json,custom
46.795169,11.925469,ov_pizzeria_platzl_46.7952_11.9255,Pizzeria Platzl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/pizzeria_platzl_46.7952_11.9255.json,custom
46.792374,11.929316,ov_mein_bistro___bika_46.7924_11.9293,Mein Bistro - BIKA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/mein_bistro_-_bika_46.7924_11.9293.json,custom
46.790100,11.928892,ov_bene_felicita_46.7901_11.9289,Bene Felicita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/bene_felicita_46.7901_11.9289.json,custom
46.788910,11.927892,ov_go_west_bruneck_46.7889_11.9279,Go West Bruneck,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/go_west_bruneck_46.7889_11.9279.json,custom
46.792836,11.930431,ov_bella_cina_46.7928_11.9304,Bella Cina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/bella_cina_46.7928_11.9304.json,custom
46.793091,11.931351,ov_pizza_baki_46.7931_11.9314,Pizza BAKI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/pizza_baki_46.7931_11.9314.json,custom
46.794256,11.929689,ov_holdi_s_imbiss_46.7943_11.9297,Holdi's Imbiss,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/holdis_imbiss_46.7943_11.9297.json,custom
46.794941,11.931090,ov_gusto_world_46.7949_11.9311,Gusto World,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/brunico/pages/gusto_world_46.7949_11.9311.json,custom
