# lat,lng,id,name,building_type,type,url,page_type
# Albairate -- Tutti
45.415064,8.937049,ov_ospedale_fornaroli_di_magenta_45.4151_8.9370,Ospedale Fornaroli di Magenta,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/ospedale_fornaroli_di_magenta_45.4151_8.9370.json,custom
45.400421,8.936217,ov_al_mago_45.4004_8.9362,Al Mago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/al_mago_45.4004_8.9362.json,custom
45.438656,8.947988,ov_agriturismo_ristoro_cascina_riazzolo_45.4387_8.9480,Agriturismo Ristoro Cascina Riazzolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/agriturismo_ristoro_cascina_riazzolo_45.4387_8.9480.json,custom
45.438509,8.947595,ov_taverna_del_morris_45.4385_8.9476,Taverna Del Morris,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/taverna_del_morris_45.4385_8.9476.json,custom
45.438001,8.948492,ov_osteria_rio_del_sole_45.4380_8.9485,Osteria Rio del Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/osteria_rio_del_sole_45.4380_8.9485.json,custom
45.423477,8.930200,ov_trattoria_pizzeria_chiavi_d_oro_45.4235_8.9302,Trattoria Pizzeria Chiavi D'oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/trattoria_pizzeria_chiavi_doro_45.4235_8.9302.json,custom
45.421944,8.935706,ov_trattoria_pizzeria_cavour_45.4219_8.9357,Trattoria Pizzeria Cavour,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/trattoria_pizzeria_cavour_45.4219_8.9357.json,custom
45.421235,8.937190,ov_pizzeria_il_point_45.4212_8.9372,Pizzeria Il Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/pizzeria_il_point_45.4212_8.9372.json,custom
45.422250,8.938141,ov_impronta_di_colombara_andrea_45.4223_8.9381,Impronta Di Colombara Andrea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/impronta_di_colombara_andrea_45.4223_8.9381.json,custom
45.420244,8.965495,ov_agriturismo_cascina_rosio_45.4202_8.9655,Agriturismo Cascina Rosio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/agriturismo_cascina_rosio_45.4202_8.9655.json,custom
45.420610,8.932670,ov_bar_casa_robur_45.4206_8.9327,Bar Casa Robur,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/bar_casa_robur_45.4206_8.9327.json,custom
45.421318,8.935861,ov_bar_centrale_45.4213_8.9359,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/bar_centrale_45.4213_8.9359.json,custom
45.422219,8.938239,ov_dodo_caffe_45.4222_8.9382,Dodo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/dodo_caffe_45.4222_8.9382.json,custom
45.417534,8.936638,ov_asd_wild_lions_45.4175_8.9366,Asd Wild Lions,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/asd_wild_lions_45.4175_8.9366.json,custom
45.422933,8.930968,ov_new_easy_dance_45.4229_8.9310,New Easy Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/new_easy_dance_45.4229_8.9310.json,custom
45.429878,8.954857,ov_centro_ippico_cascina_palazzina_45.4299_8.9549,Centro Ippico Cascina Palazzina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/centro_ippico_cascina_palazzina_45.4299_8.9549.json,custom
45.408259,8.955010,ov_postura_e_salute_45.4083_8.9550,Postura E Salute,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/postura_e_salute_45.4083_8.9550.json,custom
45.418970,8.935438,ov_amici_del_museo_agricolo_albairate_45.4190_8.9354,Amici del museo agricolo Albairate,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/amici_del_museo_agricolo_albairate_45.4190_8.9354.json,custom
45.420120,8.933631,osm_ufficio_postale_di_albairate_45.4201_8.9336,Ufficio postale di Albairate,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albairate/pages/ufficio_postale_di_albairate_45.4201_8.9336.json,custom
